"","xylA","ccpA","xylR","xylB","xynB","xynP","pval","z","inv_cof_var"
"GSM672552",9.567028625,12.8811052,10.25613717,9.486692565,9.030392193,8.668460967,0.34161317093725,0.408064472889346,21.9088296157755
"GSM672562",8.755100372,12.83257361,10.09255093,8.962276952,8.778329368,8.018659851,0.398807915404134,0.256433878644615,20.6896566089798
"GSM672566",8.983071375,12.72717732,9.887065428,9.045071375,8.839163941,8.410509294,0.0643548142578545,1.51921006551193,30.8429020560575
"GSM672567",9.031537918,12.59922416,9.803089219,9.147168773,9.121938662,8.439837918,0.155912158900038,1.01140147020008,26.7599098663428
"GSM672568",9.017775465,12.41861375,9.89214461,9.063291822,9.212445725,8.361323792,0.267712334369392,0.619746541887525,23.6108414414939
"GSM672569",9.051007063,12.87464238,10.40512788,9.437442007,9.295815242,9.037702974,0.000187540615074044,3.55702306845249,47.2277656678988
"GSM672570",9.269001115,12.74603086,10.30466134,9.658863569,9.655317472,9.266752045,0.0017486370913608,2.92027073408172,42.1080122174439
"GSM672571",9.143704089,12.4547881,10.28045836,9.579008178,9.592969888,9.243945353,0.0029135281368581,2.7573577381536,40.7981240113
"GSM672574",8.819794796,12.11117286,10.1464539,9.601017844,9.09787026,8.503986617,0.463743518618448,0.0910069895646093,19.3595556569318
"GSM672576",8.795147584,11.67638104,9.416856134,9.226322862,8.771788476,8.251019703,0.339688808561423,0.413312575998849,21.9510265462819
"GSM672578",8.868964684,12.01652491,9.217996283,9.071235874,9.06446803,8.430050186,0.0890564343991055,1.34658828638815,29.4549511973206
"GSM672579",9.132736059,11.7195487,9.279881413,9.106116729,9.235304461,8.437373606,0.227957140495006,0.74559139764186,24.6226863923364
"GSM672580",9.086720446,11.83474164,9.680681413,9.095472862,9.387413383,8.363724164,0.403077155981337,0.245390205673863,20.6008608877147
"GSM672581",9.207777695,11.84635353,9.074196283,8.900716729,9.071826022,8.357856506,0.259054777259985,0.646262213899165,23.824038466373
"GSM672583",9.042649442,11.61880967,9.003201487,8.695480297,8.9057171,8.247687361,0.210322321195754,0.805303361635066,25.1027954036206
"GSM672590",8.447001487,11.95618216,8.876988848,7.96097026,8.589718216,7.811251301,0.342384342290971,0.405964500070652,21.8919449614067
"GSM672591",8.755100372,11.80120297,8.583566914,8.186486989,8.65536171,7.843720446,0.446702552536411,0.133996799713056,19.7052116003205
"GSM672593",8.073602602,11.89151413,8.646530112,7.786410409,8.734165056,7.962027881,0.448900839995019,0.128438859985927,19.660523454617
"GSM672594",8.051442379,11.83742714,8.320828996,7.855413383,8.796410037,8.012508922,0.458737649264625,0.10361447698895,19.4609250964425
"GSM672595",8.375895167,11.8646974,8.756268401,8.005370632,8.752569145,8.288367658,0.14599432443493,1.0537690889058,27.1005631319025
"GSM672596",7.919,11.72728216,8.285950558,7.846297398,8.731679926,8.062080297,0.426635094101742,0.184947532871843,20.1148766738701
"GSM672606",7.48316171,13.2139171,8.766517844,7.522989591,8.145573978,7.462750558,0.28190194877571,0.577200680307451,23.2687550291332
"GSM672607",7.325943494,13.18522751,8.538096654,7.412204089,8.150184387,7.410212639,0.450224875860828,0.125093218825067,19.6336231089839
"GSM672610",9.529263569,13.18693197,10.22716952,9.092923048,9.206534201,8.449340892,0.430964059468164,0.173920274209497,20.0262129304676
"GSM672626",8.223567658,12.93810186,9.913620818,8.792524907,8.411830112,7.824440149,0.400927641414182,0.250946745441056,20.6455377771583
"GSM672627",8.467777323,12.38714758,9.975315242,8.813281784,8.485988104,7.986987732,0.221483062105962,0.767194093379426,24.7963810457699
"GSM672628",8.319083086,12.44648699,9.887065428,8.896774721,8.476170632,7.895319331,0.418114725979444,0.20671882853112,20.289926940757
"GSM672629",8.362547955,12.47178253,9.859080669,8.866158364,8.317332714,7.826556877,0.449976939650309,0.125719608982131,19.6386595462215
"GSM672630",8.917844981,11.55433086,9.899647212,8.863658364,9.782928996,9.003201487,0.374445403953762,0.320102266056555,21.2015769091375
"GSM672631",9.126830483,11.7111632,10.16249219,8.598694424,9.698559851,9.154847584,0.414790150910672,0.21523987735484,20.3584397152879
"GSM672633",7.454666543,13.06752156,9.585373606,7.993102602,7.956737175,7.426362454,0.216391868246593,0.784436997411498,24.9350211616343
"GSM672634",7.99810855,12.87794796,9.83625948,8.625594052,8.191898141,7.648112639,0.436430491957425,0.160025503880532,19.9144932013122
"GSM672636",8.040285502,12.75389331,9.908577323,8.522778253,8.230542007,7.628094052,0.355210177989576,0.371291597026841,21.6131604082707
"GSM672637",8.127392193,12.66205019,9.750860223,8.669790335,8.245420446,7.771423234,0.330870449360825,0.437510864381546,22.1455908435056
"GSM672639",8.372318216,12.81725688,9.997590706,8.77370316,8.436023792,7.835530855,0.359412518951219,0.360029546874013,21.5226088436877
"GSM672640",8.320828996,12.60212045,9.82355539,8.825094796,8.217745725,7.866197398,0.385472716540491,0.291138451359159,20.9686957994327
"GSM672641",8.536066543,12.71058885,10.00393271,8.886296654,8.455767286,7.922072862,0.374401270303942,0.320218710284557,21.2025131691336
"GSM672642",8.726693309,13.22356468,9.806930483,8.902572862,8.561458364,8.046743123,0.285072408994765,0.567838230305516,23.19347703938
"GSM672643",8.318478067,13.4302974,9.655317472,8.644084015,8.236467658,7.912741264,0.133501294322343,1.10999173356252,27.552616565298
"GSM672644",8.577357993,13.19163736,9.709953532,8.926239777,8.355411152,8.166096283,0.178010054576747,0.922975238850466,26.0489262097061
"GSM672645",8.540665428,12.82640149,9.99890223,9.02275948,8.574934572,8.039165056,0.372176231570707,0.32609502211558,21.2497611588917
"GSM672646",7.875115242,12.19816729,8.959613011,8.383890706,8.137154275,7.781533457,0.0862305643395975,1.36433826284075,29.5976683862234
"GSM672647",7.927261338,12.37289182,8.734165056,8.209816357,8.084459108,7.818343866,0.000264608668404813,3.4655148312493,46.4920014030861
"GSM672648",7.941649071,12.21777212,9.218575465,8.185330483,7.9902,7.549137175,0.084434025216524,1.37585008843528,29.6902282491831
"GSM672649",7.814337918,12.16173569,8.713237546,8.020653532,7.841605948,7.652643494,1.69392061922772e-05,4.1456952813344,51.960934955872
"GSM672650",7.684879182,12.00036022,8.768963569,7.970501487,7.736879182,7.598236431,9.36639877341043e-05,3.73551961623834,48.6629521086739
"GSM672652",8.528111524,11.98320223,9.798108922,8.624420074,8.321933829,7.762834201,0.358071819249346,0.363617524750387,21.551457677247
"GSM672654",8.133391264,12.34420836,9.569909294,8.260122677,8.004321933,7.604155576,0.117924042720972,1.18542845812746,28.159159187971
"GSM672655",8.357856506,12.64033755,9.557981784,8.630512268,8.311623048,7.834514126,0.212593794110156,0.797453689971268,25.0396807805303
"GSM672656",8.946330112,12.94628513,9.956937546,9.06446803,8.989582156,8.20664052,0.33659483103798,0.42177444249361,22.0190634702872
"GSM672663",7.925253903,11.58383606,9.749528253,8.483455019,7.873057621,7.447595539,0.498525509737246,0.00369600739813661,18.6575390673089
"GSM672667",8.140407807,12.39750149,9.762339033,8.777056877,8.223567658,7.710728625,0.494119267828392,0.0147413434195059,18.7463481601922
"GSM672669",8.452079554,12.38852714,9.931396283,8.890998327,8.369905204,7.820356506,0.477913330790284,0.0553913818562165,19.0731913664337
"GSM672671",8.315149071,12.0407881,9.833729368,8.805447212,8.313920074,7.74493197,0.474978089705148,0.0627618070874452,19.1324526489953
"GSM672672",8.227065428,12.23151078,9.989074349,8.589718216,8.267149814,7.654683271,0.381620651648719,0.301227129963313,21.049812969023
"GSM672673",8.489474349,12.31870483,9.928841264,8.714569888,8.393543866,8.223567658,0.00242758499659669,2.81648903712593,41.2735642344483
"GSM672674",8.740119703,12.13786729,10.08403457,8.183118216,9.008102974,8.562034758,0.216940558888762,0.782567525488868,24.9199898302833
"GSM672675",8.765206691,12.11942565,9.812004461,8.630512268,9.575712268,9.179131599,0.37845298971743,0.309546324412989,21.1167027504807
"GSM672678",9.09787026,12.10981524,10.09775465,8.979855576,9.938826022,9.369944238,0.343117590468093,0.403969454802073,21.8759039681566
"GSM672679",8.864891078,11.92684275,10.04345948,8.849630483,9.735805576,9.094909851,0.337047923965514,0.420533382486972,22.0090848319561
"GSM672680",8.851008178,11.79491301,9.940048699,8.822447584,9.596305019,9.004359108,0.209194217865076,0.809220307934295,25.1342892800436
"GSM672681",8.77573197,11.68854647,9.816794796,8.779644238,9.395199628,8.795147584,0.0941128833974062,1.31584590916256,29.207769705585
"GSM672682",8.638519145,11.52813271,9.795699628,8.764030483,9.121938662,8.257919703,0.236724736454646,0.716877845785544,24.391817499902
"GSM672684",8.519863197,12.97873309,9.914948327,8.64275539,8.332564684,7.760930855,0.369396286389924,0.333452720431433,21.3089201117634
"GSM672685",8.315149071,13.03570706,10.2305684,8.791343494,8.367407435,7.729094424,0.481150382806226,0.0472665774686689,19.0078645618786
"GSM672686",8.309239405,13.09337732,9.721840149,8.814584758,8.221126022,7.745915242,0.486796549889607,0.0331021856884693,18.8939769641803
"GSM672698",7.632760595,11.08671896,9.960652788,8.083214498,7.690520446,7.272425279,0.288886955225192,0.556639280236396,23.1034328256992
"GSM672699",7.624310781,10.56404164,9.82032342,8.223567658,7.787331599,7.352536803,0.373018568383365,0.323869102682537,21.2318638413907
"GSM672700",7.671643494,11.03410706,9.742675836,8.039165056,7.690520446,7.323299257,0.170822709236948,0.950919152545808,26.2736068914068
"GSM672704",8.218820074,12.86877063,9.950405576,8.674690335,8.287225279,7.814337918,0.276052449087678,0.594608946901361,23.4087247287319
"GSM672705",8.277677695,12.82942007,10.00627323,8.715765799,8.292988848,7.864212268,0.258619481508934,0.647607317828895,23.8348536610943
"GSM672706",7.937469888,13.04355372,9.954214126,8.449340892,8.282275836,7.689591822,0.264289456641544,0.630176804845795,23.6947050912793
"GSM672708",9.032881413,12.77166283,9.899647212,8.959613011,8.79387881,8.202060967,0.284374959680387,0.569893521234229,23.2100024327802
"GSM672709",8.981802602,12.63599665,10.10699257,9.109746468,8.918543866,8.139266914,0.432114385907439,0.170993633229274,20.0026815204547
"GSM672710",8.032024535,12.00570595,10.47263569,7.979769517,7.896279926,7.507884387,0.0361170294236012,1.79764010341171,33.0815952972159
"GSM672711",8.278822677,11.9506539,10.54045279,8.084459108,7.922566729,7.502536431,0.249419969746666,0.676316152661863,24.0656846267002
"GSM672712",8.199758736,12.04352379,10.66550706,7.930322305,7.947747212,7.554816729,0.0832326218685547,1.38365132753349,29.7529534543139
"GSM672716",8.272876208,12.56473271,10.02628067,8.752569145,8.325435688,7.853893866,0.311204759992446,0.492438313396037,22.587230365557
"GSM672717",8.230542007,12.53577732,9.874990335,8.720728996,8.246547955,7.714724907,0.431104464931497,0.173562977692051,20.0233401179481
"GSM672718",8.221126022,12.67265651,9.928841264,8.618287732,8.269560223,7.650818216,0.410642148486156,0.225893444006955,20.4440988195937
"GSM672723",9.406495911,13.04444907,10.04472379,9.554050186,9.153733829,8.700556506,0.22835989830174,0.744259006111306,24.6119734105887
"GSM672728",9.437442007,12.9836684,10.16753123,9.598244981,9.938826022,9.400000372,0.00554342789312201,2.53994924157298,39.0500693274852
"GSM672729",9.421905204,12.81725688,10.31406059,9.591734201,9.801787361,9.395779368,2.85071209213047e-05,4.0248392746838,50.9892024255642
"GSM672730",9.539726022,12.77412974,10.35518699,9.601017844,9.897079554,9.455064684,4.56346229028184e-05,3.91270171022567,50.0875697945233
"GSM672732",9.353508178,13.12800297,9.788638848,9.438747212,8.923778439,8.604154275,0.279238046254312,0.585106523837985,23.3323212973813
"GSM672734",9.809530483,12.75841524,9.590351301,9.545039405,10.11216691,9.671730855,0.0036982345435544,2.6784458491006,40.1636396216036
"GSM672735",9.387413383,12.88029071,9.679448327,9.258460595,9.816794796,9.306693309,0.0111799559260422,2.28419774826654,36.9937210117644
"GSM672736",9.605606134,12.74293383,9.45124052,9.415497026,9.799172862,9.328658364,0.000409349245265811,3.34639442566255,45.5342238267777
"GSM672764",8.028971747,13.21872714,9.870642007,8.611727323,8.238844238,7.667759108,0.402631303948643,0.246542114152844,20.6101227107054
"GSM672765",8.046743123,13.15227509,9.816794796,8.645266171,8.232792937,7.594366171,0.498768276679765,0.0030874774062553,18.6526462332233
"GSM672767",7.988043866,13.10414349,9.841120818,8.555434201,8.297544238,7.797822305,0.237148158078109,0.71550619190375,24.38078883253
"GSM672768",8.331278067,12.79829665,10.07806877,8.757617844,8.425394052,7.878071747,0.292884402093169,0.544977773777835,23.009669466374
"GSM672769",8.519863197,12.80470855,10.12797993,9.014144981,8.571306691,7.965228625,0.44150796322787,0.147147084273157,19.8109453544301
"GSM672770",8.323040892,13.25872286,9.959482156,8.77573197,8.339630112,7.748886989,0.446944316193785,0.133385348098203,19.7002952751719
"GSM672771",8.309844052,13.23109554,10.03007658,8.857863755,8.466633086,7.786410409,0.489979889545454,0.0251193335669814,18.8297915148504
"GSM672773",8.101442751,13.40495093,10.11953383,8.736597398,8.555434201,7.825005019,0.435608764859832,0.162112161075346,19.93127079253
"GSM672774",8.008369145,13.40928959,9.99890223,8.599350558,8.345705204,7.593509294,0.497451765895159,0.00638751909286307,18.679179940129
"GSM672776",7.982855019,13.38472454,9.990411896,8.416739033,8.261359108,7.689591822,0.205262590067509,0.822969777708399,25.2448407323401
"GSM672778",8.222346097,12.54404182,10.03135093,8.80037881,8.368715242,7.905511896,0.319603595732776,0.468807565888224,22.39722933288
"GSM672779",8.216581041,12.62842751,10.01376952,8.720728996,8.357856506,7.845779182,0.29767319623461,0.531104461867248,22.8981222718221
"GSM672780",8.243223048,13.39496283,9.887065428,8.576081413,8.205537918,7.665011524,0.352380392152947,0.37890180428842,21.6743496380278
"GSM672784",8.026884387,13.7522145,9.861586245,8.507581413,8.313920074,7.544337732,0.464692304266996,0.0886191247473643,19.3403562312251
"GSM672787",7.929290335,13.28163141,9.884420446,8.444594424,8.339630112,7.603724535,0.390493880476512,0.278032043514584,20.8633148323545
"GSM672788",8.127392193,13.15597175,9.753242379,8.593413755,8.327762825,7.707991078,0.340215644040749,0.411874669276744,21.9394651785341
"GSM672789",8.633024164,13.57092379,9.883156134,8.889076208,8.39470223,7.836457993,0.492106279422229,0.019787914480876,18.7869246892598
"GSM672791",7.922072862,12.81725688,9.857714498,8.652879182,8.156835688,7.732870632,0.412199506255367,0.221890645917955,20.4119146590945
"GSM672792",7.839541636,12.80470855,9.947730112,8.541937546,8.171969145,7.575992937,0.471230607961979,0.0721767899527073,19.2081530248063
"GSM672793",7.924209665,12.86480892,10.00393271,8.460543123,8.084459108,7.628094052,0.287565941203903,0.560509616175867,23.1345519354549
"GSM672794",7.815310781,12.33601004,9.985307807,8.395967286,8.064017472,7.570474721,0.312305171920829,0.489326809198894,22.562212578437
"GSM672796",8.296347212,12.38563941,9.730959851,8.745671004,8.382762082,7.858394796,0.300939238589919,0.521701073428637,22.8225151200209
"GSM672797",8.721894796,13.74402658,9.963064312,8.921110409,8.497226022,7.994171375,0.366053401091125,0.342324363940577,21.3802518132986
"GSM672798",8.633590706,13.77875762,9.853855762,8.871863197,8.517363569,7.963007807,0.334417439805879,0.427747615004142,22.0670902601712
"GSM672800",7.97460632,12.8108052,9.828678067,8.657939777,8.213257249,7.693285502,0.436282147755555,0.16040215073995,19.9175215986246
"GSM672804",8.046743123,12.92910465,9.759736431,8.574934572,8.195326022,7.662205576,0.360100074376137,0.358191311691478,21.5078286687115
"GSM672805",8.116738662,12.67568848,9.912965428,8.543130112,8.133879926,7.627140892,0.354467124411278,0.3732878089808,21.6292107821562
"GSM672806",8.316217472,12.14111636,9.960652788,8.836514498,8.213257249,7.791298513,0.467160460547724,0.0824097021488981,19.2904298924308
"GSM672807",8.879577695,13.65160669,10.05097732,9.125550186,8.680669517,8.117284944,0.419544650126111,0.203058510087804,20.2604964589694
"GSM672812",8.104676952,12.85079387,10.16372974,8.757617844,8.471215242,7.852455762,0.393347672551204,0.27060435611331,20.8035931381433
"GSM672813",8.193048327,12.92588699,10.01496245,8.809375836,8.447654275,7.796198141,0.457654096555298,0.106345549601077,19.482884055483
"GSM672814",8.184210409,13.15779442,9.92234461,8.723092565,8.323040892,7.722443123,0.434381485341165,0.165229977781604,19.9563393348472
"GSM672815",8.244351301,12.58472156,9.951659108,8.686794052,8.316217472,7.78546171,0.323106828115945,0.459028561037777,22.3186020689932
"GSM672817",8.159125279,12.29753643,9.964878439,8.607624907,8.393543866,7.826556877,0.227267571920508,0.747875687038257,24.6410530286057
