"","yclH","yclJ","yclI","yfjR","yngA","yngB","yngC","pval","z","inv_cof_var"
"GSM672549",8.127392193,10.697229,7.776724164,10.15378364,7.914788104,9.100802788,11.80120297,0.285992005721486,0.565131960106921,5.78519528689372
"GSM672550",7.973584015,10.90626022,7.701094424,10.14765651,8.462952416,8.952978439,11.80120297,0.232239446715291,0.731491665552689,5.91758513445431
"GSM672551",8.061049071,10.89216097,7.679235688,10.01006208,8.231637918,9.024053532,11.68734461,0.187140967357797,0.888481254746217,6.04251819878163
"GSM672553",7.950186989,10.60737249,7.466259108,11.19147212,9.055988104,9.369944238,11.8064539,0.42669685702867,0.184790047895472,5.48251737793944
"GSM672554",8.047924535,10.80887472,7.54869461,11.18580558,9.38873197,9.766249071,11.81669368,0.310361663216529,0.494825466308877,5.7292450435851
"GSM672555",8.298687732,13.14322714,7.676433829,10.34033606,10.4475026,10.87543271,12.47040149,0.32608049814206,0.45076213241465,5.6941792321758
"GSM672556",8.314534572,13.02507807,7.57735316,10.16372974,10.58518067,11.07205781,12.50924944,0.40713753573307,0.234914530430882,5.52240668036477
"GSM672557",8.309239405,13.12422305,7.79415316,10.2294197,10.7172513,11.18580558,12.57254721,0.356003933077597,0.369160808528203,5.62924050917721
"GSM672558",8.05646487,11.14367621,7.900626766,10.40780558,8.290675465,9.082944981,12.00036022,0.304872036788673,0.510438809237741,5.74167021640399
"GSM672560",8.291892937,10.93927732,7.878071747,10.39560743,8.008369145,9.250950186,11.96150149,0.293467312240284,0.543283497854451,5.76780817635943
"GSM672562",8.364927881,10.95294498,7.9000671,11.08792416,8.546823048,9.174298141,11.56434796,0.141152587494775,1.07515536564129,6.19107434715112
"GSM672563",9.332309294,12.36989182,8.304640149,9.127955762,9.187816729,10.69497435,12.65458104,0.10563017036006,1.2501073349034,6.33030195926412
"GSM672564",8.848271747,11.89014201,7.696285502,8.965011896,8.864891078,10.39436654,12.63305613,0.402717053048065,0.246320546423398,5.53148364232787
