"","ydfM","mntR","yeaB","pval","z","inv_cof_var"
"GSM672549",9.302730483,13.59271896,9.543026952,0.314167321371713,0.484072182050996,55.4563408040976
"GSM672558",9.374982156,13.62670483,9.761062825,0.441171807247131,0.147998927700707,35.0476681627277
"GSM672559",9.645053532,13.92820372,9.743322305,0.0308651349624441,1.8682281981535,139.511786013002
"GSM672560",9.389882528,13.6106,9.843672491,0.474330882049269,0.0643873980579681,29.9702027130544
"GSM672578",9.067066543,13.02507807,9.526674721,0.483277124252756,0.0419303165827342,28.6064547254478
"GSM672598",9.538414498,12.87947621,9.977751673,0.464893424817978,0.0881130181521959,31.4109850646661
"GSM672599",9.913620818,13.39100595,10.08658401,0.179493687975711,0.917296337713605,81.7646823897583
"GSM672600",9.383746097,12.87134275,9.702426022,0.394256965757882,0.268240851929015,42.3495823661893
"GSM672601",9.59425316,12.91991375,9.923634944,0.397106323940701,0.260844212256135,41.900407682468
"GSM672602",9.296919703,12.49265874,9.805014312,0.496559723745826,0.00862360061454316,26.5838425295799
"GSM672603",9.804423792,13.58615465,10.14216097,0.397989473166282,0.258554560971887,41.7613643551034
"GSM672604",9.984714126,13.47410706,10.21153717,0.271711299727184,0.607645525902046,62.9605616524096
"GSM672605",10.10459219,13.59032751,10.01822045,0.0111950498092067,2.28368416036209,164.741121045961
"GSM672626",9.624618587,13.34708364,10.1576368,0.498796737303507,0.0030161368698384,26.2433188775705
"GSM672634",9.648879926,13.2291658,10.17617398,0.496548162954403,0.00865258030236385,26.5856023749538
"GSM672637",9.793090335,13.10802045,10.32988178,0.497060125040718,0.00736924039490338,26.5076691752126
"GSM672638",9.940048699,13.2291658,10.37568922,0.454668998298249,0.113873596168376,32.9753440161127
"GSM672639",10.61667584,13.44724164,10.86057249,0.275512730377136,0.5962242003361,62.2669804417997
"GSM672645",10.42133532,13.40184461,10.76431338,0.385865159819196,0.290112308614864,43.6777672006366
"GSM672657",10.11590446,13.64276654,9.936259851,0.191989825379476,0.870587084954413,78.9281762514515
"GSM672684",11.85151487,13.99217212,11.32477955,0.466846352140144,0.0831997591089046,31.112618282666
"GSM672698",9.002004089,13.49977695,8.764030483,0.329912364094036,0.440155167280663,52.7893985043699
"GSM672699",8.50338829,13.33719963,8.472410781,1.32563566430424e-09,5.95185072958458,387.497349743796
"GSM672700",8.604154275,13.52997026,8.464832156,0.159278238264741,0.997428678955025,86.630867661015
"GSM672704",10.21761561,13.04989703,10.27073271,2.43049967906374e-05,4.06221155282062,272.745500646376
"GSM672705",10.22252528,13.17595502,10.28526989,0.000366845687074785,3.37666954974045,231.114689084711
