"","ydjM","phoP","walR","ydjN","pval","z","inv_cof_var"
"GSM672563",11.29347026,11.83214907,13.33519294,11.52813271,0.471756574355715,0.0708550118083659,68.7681826284267
"GSM672564",10.5722368,11.63497546,13.06752156,10.72997732,0.43966571882783,0.15181679187324,95.4918879343108
"GSM672567",10.65969257,11.92745725,11.60389777,10.7252513,0.287294924568915,0.561304683797288,230.654846818583
"GSM672568",10.48458067,12.42150967,11.62253309,10.26495056,0.47412527404886,0.0649038589240762,66.8038377760459
"GSM672586",9.945725651,12.95655428,9.272632342,10.11590446,0.454200673168705,0.115055228882875,83.357703444407
"GSM672589",10.29977138,12.9397052,9.166081041,10.25501375,0.198683599596372,0.846332649021363,324.73631761234
"GSM672590",11.54940074,12.59350818,9.328658364,11.35058922,0.456494699883633,0.109268664606767,81.4476856764633
"GSM672591",11.14480149,12.60668736,9.368698513,11.16841784,0.0296104393838975,1.8865499889111,668.089213546811
"GSM672592",11.28675688,12.65290223,9.447581784,11.01674572,0.484258002970517,0.0394695803920024,58.4085410864934
"GSM672594",11.58256431,12.82640149,8.853779182,11.24592528,0.496893240939738,0.00778756881664819,47.9510049483433
"GSM672596",11.52934052,12.67491394,9.207777695,11.19886617,0.496071516684557,0.00984740650541455,48.6309121258836
"GSM672598",11.24299684,11.23992454,13.10225725,11.37684758,0.411168681332492,0.224539721382528,119.496129634896
"GSM672599",11.51064052,10.96915539,13.04265836,11.50759814,2.05626815046712e-58,16.0704255162846,5349.87498190749
"GSM672600",11.33658364,11.47126859,13.07797286,11.21893048,0.392346263916305,0.273209044548751,135.5608042096
"GSM672601",11.77697584,11.284429,13.15227509,11.58755948,0.449564539832773,0.126761612119582,87.2217234247587
"GSM672602",11.20686022,11.49827212,13.15779442,11.28319888,0.310780408335121,0.493639475451059,208.320047783076
"GSM672604",11.90186766,11.29765019,13.21968216,11.53860669,0.499700707685642,0.000750214647921878,45.6281289099523
"GSM672615",10.66433346,12.95834721,11.65592045,10.75600112,0.358264496851629,0.363101594302631,165.232360428995
"GSM672651",10.85080967,11.52934052,11.70353494,10.87889517,0.0642599680468967,1.51996434870871,547.087345624838
"GSM672652",10.61440372,11.59011673,11.6620948,10.91700595,0.494037934849674,0.0149452374240338,50.3135941402765
"GSM672711",12.81402342,9.913620818,12.55718141,12.52760316,0.479242401438375,0.0520550831335177,62.5627391058693
"GSM672712",13.01324461,9.727094424,12.58472156,12.75065836,0.471020868581871,0.0727039098647513,69.3784632665238
