"","yflA","abh","abrB","ylaE","ywoF","pval","z","inv_cof_var"
"GSM672550",7.787331599,14.6242052,13.84343978,8.80799777,9.985307807,0.388607966881751,0.282948997826569,8.05533895693773
"GSM672551",7.706005204,14.6741539,13.94112825,8.782315242,9.971773978,0.423468969375392,0.193026851910262,7.78223083249979
"GSM672552",8.381562454,13.36649851,13.19966617,8.926239777,10.24398885,0.215203908859957,0.788493981295451,9.59076096947181
"GSM672553",8.20035539,14.10461152,13.81311004,8.707036803,10.15888587,0.290183064540951,0.552849997697128,8.8750720172139
"GSM672554",7.908544238,14.09866691,13.44091413,8.663332342,10.26107435,0.467152952582655,0.0824285858553374,7.44632598169182
"GSM672561",8.471215242,13.81090595,13.19254647,8.556038476,9.936259851,0.109569620278475,1.2288201616017,10.9281029114256
"GSM672562",7.969496654,14.1456342,13.49977695,8.873246097,10.11462639,0.352782578572671,0.377818866763146,8.343474117714
"GSM672566",10.51542156,12.82942007,15.32970632,9.856439033,11.69730632,0.0801329322228723,1.40417795583765,11.4606929402927
"GSM672567",9.585373606,12.95834721,15.08894944,9.680681413,11.92018364,0.412536202060413,0.221025723084001,7.8672679400412
"GSM672568",9.688352416,12.78208439,15.22313234,9.80762342,12.09369554,0.425349020327018,0.188227851108672,7.76765548963243
"GSM672603",8.127392193,13.41359628,15.24909405,9.42066803,10.69380223,0.48158683635076,0.0461713560217511,7.3362069010553
"GSM672604",8.182572305,13.34507323,15.26197249,9.005653532,10.629771,0.467145571439044,0.0824471506146275,7.44638236587325
"GSM672607",7.816801487,11.84500446,13.8485,9.069464312,10.2729855,0.476999996641608,0.0576844335402417,7.37117398258503
"GSM672624",10.55470335,11.56434796,13.48916357,9.857714498,11.64111115,0.0611846365141959,1.54490487949533,11.88810340505
"GSM672625",10.44105465,11.64738439,13.58394275,9.665223792,11.64867435,0.131891757870646,1.11749317592155,10.589984821064
"GSM672629",10.00012416,11.13001301,13.02025465,10.40029442,11.8387684,0.0985376108788429,1.28992925628033,11.1137011315716
"GSM672637",10.66206617,10.88349665,13.31143866,9.650143866,11.59458271,0.109054301902699,1.23157307527172,10.9364639562105
"GSM672638",9.042649442,11.29289665,13.54736245,9.788014126,11.52222045,0.401618791762759,0.249159270433556,7.95271408094596
