"","yfmI","spo0A","abrB","yfmJ","yqcF","yqcG","pval","z","inv_cof_var"
"GSM672549",9.740756506,12.41567323,14.13440409,11.41145911,10.71597138,10.87328067,0.482999850805968,0.042625959490825,15.3393560461449
"GSM672550",9.810822305,12.83418104,13.84343978,11.43214164,10.93189145,11.05850781,0.477871743963643,0.0554957849155475,15.4825738162883
"GSM672551",9.824746468,12.58602528,13.94112825,11.284429,10.95294498,11.05172937,0.439419912543651,0.152440108017465,16.5613879667934
"GSM672558",9.904658736,12.36528178,14.35976208,10.48817732,10.98158476,11.08324498,0.333213408985582,0.431057147875115,19.661889322136
"GSM672559",9.821001487,12.91305019,14.3392342,10.59594424,10.81497212,11.10190223,0.345741550400192,0.396843187892502,19.2811501205713
"GSM672560",9.625894424,12.24317175,14.60165465,10.54625725,10.90736766,10.94953011,0.420764644945584,0.199937719759509,17.0899500736085
"GSM672566",10.54862454,12.41861375,15.32970632,10.99430186,11.92807175,11.33772937,0.346682383724536,0.394292950297724,19.252770610391
"GSM672569",12.65058866,13.55356059,14.961471,12.13583885,11.64349257,11.865329,0.122222892557472,1.1639462741373,27.817613503445
"GSM672570",12.16733941,13.39879777,14.99403494,12.01517881,11.57750409,11.87491115,0.00171112640362936,2.92702144656026,47.4374363414924
"GSM672571",12.14178848,13.15417807,14.8030119,12.01920743,11.13919257,11.75559182,0.15118734727852,1.03135431859504,26.3421059821665
"GSM672572",12.54641822,14.61673569,13.15065688,12.66046617,12.52980595,13.11539071,0.00235231235114368,2.82659186839594,46.3198376354906
"GSM672573",12.69099182,14.60915242,13.03748513,12.77243197,12.74603086,13.27106394,0.00155494299187117,2.95666221688169,47.7672842524528
"GSM672574",12.21173457,14.79863755,12.95488401,12.78829182,12.61541041,13.1633513,0.0602526375522849,1.55265626875637,32.1432493861871
"GSM672575",11.03873829,14.05215985,13.12605204,11.64474981,12.19544498,12.39590892,0.341894767860581,0.40729744962288,19.397487056319
"GSM672576",11.06673011,13.78374796,12.11264312,11.48265204,11.49827212,12.33457361,0.266291878070541,0.624066739315466,21.8097353410323
"GSM672597",9.461452788,12.66937435,10.40029442,8.618287732,9.916630112,8.836514498,0.475502553018151,0.0614446348293352,15.5487737056772
"GSM672598",9.769282156,12.08541747,13.92068736,10.76431338,11.09734126,11.4039948,0.489269291575597,0.0269011413890681,15.1643673955515
"GSM672603",9.590351301,12.23579331,15.24909405,10.52397398,10.71350892,11.173071,0.466877853144911,0.083120524294288,15.7899869663546
"GSM672604",9.687145353,12.28366413,15.26197249,10.62500372,10.67258401,11.11935985,0.406883668416516,0.235568734684866,17.4864585216372
"GSM672605",9.652842007,12.41861375,15.18381933,10.67624981,10.99196914,11.0330539,0.443511116314002,0.142073141878525,16.4460224723463
"GSM672608",10.89157584,13.28071041,14.17215799,12.23710446,11.89992286,11.7543855,0.30906352038946,0.498506568343973,20.412478803984
"GSM672609",10.71350892,13.2291658,13.99217212,12.18154349,11.66081524,11.7049197,0.361431499842532,0.354635069859685,18.8114504667595
"GSM672621",11.08671896,13.77427435,13.4367223,11.60009591,11.14034721,10.22882435,0.346505800918752,0.394771402483803,19.2580949137866
"GSM672622",10.67029442,13.88486654,13.59032751,11.79360967,11.06789331,10.58402416,0.322428468257697,0.46091869773488,19.9941941081611
"GSM672623",10.76431338,13.7109197,13.20315836,12.03001301,10.95236822,10.95534349,0.342453396058323,0.405776547543912,19.3805621799382
"GSM672627",11.5727223,12.86331896,13.09676506,11.58508885,12.00844572,12.94463234,0.365939928449723,0.342625976995484,18.6778110859057
"GSM672628",11.30542844,12.96154498,12.75065836,11.64111115,12.11117286,13.02672268,0.456415290352639,0.109468908822313,16.0831966063033
"GSM672629",11.58755948,13.12244907,13.02025465,11.74211264,11.82700706,12.59350818,0.145358496221997,1.0565500386156,26.62248856075
"GSM672631",11.03757584,14.61673569,12.93148625,12.69559926,11.52692491,12.23579331,0.45479557325598,0.113554261825681,16.1286591613949
"GSM672634",10.63444684,12.70985446,12.53718401,10.69023643,11.49468773,11.97097658,0.414382754789728,0.216285116814801,17.2718668966146
"GSM672635",10.52881636,12.82326543,12.80924201,10.66912045,11.50417435,11.79984164,0.393468671294243,0.270289760042814,17.8728404393986
"GSM672636",10.43080074,12.72717732,13.36438513,10.65589554,11.38266952,11.89082807,0.440452873008635,0.149821120076454,16.5322433901915
"GSM672637",10.2065,12.84514201,13.31143866,10.54986357,11.15301375,11.6064513,0.407852026409544,0.233073859801698,17.4586950978329
"GSM672638",10.16564033,12.97704498,13.54736245,10.56517138,11.28217807,11.67967361,0.460392719472625,0.0994443904308267,15.9716419329949
"GSM672640",11.37323197,12.91142379,12.90971413,11.65957844,12.0407881,11.93222788,0.0139713738585148,2.19808923203165,39.3257453973437
"GSM672641",10.60167435,12.7521803,13.28071041,11.01674572,11.61880967,12.0179461,0.38882224206404,0.282389997165859,18.0074940902275
"GSM672646",10.94614238,13.73476171,13.9054052,11.55800706,12.10913086,12.16591599,0.305132206561364,0.509696060857063,20.5369975222941
"GSM672647",10.70047807,13.4593829,13.82848513,11.3876119,11.72854535,11.9466974,0.290425770656489,0.552141309549393,21.0093360094364
"GSM672648",11.78463792,13.7497,12.78051896,12.08684164,11.64738439,11.97239591,1.81586968539542e-05,4.12973985650498,60.8215066841905
"GSM672649",11.88872416,13.21222714,12.92150372,12.06073494,11.88011524,11.90186766,2.73300703692232e-29,11.1740039349504,139.211365157204
"GSM672650",11.8179803,13.2904829,12.66638996,12.13388587,11.88011524,12.04739517,8.38319174637402e-10,6.02638854808159,81.9277600628301
"GSM672654",10.17430186,13.16865353,14.05925799,11.04701784,11.13814721,11.48922082,0.334640300815242,0.427135549077651,19.6182490537847
"GSM672655",9.763730112,13.18357249,14.53294684,11.03646654,11.07137844,11.35058922,0.486250086192501,0.0344727492394054,15.2486256319253
"GSM672657",10.43317955,12.35341599,11.81669368,10.69941338,11.11935985,11.26607138,0.111028357816907,1.2210774001334,28.4533791180451
"GSM672658",10.65031264,12.71507175,11.62122007,10.80403717,11.36371152,11.7111632,0.243850463390514,0.693970153213643,22.5876333103924
"GSM672659",10.31164684,12.59782974,11.99250855,10.45007435,11.09151115,11.54940074,0.361151526799019,0.355382504974434,18.8197680613599
"GSM672661",10.68432825,12.80310595,11.3258513,11.18306636,11.82952268,12.4661171,0.498940972901098,0.00265459038745551,14.8945473433347
"GSM672662",10.84853383,12.77089368,11.40649405,10.90156766,11.68671264,12.4632171,0.493159222233922,0.0171481273566314,15.0558340723862
"GSM672669",11.92414164,12.98724424,12.01920743,11.5435829,12.43176617,13.30108123,0.45283770656362,0.118495054879589,16.1836412097575
