"","abn2","ccpA","acoR","acuA","acuB","acuC","amyC","amyD","bglH","bglP","bglS","cimH","crh","csbX","cstA","dctP","dprA","drm","galK","galT","glmR","hbuT","ldt","melA","mmgA","mmgB","mmgC","mmgD","mmgE","mmgF","msmE","msmR","msmX","mtlR","odhA","odhB","pupG","rsbR","rsbS","rsbT","rsbU","rsbV","rsbX","sacA","sacP","scoA","scoB","sspH","sucC","sucD","topA","whiA","yesL","yesM","yesN","yhaR","ylbP","yopL","ypiF","ysfE","yvcI","yvcJ","yvcN","ywdA","yxiE","yxjF","yxkF","pval","z","inv_cof_var"
"GSM672552",10.12423866,12.8811052,13.42815502,13.30973011,13.07877639,12.79503234,11.88390743,11.16154387,12.72717732,12.3842197,11.02712677,10.495429,13.82289926,11.63990818,13.40705576,15.28884089,10.60049368,13.82567398,12.94794461,12.90673086,14.07067323,7.381883829,9.428277695,11.82445613,7.441605204,7.366966729,7.35522119,7.500260409,7.676433829,9.82355539,11.92944684,12.5479145,14.00869331,11.30368922,16.30918699,15.98063123,13.64620595,13.16499442,13.20863941,13.34507323,13.01695428,13.35442714,13.17595502,9.809530483,9.637282528,7.79415316,7.823384758,13.50399368,16.08663829,15.49940186,11.87245242,14.03459963,11.84372045,10.77706283,9.208952416,11.67574201,13.75689926,14.09040223,13.33519294,13.46775725,13.87415316,14.39777584,12.91651264,10.5733777,14.14266803,8.146702602,12.52257955,0.406800834273589,0.235782216217442,5.0948667199001
"GSM672553",9.38873197,12.68798067,12.08955204,12.63002937,12.3046145,11.99779554,11.28319888,10.85317881,11.77964126,11.39696357,10.02011078,10.88695465,14.03726022,11.02835167,11.88872416,13.12244907,10.58157807,13.6744539,12.33017993,12.34049442,14.19217844,7.419142751,8.923778439,10.495429,7.384224535,7.281887361,7.279125651,7.469251487,7.737766543,9.819645353,12.19816729,12.96003271,13.56203011,10.54747175,15.79347546,15.22980632,13.39496283,12.92503755,13.23499331,13.34507323,12.86331896,13.59952639,13.45315651,9.724398885,9.555390335,7.958960223,7.864212268,12.11117286,15.23706097,14.81200037,11.43100372,14.30353717,11.11701859,10.1254855,9.264464312,10.63032751,13.52142082,13.63389182,12.71352639,12.11406171,13.69645948,14.39777584,13.14143123,9.928841264,13.54124015,8.311623048,11.87245242,0.352293591008413,0.37913558555691,5.2097531805949
"GSM672554",9.270202602,12.6418026,11.64867435,12.51368253,12.12529108,11.78200855,10.0326223,10.07542639,11.74823048,11.56802119,9.989074349,10.42954089,14.26946022,11.22378216,11.50287249,11.54228885,10.17127509,13.6106,12.30598216,12.233029,14.17215799,7.408428625,9.250950186,9.632133457,7.330529368,7.186738848,7.204681041,7.576460967,7.749934201,9.724398885,11.87177305,12.58472156,13.45721859,10.47617472,15.31526691,14.91633309,13.3970368,12.97704498,13.44939033,13.57313309,13.16865353,13.68176245,13.66069851,9.870642007,9.428277695,7.962027881,8.110748699,11.58623978,15.09480297,14.4307868,12.07855874,14.46409554,10.84047993,10.09716097,9.031537918,10.45853197,13.30005502,13.54124015,12.34786914,11.94133643,13.66987732,14.25115204,13.06224758,9.621270446,13.71644461,8.485988104,11.62863903,0.367925917164584,0.337351641827823,5.17626663311419
"GSM672555",11.62737993,12.39001859,12.72426729,14.34210483,14.30661041,14.2410829,13.34118773,12.77243197,11.12047993,10.57562602,11.46098476,10.79346208,14.28199294,12.84824535,12.16032193,11.67314796,11.61378959,13.41578699,12.65290223,12.63887881,14.31640743,7.212406691,9.535849814,13.37237472,7.382328253,7.259799814,7.362719331,7.499016357,7.858394796,10.10077323,12.94970781,11.87946413,13.58394275,11.11823309,14.94641301,14.73557435,13.31737249,11.76959033,12.34349182,12.55561822,11.95744758,12.64033755,12.77884796,9.41349145,8.987587732,7.664118587,7.721073978,12.74146729,15.58130781,15.10605167,12.81402342,14.44320929,11.48447993,11.37927323,10.80887472,12.73977435,14.78475056,12.69099182,13.62222788,12.82172268,13.90293309,14.5076632,13.57750632,9.785500743,15.47494981,8.020653532,11.93087695,0.345596849901899,0.39723564402427,5.22425895513836
"GSM672556",11.89547138,12.18563792,12.58170112,13.93848699,14.06186803,14.177971,10.287729,9.846188848,11.28562714,10.62021264,11.78330967,11.02948476,14.22852825,12.81725688,12.21495725,11.93680669,11.69730632,13.47812268,12.80470855,12.83733197,14.37361413,7.222447955,9.477910781,10.50936506,7.315667658,7.158062082,7.263282528,7.502083271,7.6654671,9.989074349,10.11526543,9.113410037,12.88900186,11.27490967,14.95131636,14.75811599,13.36438513,11.55183606,12.55561822,12.57880929,11.99639963,12.97032825,13.00624349,9.59959145,8.813281784,7.567378439,7.60192119,12.66937435,15.51421413,15.08293978,12.82172268,14.55173829,11.4657,11.33291115,10.68536877,12.87794796,14.61295725,13.2139171,13.99217212,12.63451004,13.73361487,14.5706171,13.56426171,9.547546468,15.32970632,8.038151301,11.99250855,0.445643101416212,0.136676882863144,5.01544158299877
"GSM672557",11.77836766,12.26155651,12.82942007,13.73590855,13.83597807,14.20445688,11.6522461,11.08555204,11.58383606,10.75363569,11.95273885,11.07273717,14.14860818,12.89897175,12.59922416,11.57506468,11.27385204,13.69168178,12.90213346,12.90509033,14.25402268,7.248830483,9.250950186,11.58256431,7.441605204,7.337226766,7.413121933,7.45293829,7.823384758,10.05097732,11.25459517,9.819645353,13.24257695,11.47189517,15.12307993,15.02706357,13.6829474,11.56165688,12.60967212,12.68502305,12.14044424,13.07957993,13.01695428,9.860341264,8.885569331,7.776275836,7.883198141,12.86480892,15.75899182,15.49114684,12.88276766,14.40469851,11.52934052,11.27025613,10.44165911,13.25773792,14.67824238,13.01068606,13.85627844,13.02025465,13.47410706,14.58155874,13.79624275,9.264464312,15.12831859,8.184210409,11.87367249,0.368401766996837,0.336089290676485,5.17525495786303
"GSM672566",10.20114275,12.72717732,10.39292119,11.92544981,11.70928476,11.4285632,9.014144981,8.787394052,11.96838401,11.32697918,10.22478587,10.48220409,12.86164312,11.33658364,11.33162788,13.85341561,12.47610223,11.83606431,11.95349405,11.84240669,13.30585762,7.468778439,8.453284015,9.192094796,7.18144684,7.095104089,7.260295911,7.415719331,7.650818216,8.652879182,9.455064684,9.556754275,12.75695279,12.65138587,15.65681413,15.27586766,12.11816134,11.59898848,11.93357212,12.15447286,11.6362881,14.41200297,14.06780892,10.53918104,9.749528253,7.8041171,7.952664312,10.38045316,15.74199963,15.4060026,13.06578587,13.33142937,9.467850558,9.546230855,9.231700743,11.27734684,12.1503,13.33519294,12.55718141,12.55092639,12.84746636,13.61745502,12.00844572,10.62734349,13.29238922,8.125321561,10.4224948,0.445359333897886,0.137394892705546,5.01601701146563
"GSM672567",10.15011822,12.59922416,10.51658141,11.86596059,11.67839033,11.6998658,8.935267286,8.817110037,11.91107807,11.36724349,10.46381078,9.940048699,12.70912007,11.51009108,11.7543855,14.4894368,12.74603086,12.08812974,11.8697881,11.92944684,13.23707546,7.505216357,8.25673829,9.175440149,7.238387361,7.222985502,7.240054833,7.439755019,7.58419145,8.575507993,9.533196654,9.703587361,12.36067658,11.91377249,15.66552974,15.38340149,12.17875688,11.54112342,12.06224721,12.24164052,12.04992751,14.17215799,13.45721859,10.43819554,10.34276747,7.821365799,8.078779554,10.64447546,15.67325911,15.53070669,13.17256729,13.17423792,9.545039405,9.474102974,9.10509368,10.88115093,12.22879703,13.71644461,12.85502825,12.29913829,12.88276766,13.4302974,11.65957844,10.33848885,13.56877881,8.075726022,10.16938048,0.449109043826868,0.127912665642706,5.0084177515963
"GSM672568",10.2203197,12.41861375,10.76010335,12.17742788,11.93752491,11.81351859,9.236433086,9.306008922,12.19956989,11.78463792,10.51419851,10.42782379,13.25773792,11.44532602,11.55800706,14.27227695,12.87947621,12.10516877,12.0286052,12.08541747,13.42601599,7.437914498,8.249947584,9.372447955,7.163301115,7.152958364,7.242649442,7.403995539,7.549137175,8.596839033,10.56632751,10.48689405,12.65290223,11.7049197,15.60525576,15.46632379,12.24736022,11.41517398,11.99510037,12.44072714,12.04601524,14.17513717,13.49568401,10.65360335,10.42423903,7.96097026,8.136575651,11.24592528,15.85358848,15.50683643,13.18693197,13.42404535,9.298148699,9.873752788,9.374369331,11.16780799,12.14178848,13.88738959,12.92503755,12.73350074,12.97545799,13.75689926,12.11406171,10.78305911,14.06780892,8.028971747,10.32126059,0.422609821067529,0.195221380136614,5.06236039708662
"GSM672569",10.96861338,12.87464238,11.24241227,12.73028625,12.1967829,11.79491301,11.49590892,11.08555204,11.78265911,11.61633606,9.982824907,10.56761375,12.57880929,10.35981673,11.1778052,13.88738959,12.78051896,12.14178848,11.83606431,11.53634684,12.87304684,7.213489591,9.021356134,11.07624796,7.354395539,7.137790335,7.228956877,7.300564684,7.433513383,8.59803829,11.82298996,11.36127584,12.49197454,10.2294197,15.39060186,14.70664796,11.93357212,12.68047472,12.97120576,12.97120576,12.1703171,12.76756729,12.56626989,9.539726022,9.373756506,7.424458364,7.46099777,11.32936877,15.83757435,15.15316729,13.26519851,13.03748513,9.956937546,10.25008439,9.39121487,9.793090335,14.06780892,13.71644461,12.84075093,12.12819442,12.71058885,13.40495093,11.67574201,11.06557435,11.92544981,7.553907435,11.12695781,0.329303274942903,0.441837845925399,5.26000411508281
