"","ansA","ansR","ansB","pval","z","inv_cof_var"
"GSM672552",10.22716952,9.861586245,10.39560743,0.416915324507971,0.209791190517782,37.2203174329997
"GSM672569",9.137415985,8.814584758,9.276272862,0.404225369244567,0.242425163053078,38.316035099035
"GSM672570",9.106116729,9.041450186,9.283654275,0.10154658727628,1.27278829857138,72.911488925502
"GSM672572",8.871863197,9.01662119,8.96372119,0.0030652998972987,2.74071317946651,122.198507926025
"GSM672573",9.012932342,8.771788476,9.137415985,0.294919349069964,0.539069792392443,48.2761697577901
"GSM672574",8.983071375,8.555434201,9.09434684,0.487804232113506,0.030575019697467,31.2029585535483
"GSM672575",8.38646803,8.413599257,8.488292565,5.61596955443122e-05,3.86231113582863,159.857260431438
"GSM672576",8.439837918,8.321933829,8.546823048,0.0909596149831835,1.33486898603654,74.9959089544037
"GSM672608",9.223396654,9.513952416,9.619292193,0.317669115697052,0.474226733741523,46.0990004043889
"GSM672609",9.757262825,9.876702974,9.938197955,0.010942655997659,2.29235247619378,107.144357138816
"GSM672612",10.21397621,9.965484758,10.2294197,0.127284992221994,1.13931934064446,68.4301376309366
"GSM672613",9.790525651,10.16753123,10.17246059,0.320428569605529,0.466500710391472,45.8395915854443
"GSM672614",9.780388104,10.08044907,9.880541264,0.150567852150234,1.03400098168841,64.893970333462
"GSM672615",10.09954424,9.846188848,10.22599703,0.257844921911584,0.650003681106657,52.0008839799002
"GSM672616",11.55183606,11.8281881,11.79090335,0.0763902994922106,1.42977850931253,78.1825893751223
"GSM672617",10.92844275,11.05226171,11.29526506,0.19172849256843,0.871544379410213,59.4393304213954
"GSM672625",10.12797993,9.595648699,10.1353223,0.476444180760669,0.05908003387155,32.1600423890314
"GSM672626",10.19560706,9.759085316,10.24135167,0.410085871838368,0.227324088217958,37.8090016860766
"GSM672628",9.980197026,9.548204833,10.10459219,0.456731075851767,0.108672629558283,33.82516247638
"GSM672629",10.10210855,9.542331227,10.0326223,0.473338828426042,0.0668794701931523,32.4219161205685
"GSM672636",9.996925651,9.569156506,9.996925651,0.386054963248443,0.289616128930017,39.9005181077374
"GSM672637",10.04980929,9.639908922,10.1083052,0.397301173427109,0.260338928622505,38.9175073647363
"GSM672638",10.09491599,9.697269517,10.14765651,0.378877114036474,0.308431221221001,40.5322533029858
"GSM672646",9.371142751,9.080512639,9.416856134,0.268338608929198,0.617845453686743,50.9211399231731
"GSM672648",9.005653532,8.810766914,8.804210781,0.0792322701673136,1.41025452729275,77.5270525112822
"GSM672649",9.103892193,8.862331599,9.060899257,0.118305609767471,1.18349956318987,69.9135319765076
"GSM672650",9.11569145,8.822447584,9.207155948,0.329195554985617,0.442135564759514,45.0215079005486
"GSM672655",9.993965056,9.533196654,10.13296468,0.484367883839014,0.0391939367731742,31.4923471559237
"GSM672661",9.964272119,9.364909294,9.761062825,0.480572640766934,0.0487164308051909,31.8120742416872
"GSM672664",10.24398885,9.604932714,9.958141264,0.489769858578595,0.0256459727571223,31.0374609634706
