"","yodF","tnrA","yoyD","yttA","yvgT","ywdI","ywdJ","ywdK","ywlF","ywlG","yycB","yycC","pval","z","inv_cof_var"
"GSM672566",10.87208662,12.24009331,11.49590892,11.11701859,9.080512639,11.32192082,11.25086022,11.61025167,12.89897175,12.59350818,12.79137658,13.17595502,0.195214599519684,0.858839269119587,9.89842035617668
"GSM672567",9.866851301,12.1703171,10.67379851,11.31913494,9.25350855,11.67702007,11.58320019,11.77446952,12.81800112,12.40042639,12.62237993,13.26519851,0.299082474441722,0.527041241986607,9.31775671653206
"GSM672568",9.923634944,12.15105037,10.44625204,11.54819108,9.168436059,11.7148948,11.21533234,11.55933717,13.10225725,12.49718067,12.57565725,12.97120576,0.344610407973831,0.39991270260777,9.09527522375081
"GSM672575",11.39810297,10.91926171,11.63251747,11.31557286,8.799714498,11.13814721,9.796913383,10.20527881,13.12800297,12.47473234,11.58755948,11.94935167,0.331549096269411,0.435639658036551,9.15779923618076
"GSM672577",11.39588067,9.206534201,10.17553309,11.2352461,9.587906691,10.8252368,9.430920818,8.857243123,12.44507026,11.85680372,11.21065762,11.29045911,0.225867344714257,0.752526184350586,9.71236698124484
"GSM672578",11.29171004,10.49189926,11.88637695,11.01917918,9.210145725,10.85929926,9.61657658,9.535849814,12.30746208,11.62122007,11.25578067,11.07385093,0.0852421532453936,1.37064930062957,10.7941142765751
"GSM672579",10.87328067,10.25195558,10.46088141,10.94041004,9.271420074,10.67870929,9.258460595,9.453789963,12.22177807,11.84372045,11.35883048,10.66433346,0.0913413960575856,1.33254004357521,10.7274211135791
"GSM672580",10.87889517,10.09603011,10.48458067,11.06212491,9.143151301,10.81843457,9.283654275,9.305324535,12.34786914,11.49827212,10.90396134,11.03646654,0.103786968582811,1.26026456830053,10.6009353086674
"GSM672581",11.20569219,10.50383271,11.31557286,10.28280446,8.849630483,10.70406654,9.354231413,9.677058364,11.98715093,11.54819108,11.58755948,9.972934944,0.143071898235479,1.06661926723644,10.2620460564089
"GSM672582",10.93447918,10.98158476,10.9382052,10.67258401,8.811955762,10.89029628,9.081620818,9.411591822,12.10021896,11.38451078,11.59519071,10.1576368,0.188498115209365,0.883444363177207,9.94148053827827
"GSM672583",10.90858253,10.53447063,11.5350052,10.49302193,8.753835688,10.7701803,9.25350855,9.56301487,11.93222788,11.38992602,11.56687732,10.26606654,0.149998940182641,1.03643793497939,10.2092271702053
"GSM672584",10.32988178,10.07056989,10.26368476,9.103892193,8.742515613,10.51481004,10.00393271,10.49072788,11.85151487,11.30602491,11.53286245,9.753242379,0.0870288641710672,1.35928047613159,10.7742182480528
"GSM672586",10.3503487,9.810822305,10.26606654,9.883156134,8.647807807,10.76186208,9.421286617,10.14765651,11.62675149,11.23992454,11.42414219,10.32377435,0.0269381965803186,1.92782904943394,11.7692075394032
"GSM672587",10.11712491,10.26606654,10.38305279,8.940634758,8.338381041,10.86286431,10.01882751,10.88115093,11.99779554,11.37209145,11.48383494,10.58157807,0.236308862132711,0.718226364722856,9.65234052998385
"GSM672589",10.35518699,9.970596283,10.44871636,9.482872862,8.80799777,10.68093011,9.909817472,11.13814721,11.92544981,11.27490967,11.40904461,10.10964312,0.0373067414112584,1.78283305741774,11.515457084087
"GSM672590",10.84505911,9.94911487,10.228229,9.540365799,8.236467658,10.8749,9.582884758,10.68654312,12.0286052,11.43100372,11.11460186,9.996260595,0.190875613394159,0.87467415447197,9.92613222125773
"GSM672591",10.98619703,9.775313755,11.12166803,9.371142751,8.267149814,10.72635353,10.0087881,10.76773309,11.98584164,11.46338662,11.38041859,10.24892193,0.177943283206459,0.923231519429989,10.0111101113064
"GSM672592",11.18683271,9.80762342,11.46694833,9.440052788,8.316217472,10.73234387,9.785500743,10.71943829,12.10581004,11.70990037,11.55183606,10.67870929,0.2619077206031,0.637475073660097,9.51102161082189
"GSM672593",10.28464126,10.28171859,10.76373123,9.407636059,7.873057621,10.85993587,9.63347026,10.629771,12.00437026,11.4645171,10.99780372,10.03614498,0.312942352145053,0.487527295624652,9.24860527488693
"GSM672594",9.926298885,10.43080074,10.246271,9.109746468,7.687710037,10.94269926,9.414807249,10.83943569,11.78330967,11.35697063,11.17175985,10.28280446,0.43363280505214,0.167132734167695,8.68789828761068
"GSM672606",10.91387193,10.27239833,10.70654424,10.02137472,11.12871487,11.18580558,10.04345948,10.95765093,12.85502825,12.73350074,12.25553011,12.57407212,0.0699867666779196,1.47588959442747,10.978290212044
"GSM672607",10.84047993,9.92234461,10.66314126,9.930198141,11.5375197,11.35768476,10.495429,11.2363461,13.02507807,12.93810186,12.45691115,12.66046617,0.0791782492069869,1.41062065337139,10.8640662029478
"GSM672608",11.72211413,10.94953011,12.05809554,12.38563941,9.646335316,11.28562714,10.30703643,11.05971004,14.26004424,13.84114201,11.86596059,12.1644855,0.418807628423229,0.204944794685062,8.75407134135725
