"","yqaF","sknR","yqaG","yqaH","yqaI","yqaJ","yqaK","yqaL","yqaM","yqaN","yqdA","yqzO","pval","z","inv_cof_var"
"GSM672549",7.61607658,10.89925799,7.150183271,7.079829368,7.180258364,7.34906803,7.455511152,7.400432342,7.491115242,7.372210409,7.255019703,7.493678439,0.377686542005483,0.31156243841758,44.2163703008941
"GSM672552",7.753662454,12.41861375,7.13317119,7.175556134,7.599577138,7.361776952,7.393342379,7.378231784,7.40222974,7.396921933,7.204681041,7.422534201,0.457777481967328,0.106034519533921,41.0057943459568
"GSM672554",7.597465056,11.83474164,7.117533829,7.112858736,7.279125651,7.365495911,7.400432342,7.477835316,7.481363197,7.313760595,7.413969517,7.544337732,0.321013341267007,0.464867029763014,46.6111594732292
"GSM672558",7.431591822,11.37801599,7.05993829,7.264314126,7.295992007,7.338213011,7.4853671,7.493678439,7.408428625,7.437914498,7.393342379,7.467078439,0.117966840758379,1.18521188619707,57.8637517628396
"GSM672566",7.338213011,11.19995948,6.965320818,6.8905,7.075526766,7.166906691,7.22019777,7.168089591,7.295992007,7.283749814,7.147453903,7.325943494,0.266530601013804,0.623339871165389,49.0866824916132
"GSM672567",7.442474721,11.01195019,6.8905,7.022507807,7.317484015,7.288125651,7.285741264,7.321295167,7.278232342,7.255019703,7.150183271,7.28231171,0.315141479488954,0.481328620364293,46.868307929028
"GSM672568",7.439755019,11.00246134,7.022507807,7.061997398,7.19202974,7.294949814,7.333413755,7.332467658,7.322290706,7.290454647,7.05796171,7.338213011,0.207337653956137,0.815693761592832,52.0914653882598
"GSM672576",7.518624907,11.29894126,7.083947212,7.022507807,7.11902119,7.179195167,7.188427509,7.165705948,7.18144684,7.200011152,6.993476952,7.242649442,0.211305368754788,0.801900118623219,51.8759932582944
"GSM672578",7.492813011,11.20930781,7.001856877,6.978382528,7.093293309,7.100415613,7.183873606,7.122063197,7.152958364,7.189788476,6.948236803,7.257305576,0.307878815373666,0.501871902745334,47.1892169753819
"GSM672580",7.549599442,11.17175985,7.028367658,6.978382528,7.100415613,7.101850929,7.185085502,7.124948327,7.18144684,7.228956877,6.993476952,7.281887361,0.370473437607405,0.330599696868762,44.5137535691297
"GSM672610",7.258240892,10.33722862,6.939026766,6.842628253,7.151679554,7.337226766,7.301544238,7.211249442,7.242649442,7.179195167,7.112858736,7.221857249,0.298642605891054,0.52830853055054,47.6021866683659
"GSM672611",7.340946468,10.43927658,6.948236803,6.914249814,7.194324907,7.268254275,7.259303717,7.147453903,7.244748699,7.236266543,7.154222305,7.16059777,0.165504428647987,0.972083806927539,54.5344528026723
"GSM672612",7.247768401,10.79403978,6.914249814,6.8905,7.155304089,7.159424535,7.208582528,7.050248699,7.120526022,7.338213011,7.031287732,7.319405948,0.290343973354457,0.552380122054005,47.9782118492653
"GSM672615",7.243707063,11.23349517,6.978382528,6.928560223,7.236266543,7.285741264,7.281887361,7.133884387,7.087793309,7.277204089,7.015959108,7.19202974,0.16201098735793,0.986226506802436,54.7553775918828
"GSM672616",7.612225279,9.70122342,7.123569888,7.103652416,7.224067844,7.327780297,7.325028996,7.091472119,7.083947212,7.17327026,7.159424535,7.089604089,0.357661413338604,0.364716786538354,45.0467006662472
"GSM672617",7.411239405,10.0453197,7.108245353,7.135171747,7.273359108,7.381439405,7.406658364,7.068984758,7.120526022,7.101850929,7.214778439,7.087793309,0.186137091572152,0.892221569500191,53.2869153363056
"GSM672622",7.267130483,10.88115093,6.928560223,6.956875093,7.123569888,7.022507807,7.039841264,6.988712639,7.019252045,7.247768401,7.005772862,7.334518587,0.220533215566615,0.770393629584548,51.383826662722
"GSM672623",7.22019777,11.24241227,6.842628253,6.914249814,7.095104089,7.001856877,6.978382528,6.928560223,7.022507807,7.262255019,7.053049071,7.289504089,0.293389368234053,0.543509958060046,47.8396499673077
"GSM672626",7.437914498,11.85680372,6.999843123,7.034201115,7.097653903,7.225685502,7.411239405,7.351365799,7.400432342,7.404819331,7.233129368,7.39422342,0.370647855893238,0.33013797315934,44.5065409283978
"GSM672627",7.47143829,11.79619814,6.961097955,7.182719331,7.316581784,7.273359108,7.313760595,7.255019703,7.271870446,7.35522119,7.279613197,7.413121933,0.156074756851958,1.01072198052388,55.138024287096
"GSM672629",7.3937829,11.7049197,6.965320818,7.03734461,7.105244981,7.180258364,7.250825651,7.222447955,7.245731599,7.318883457,7.139126022,7.290454647,0.129412264377232,1.12917378827193,56.988374000363
"GSM672630",7.568715242,12.2190777,7.108245353,7.144603717,7.325028996,7.322290706,7.301544238,7.247768401,7.248830483,7.526581784,7.124948327,7.291402602,0.267107908678631,0.62158343311002,49.0592449647918
"GSM672631",7.66315539,12.51591394,7.013033457,7.519544981,7.523875465,7.522116729,7.338634015,7.245731599,7.530736059,7.533924535,7.45163513,7.505216357,0.445568773259885,0.136864946708993,41.4874000991137
"GSM672632",7.465363941,12.42726766,7.055417844,7.182719331,7.35522119,7.324245353,7.339055019,7.257305576,7.46751487,7.689591822,7.371171004,7.595947584,0.455192791373777,0.112552200346774,41.1076078096135
"GSM672634",7.347610037,11.47898253,6.997829368,6.983714126,7.117533829,7.166906691,7.237405204,7.240054833,7.19202974,7.318360967,7.096736803,7.353526766,0.148068450596678,1.04475352169849,55.6696350210444
