"","yqaF","yqaG","yqaH","yqaI","yqaJ","yqaK","yqaL","yqaM","yqaN","yqdA","yqzO","sknR"
"yqaF",1,0.368805109171344,0.479476580066567,0.446219738471293,0.509309759051752,0.400302382923176,0.33199453785513,0.390517324604441,0.107363697203651,0.549322095281701,0.246794041471588,0.270345014964229
"yqaG",0.368805109171344,1,0.603060677466807,0.470401570625476,0.593576272456993,0.606795699018629,0.546852505016763,0.40774529386951,0.346127732602773,0.418421961870761,0.225224695057857,0.076906286944504
"yqaH",0.479476580066567,0.603060677466807,1,0.596429913248682,0.592329609551532,0.554049477010426,0.551654107148081,0.47219077532804,0.43517816795873,0.546944669021078,0.325911941351026,0.25563131413189
"yqaI",0.446219738471293,0.470401570625476,0.596429913248682,1,0.665168364981641,0.555850281672898,0.423880246178424,0.38041919949319,0.437893497733014,0.51793294463142,0.330093328517867,0.270254442486304
"yqaJ",0.509309759051752,0.593576272456993,0.592329609551532,0.665168364981641,1,0.8003149750026,0.651149325903912,0.625592527228898,0.391331411473135,0.636691913875954,0.40108798251411,0.202006249499163
"yqaK",0.400302382923176,0.606795699018629,0.554049477010426,0.555850281672898,0.8003149750026,1,0.776531923071116,0.714568122687887,0.431048668521156,0.623729307707645,0.508545489827328,0.0406789392490398
"yqaL",0.33199453785513,0.546852505016763,0.551654107148081,0.423880246178424,0.651149325903912,0.776531923071116,1,0.819709444740368,0.525807733108601,0.538586631641825,0.626348960991931,0.147754171659041
"yqaM",0.390517324604441,0.40774529386951,0.47219077532804,0.38041919949319,0.625592527228898,0.714568122687887,0.819709444740368,1,0.572746396280477,0.66294604886158,0.776375589062863,0.225336964417344
"yqaN",0.107363697203651,0.346127732602773,0.43517816795873,0.437893497733014,0.391331411473135,0.431048668521156,0.525807733108601,0.572746396280477,1,0.360968492370065,0.650808892266289,0.287297650672486
"yqdA",0.549322095281701,0.418421961870761,0.546944669021078,0.51793294463142,0.636691913875954,0.623729307707645,0.538586631641825,0.66294604886158,0.360968492370065,1,0.543231378288578,0.300443267464478
"yqzO",0.246794041471588,0.225224695057857,0.325911941351026,0.330093328517867,0.40108798251411,0.508545489827328,0.626348960991931,0.776375589062863,0.650808892266289,0.543231378288578,1,0.233006818288594
"sknR",0.270345014964229,0.076906286944504,0.25563131413189,0.270254442486304,0.202006249499163,0.0406789392490398,0.147754171659041,0.225336964417344,0.287297650672486,0.300443267464478,0.233006818288594,1
