"","yrkN","yrkP","yrkO","yrkQ","yrkR","pval","z","inv_cof_var"
"GSM672549",9.814483271,9.11569145,9.098998885,9.142003346,9.226846097,0.19829507306191,0.847726784388827,30.6231435773008
"GSM672550",9.624618587,9.009402602,9.058432714,9.082944981,9.126830483,0.0598977178978233,1.55563279456025,36.4448743996377
"GSM672551",9.784247584,8.972713011,8.802977323,9.138475093,9.207777695,0.449323844213678,0.127369836914114,24.6990177979723
"GSM672558",9.855135316,9.2174171,9.306693309,9.22933197,9.450021561,0.0737278381611213,1.44857725703628,35.5644629981945
"GSM672559",9.912310037,9.083577695,9.106701301,9.089297398,9.138475093,0.406136246939027,0.237495391655767,25.6046766384887
"GSM672560",9.889610409,9.032881413,8.972713011,9.138475093,9.226846097,0.432943893396391,0.168884124304333,25.0404261247761
"GSM672566",8.861024164,8.496584015,8.041924721,8.741252416,8.784646468,0.397369925508444,0.260160656613961,25.7910729534057
"GSM672569",8.900716729,8.326605204,8.362547955,8.304640149,8.485988104,0.0988298912375131,1.28824761352397,34.2459319870735
"GSM672570",8.989582156,8.276495167,8.284689219,8.264835316,8.366779182,0.339389031388485,0.414131147613206,27.0573070866116
"GSM672571",8.788727138,8.372890892,8.246547955,8.513688848,8.519863197,0.0129806599920816,2.22678988115439,41.9643866534026
"GSM672599",9.872476952,8.932741636,9.021356134,9.030965056,9.282447212,0.47880677964546,0.0531485368110297,24.088631073922
"GSM672600",9.78358829,8.979176952,8.917146097,9.164875465,9.258460595,0.348836430704007,0.388463768593099,26.8462217597138
"GSM672601",9.832570632,9.108434572,8.932741636,9.232905204,9.215614684,0.328466848853484,0.444150610364759,27.3041834078458
"GSM672603",10.13296468,9.224525279,9.119518959,9.485410037,9.352210781,0.496549728866709,0.00864865499543512,23.7226695905699
"GSM672604",10.2208684,9.295172491,9.398832714,9.529263569,9.429528625,0.395672282992799,0.2645650253775,25.8272939333313
"GSM672624",9.222212268,8.703616171,8.424176208,8.814584758,8.62324461,0.236490604888935,0.7176368830039,29.553300437554
"GSM672625",9.333706691,8.752569145,8.399660595,8.745098513,8.694099628,0.392628458078622,0.272474863783234,25.8923434588117
"GSM672626",9.464062082,8.927639405,8.815912639,8.980534201,8.989582156,0.0629141676626346,1.5307615511841,36.2403363930771
"GSM672627",9.144256877,8.57858513,8.506366543,8.71819145,8.619519331,0.0940588817754444,1.31616769607528,34.4755432671244
"GSM672628",9.374982156,8.780972862,8.496584015,8.797762082,8.516163569,0.445056268083017,0.138161810783348,24.7877696463895
"GSM672629",9.095472862,8.556038476,8.329036803,8.605266543,8.546823048,0.20281405007504,0.831611798685748,30.490615942811
"GSM672634",9.768651673,9.026469888,9.003201487,9.168436059,9.148971747,0.241520199285005,0.701420874513684,29.4199420042503
"GSM672635",9.804423792,8.97785948,9.021356134,9.046287732,9.113410037,0.359617871959468,0.35948039180832,26.6078660803737
"GSM672637",9.276272862,8.833244238,8.382762082,9.07303197,8.985678439,0.362013855759397,0.35308100669179,26.5552383345408
"GSM672638",9.260887361,8.768963569,8.483455019,8.91457658,8.741252416,0.185198919939484,0.895728397419475,31.0179028618487
"GSM672639",9.405123048,8.795147584,8.727996283,9.020110409,8.981802602,0.104706774281695,1.25517965726074,33.9739852350425
"GSM672640",8.924918587,8.468954647,8.228271004,8.684418216,8.685659851,0.13374754836873,1.10884953607666,32.7705845512041
"GSM672641",9.333706691,8.649103346,8.511257993,8.96094052,8.873860781,0.298015399147685,0.530117021293839,28.0111604598846
"GSM672645",9.445009665,8.985678439,8.825094796,9.148971747,9.078164312,0.0258328898424173,1.94590810086579,39.6544498902679
"GSM672647",8.511257993,7.838514126,7.698256877,8.012508922,8.038151301,0.383784679908196,0.295555764553506,26.0821579108589
"GSM672649",8.428883643,7.881148327,7.770922305,8.084459108,8.171969145,0.173863763584256,0.939006266118324,31.3738146615919
"GSM672658",9.258460595,8.494200372,8.830134572,8.607624907,8.766517844,0.21828029126187,0.77801430083025,30.0498367987126
"GSM672659",9.427001859,8.61233197,8.727996283,8.720728996,8.810766914,0.329771764369657,0.440543479350714,27.274518811836
