"","ytrA","ytrB","ytrC","ytrD","ytrE","ytrF","ywoB","ywoC","ywoD","pval","z","inv_cof_var"
"GSM672549",10.84973011,11.14034721,11.19886617,10.79582193,11.18137621,11.32697918,9.571112639,10.38045316,9.70122342,0.0157132791388341,2.15162935406517,16.2192281403868
"GSM672550",10.21153717,10.5828145,10.74155985,10.40272268,11.10672639,11.56299777,9.55144052,10.15888587,9.667862082,0.0163782762899896,2.13505457410571,16.1735011860578
"GSM672551",10.1266829,10.61090149,10.8015829,10.63703123,11.08671896,11.6522461,9.546230855,10.47985502,9.556754275,0.0325901583105519,1.84401937483657,15.3705853526243
"GSM672552",9.800424907,9.99890223,10.07056989,9.70122342,10.31773494,10.65969257,8.7627,9.912310037,9.304019331,0.00334064699550899,2.7123255453233,17.7660920621306
"GSM672553",9.879227881,10.10585762,10.19381561,9.856439033,10.71597138,11.45388848,8.956904089,10.30587918,9.698559851,0.0572792891545898,1.57803060785804,14.6367682986775
"GSM672554",9.745832714,10.24398885,10.45493383,10.26495056,11.21727026,11.84897658,9.108434572,10.64806134,9.954214126,0.169246314742759,0.957147860484764,12.9238600668776
"GSM672555",8.488292565,8.934030483,9.021356134,8.787394052,9.732179926,10.35158587,8.467777323,9.486692565,9.140726766,0.0447320011057118,1.69823189896417,14.9683828939932
"GSM672556",8.097211524,8.70175539,9.10020223,8.892368959,9.757262825,10.60851896,8.231637918,9.587906691,9.062699628,0.311443176276623,0.491763768318977,11.6399457597206
"GSM672557",8.014537175,8.652879182,9.190962082,8.934648885,9.943906691,10.56183123,8.223567658,9.63347026,9.407636059,0.369003216906795,0.334494508861068,11.2060670438532
"GSM672558",11.09029926,11.6362881,11.6064513,11.14807026,11.49097026,11.98183086,9.747620818,10.28526989,9.947730112,0.11165651886967,1.21776565906996,13.6428595469546
"GSM672559",11.07137844,11.38266952,11.26426877,10.74269703,11.11460186,11.41760669,9.679448327,10.45853197,9.793090335,0.0145289648600396,2.18269973152461,16.3049459438538
"GSM672560",10.8252368,11.31214572,11.52692491,11.04640242,11.55933717,11.90059108,9.496931227,10.34093643,9.763730112,0.162326018167257,0.984943068841114,13.0005422446311
"GSM672561",10.17489219,10.90569257,10.7016487,10.38901375,11.01436617,11.40649405,8.96372119,10.99658662,10.09491599,0.0608889771212143,1.54735380404746,14.5521362969111
"GSM672562",10.76898067,10.94041004,10.7968855,10.37205093,11.17430409,11.42249628,9.273874721,10.78052045,9.767536431,0.0288734965847898,1.8976136635927,15.5184427359648
"GSM672565",9.424471375,9.591734201,9.190962082,8.903206691,9.870642007,10.05522621,8.1188829,11.16270446,10.15011822,0.371817460484599,0.327043583840374,11.1855112289969
"GSM672599",11.35503383,11.81046245,12.02055242,11.54228885,11.7445632,12.0286052,9.187238662,10.03614498,10.04164182,0.458640984119551,0.103858087829766,10.5697810046473
"GSM672600",11.13479888,11.580029,11.66844684,11.21533234,11.71712751,11.89681338,9.663977323,10.35404907,9.777935316,0.175950672609424,0.930907634087207,12.8514678156984
"GSM672601",11.28217807,11.71235911,11.88011524,11.33715651,11.85939182,12.00036022,9.673109665,10.48458067,9.804423792,0.234364488416215,0.724548640438666,12.2821590042973
"GSM672602",11.5763197,11.88637695,11.84240669,11.38389442,11.90309033,12.10151896,9.603594796,10.1897539,9.547546468,0.437158274934831,0.158177986149189,10.7196402194113
"GSM672603",11.72728216,11.82046914,11.81923755,11.3353487,11.88757881,12.10308439,9.29452974,10.45256691,9.547546468,0.488908916363751,0.0278048061063168,10.3599631398884
"GSM672604",11.67069814,11.82507881,11.76571784,11.17064349,11.91770855,12.12215242,9.226846097,10.40642565,9.703587361,0.471037471376838,0.0726621827563738,10.4837168921805
"GSM672609",10.18235576,10.59003234,10.44568959,10.0742026,10.95294498,11.43817398,8.637964684,9.356207435,8.755100372,0.472231772077313,0.0696609242099417,10.47543693837
"GSM672610",9.720425279,10.1576368,10.246271,9.888286245,10.77135019,11.2329223,8.408137918,9.2174171,8.719429368,0.444932410188255,0.138475260653773,10.6652838037551
"GSM672611",9.699892193,10.03850483,10.21153717,9.827327509,10.81124015,11.32477955,8.393543866,9.359849442,8.891684015,0.417159472480205,0.209165626522251,10.8603063102063
"GSM672612",8.045720074,8.020653532,8.125321561,8.156835688,8.999601115,9.769912639,7.225685502,8.454589219,7.970501487,0.321425223701406,0.463717095460641,11.5625698348509
"GSM672613",7.751708178,7.924209665,8.003266543,7.898386617,8.811955762,9.900917844,7.294394796,8.298115985,7.805177323,0.435768293087529,0.1617070072627,10.7293761789642
"GSM672614",7.519544981,7.675019517,7.542924907,7.462750558,8.411830112,9.421905204,7.369321561,7.898386617,7.280100743,0.331180610158388,0.436655480568365,11.4879115147238
"GSM672615",8.247687361,8.227065428,8.43369145,8.289634201,9.172110409,10.09716097,7.242649442,8.455767286,7.908544238,0.456529780783456,0.109180203733898,10.5844638029395
"GSM672621",8.476170632,8.983715799,9.114499628,8.645266171,9.638676208,10.03614498,7.331414498,9.18317658,8.251019703,0.381718675663222,0.300970025825808,11.1135787870915
"GSM672622",8.158015613,8.577971561,8.739067286,8.151339033,8.942527509,9.59425316,7.204681041,8.932741636,8.063084015,0.222033057301733,0.765345033423236,12.3947092042612
"GSM672623",8.349314126,8.34082119,8.311623048,7.956737175,8.404481041,8.883541264,7.123569888,8.360233086,7.597850743,0.0240784770554343,1.97598077971999,15.734644070089
"GSM672630",7.996134572,7.851101115,7.8573171,7.642252045,8.468954647,9.236433086,7.180258364,8.165575836,7.408428625,0.153043072083267,1.02346901198977,13.1068286657571
"GSM672631",7.972064684,7.703069517,7.675475093,7.707991078,8.617136803,9.177965799,7.253958364,7.485827881,7.311249071,0.21747502767098,0.78074913547141,12.4372064604878
"GSM672632",7.969999071,7.799313755,7.855892379,7.8218671,9.049861338,9.356207435,7.262255019,7.852455762,7.164477323,0.406579761785367,0.236352020556397,10.9353088744281
"GSM672645",10.33233123,10.66206617,10.76898067,10.32496394,11.09626803,11.56979796,9.046842379,9.286335316,8.817110037,0.444080726028649,0.140631006439697,10.6712311339362
"GSM672648",8.93649368,8.928771375,9.144256877,8.438575465,9.595648699,10.23788662,7.502536431,9.407636059,8.031022305,0.434548351724259,0.164805971870068,10.7379256869164
"GSM672649",8.790155019,9.2174171,9.498252045,9.042649442,9.665223792,10.6382342,7.696285502,9.590351301,8.479710781,0.386967387002162,0.287231884675698,11.0756776291592
"GSM672656",10.3865855,10.65969257,10.27428959,10.1033316,11.09389405,11.39223755,8.998344981,9.406495911,8.598694424,0.429352180517608,0.178023702661062,10.7743911225778
"GSM672657",10.87208662,11.01674572,11.35399554,10.76373123,11.19147212,11.87752714,9.381207807,9.652842007,9.154290706,0.385791152663968,0.290305795737858,11.0841580187085
"GSM672660",10.03721264,10.3521723,10.47503271,9.767536431,10.50936506,11.07857138,7.978735688,10.5558368,9.550201487,0.369062014577878,0.334338648886551,11.205637053111
"GSM672662",10.21035353,10.4357777,10.7487777,9.958141264,10.88583123,11.22137844,8.007326394,10.50383271,9.491711524,0.450638554120428,0.124048204335358,10.6254820478954
"GSM672667",10.64563569,10.65589554,10.67985911,10.11216691,10.92093271,11.25937026,9.002004089,9.352210781,8.720728996,0.374004225033548,0.321266488050616,11.1695732198059
