"","yxjI","degU","yxjJ","pval","z","inv_cof_var"
"GSM672550",11.15429703,13.24606989,10.93927732,0.4616579444049,0.0962577210654304,72.6562055335958
"GSM672610",11.22666394,14.5076632,11.14311524,0.295665266519345,0.5369089144346,189.324580176875
"GSM672611",11.75931078,14.37361413,11.7060368,0.159092602562687,0.998194186080105,311.456106653141
"GSM672627",11.94133643,13.82567398,12.18972751,0.467603025116693,0.0812966347255765,68.6950551896634
"GSM672633",12.16890595,13.42815502,12.40805911,0.461641779880992,0.096298427746208,72.6669831789418
"GSM672659",12.36217918,13.27106394,12.28882454,0.235966591808935,0.719337195016344,237.624939519393
"GSM672661",11.15801487,13.4450803,11.38041859,0.463154848770069,0.0924887897350122,71.6583298916396
"GSM672664",11.48741822,13.37838364,11.173071,0.494270105105727,0.0143632103967559,50.9735240937288
"GSM672665",11.54474833,13.47196803,11.580029,0.0579334990775146,1.57236037620983,463.474385930644
"GSM672674",15.1410658,13.76680818,15.58944684,0.498053199511332,0.00487992451803725,48.4626956507413
"GSM672684",11.46879238,13.35045167,11.56165688,0.314130402578923,0.484176229534589,175.362887276826
"GSM672685",11.50890743,13.19072825,11.2329223,0.483284669651902,0.0419113864456853,58.2672770039198
"GSM672687",10.94041004,13.35250967,10.96359368,0.00951003621592189,2.34513733159336,668.077556654034
"GSM672688",10.9214461,13.28852007,10.88912007,0.0522110806569403,1.62378285095548,477.089182937863
"GSM672694",12.39295911,13.41359628,12.70008885,0.484030491658095,0.0400403175225425,57.771886151941
"GSM672720",14.10146097,13.1468632,14.30661041,0.424002244833804,0.191665170971578,97.9166207484141
"GSM672721",14.26004424,13.10414349,14.08497249,0.39965497305956,0.254240263981858,114.484224568665
"GSM672731",10.88235985,13.70641859,10.92964758,0.146002288048574,1.05373430976769,326.161107015386
"GSM672733",11.30368922,13.6561342,10.99077807,0.495163834043641,0.012122767250452,50.3803364108329
"GSM672744",10.02762937,12.56087937,10.2203197,0.459188858389394,0.102477442593065,74.3029610905585
"GSM672751",10.86981041,13.3702461,10.69941338,0.436478821800551,0.159902799010847,89.5071023646315
"GSM672766",11.84897658,13.41992007,11.84500446,3.28438116523983e-56,15.7528181071941,4217.94272748267
"GSM672804",11.56050372,13.39496283,11.72085651,0.416992045766361,0.209594603942074,102.663681086433
"GSM672807",11.10436394,13.41469164,11.34212082,0.470513674009916,0.0739786820641367,66.7575280580589
"GSM672808",11.35399554,13.37626729,11.39810297,0.115170495832449,1.19948093997888,364.74950235471
"GSM672811",11.49942454,13.46569219,11.69346877,0.443914500647085,0.141051824794948,84.5160514942238
"GSM672812",11.51240149,13.56203011,11.58383606,0.246566883651465,0.685333071429432,228.621887014936
"GSM672813",11.56554647,13.49977695,11.40336989,0.420705600097612,0.200088713512917,100.146867782406
"GSM672814",11.57941375,13.71375353,11.78330967,0.449132725084116,0.127852818156291,81.0214356288633
