"","appA/1","tnrA","codY","scoC","appA/2","appB","appC","appD","appF","oppA","oppB","oppC","oppD","oppF","pval","z","inv_cof_var"
"GSM672555",14.53674944,10.92615725,14.43607286,12.00570595,14.18664647,12.09369554,12.31318253,12.60816022,13.17062045,14.22708736,11.50890743,11.74823048,12.14741227,12.08414498,0.114510965741781,1.20288214295706,11.8726065419981
"GSM672556",14.66569628,10.67985911,14.69906245,11.85426952,14.39777584,12.51953383,12.6938881,12.57565725,13.1633513,14.36337323,11.7644632,11.89681338,12.3046145,12.25010112,0.0749699874637704,1.43974352298799,12.4204883776109
"GSM672557",14.40846283,10.73932156,14.69906245,11.80381487,14.25115204,12.25010112,12.58472156,12.20908513,12.87464238,14.47455279,11.64603123,11.9588368,12.62380409,12.66502602,0.0545602225559564,1.60215903978512,12.7961701855239
"GSM672569",16.3629342,11.1661171,13.00295056,14.51807323,16.23596914,14.64878104,14.65334089,14.52209926,14.64045799,15.56470372,12.99432751,13.28255242,13.80343717,13.77427435,0.0405713870865121,1.74409357531541,13.1244776278475
"GSM672570",16.26861673,11.44644647,12.98548327,14.39460335,16.28856134,14.93051896,14.8536461,14.4894368,15.03266691,15.84610186,13.28852007,13.2749487,14.12791078,13.90030558,0.0215959654440288,2.0218492223031,13.7669516086355
"GSM672571",16.39080818,11.19995948,12.88900186,14.41869665,16.19371115,14.72338401,14.73161599,14.41200297,14.65334089,16.11630929,13.12063532,13.2139171,13.82567398,13.44308773,0.0835153214289898,1.38180806237877,12.2864784073003
"GSM672572",15.87744201,11.37209145,13.30973011,13.44939033,15.12307993,13.35045167,13.39879777,13.53887881,14.02572788,14.82197844,11.78525279,11.91645465,12.45691115,12.31870483,0.348011519347494,0.390694535256909,9.99394300761109
"GSM672573",16.0724342,10.85080967,12.98202045,13.62222788,15.58944684,13.91831896,13.90293309,13.92820372,14.30992379,15.00514164,12.26584201,12.50189554,12.83022305,12.51368253,0.234362639949061,0.724554664627349,10.7661917401546
"GSM672574",15.98063123,10.89479591,13.4450803,13.66754238,15.51421413,13.38884164,13.4302974,13.51702342,13.90030558,15.01087881,11.5727223,11.78586766,12.93555688,12.75695279,0.409609653908673,0.228549205348182,9.61888616645434
"GSM672599",8.027388848,10.4224948,14.58155874,10.8927461,8.051954647,7.309210409,7.719055204,7.683959851,7.379622677,10.09368364,8.674690335,8.765206691,9.311478439,9.278698513,0.464560060927578,0.0889519187467592,9.2959849926971
"GSM672605",7.909552788,10.38173197,14.42737379,10.52649517,8.071515242,7.626144981,7.699220446,7.45293829,7.226811896,9.906015985,8.71195948,8.938842007,9.264464312,9.215022305,0.430890530153982,0.174107396638129,9.49295732956988
"GSM672609",12.13914164,11.13919257,12.70550669,13.19072825,11.8064539,10.0766881,9.926298885,10.52265576,10.66912045,14.34210483,11.48265204,11.78330967,12.36528178,12.17742788,0.48795141432085,0.0302059182047852,9.16010017007367
"GSM672610",13.38265911,10.49409517,13.43859219,11.9083223,12.8156342,10.92375167,11.04339219,10.84505911,11.58383606,14.5149171,11.38041859,11.68854647,12.65290223,12.62092416,0.284222752388107,0.570342375892001,10.409484742098
"GSM672611",13.28255242,10.17371152,13.45520892,12.00305651,12.58170112,10.71943829,10.69138996,10.33722862,11.24358141,14.46736729,11.24176691,11.6064513,12.66205019,12.59049108,0.451295450072731,0.12238906263436,9.3733281364734
"GSM672612",15.04970037,11.7049197,12.48971413,13.64276654,14.57775836,12.37136022,12.67092974,13.07616431,13.28644796,15.10096468,11.80914981,12.21173457,13.2786855,13.21222714,0.116166921108716,1.19436852780236,11.8529137786694
"GSM672613",15.51421413,11.56165688,12.96154498,13.55558736,15.4277855,13.1496961,13.2786855,13.80827249,14.05785446,14.9261052,11.71836989,12.46749591,13.45315651,13.4593829,0.134384325275428,1.1059026664706,11.6482842249229
"GSM672614",14.961471,11.88011524,12.56626989,13.57540669,14.67824238,12.33017993,12.43471264,13.01151115,13.24788216,14.94641301,11.67702007,12.3046145,13.23109554,13.21581859,0.125498804621567,1.14792964432453,11.7454964330459
"GSM672615",15.89411301,11.48629777,12.75065836,13.55558736,15.43592342,13.06224758,13.38685874,13.84591078,13.99478104,14.98879926,11.77574349,12.39912119,13.18166543,13.33519294,0.2144679710284,0.791013794068859,10.9199177288611
"GSM672616",15.78401747,10.72404349,12.54327509,12.92828178,15.65681413,13.58822193,13.78598662,12.83902974,13.95716766,15.12307993,11.54112342,12.54170929,13.73361487,13.92297026,0.243672693549498,0.69453718893686,10.6967585987973
"GSM672617",15.63961115,10.53548253,12.45247361,12.95128178,15.67325911,13.49777063,13.66987732,13.1136368,14.04813494,15.62225242,11.6522461,12.63599665,13.93337732,13.91315353,0.227675996949081,0.746522253388884,10.8170047635908
