"","appA/1","appA/2","appB","appC","appD","appF","oppA","oppB","oppC","oppD","oppF","codY","scoC","tnrA"
"appA/1",1,0.99373975374547,0.961752305035964,0.952824789796763,0.927514875747875,0.954548302765312,0.814711433747717,0.783499201618655,0.792810790535473,0.795421616561986,0.764861444077409,-0.461182622654615,0.752229062563691,0.280836642153746
"appA/2",0.99373975374547,1,0.975024970004928,0.968603718721763,0.940109741663517,0.967730910513603,0.822699111638336,0.795745546656941,0.810418773429686,0.814199494346645,0.785452987955519,-0.443433102944512,0.736897502514356,0.276121042508351
"appB",0.961752305035964,0.975024970004928,1,0.992462114597746,0.927937187489309,0.957401525470348,0.78166262276259,0.803843044578369,0.810781962009035,0.805186626942745,0.770614088881483,-0.400514268312383,0.698852823808135,0.243810235162381
"appC",0.952824789796763,0.968603718721763,0.992462114597746,1,0.922546361688844,0.954214223824054,0.790858632842886,0.80690531388214,0.822429557181678,0.818268391328962,0.792534324698257,-0.367011548966636,0.663575851203576,0.249715319050911
"appD",0.927514875747875,0.940109741663517,0.927937187489309,0.922546361688844,1,0.986301239101931,0.791897345265359,0.746421676433656,0.750456725050592,0.757963677255773,0.721401492457798,-0.509552812491383,0.766017519832805,0.34147501682343
"appF",0.954548302765312,0.967730910513603,0.957401525470348,0.954214223824054,0.986301239101931,1,0.828798997549887,0.78409889046477,0.796223484467588,0.805914181719991,0.770718389623648,-0.465014798081884,0.730892066891367,0.297887678465142
"oppA",0.814711433747717,0.822699111638336,0.78166262276259,0.790858632842886,0.791897345265359,0.828798997549887,1,0.927060936128133,0.943668411407979,0.95794190342082,0.941507409978339,-0.303645777843586,0.554600897014909,0.262511061344729
"oppB",0.783499201618655,0.795745546656941,0.803843044578369,0.80690531388214,0.746421676433656,0.78409889046477,0.927060936128133,1,0.980563021845617,0.958565947546496,0.938086067666262,-0.204334490193497,0.516131355612655,0.253960362034601
"oppC",0.792810790535473,0.810418773429686,0.810781962009035,0.822429557181678,0.750456725050592,0.796223484467588,0.943668411407979,0.980563021845617,1,0.983244526588415,0.974450874484092,-0.201960833140335,0.491588982192699,0.239524398380307
"oppD",0.795421616561986,0.814199494346645,0.805186626942745,0.818268391328962,0.757963677255773,0.805914181719991,0.95794190342082,0.958565947546496,0.983244526588415,1,0.989031644274334,-0.242708979528879,0.500908950744844,0.253278458354713
"oppF",0.764861444077409,0.785452987955519,0.770614088881483,0.792534324698257,0.721401492457798,0.770718389623648,0.941507409978339,0.938086067666262,0.974450874484092,0.989031644274334,1,-0.201682146394213,0.464735706341392,0.247795828960929
"codY",-0.461182622654615,-0.443433102944512,-0.400514268312383,-0.367011548966636,-0.509552812491383,-0.465014798081884,-0.303645777843586,-0.204334490193497,-0.201960833140335,-0.242708979528879,-0.201682146394213,1,-0.638759470224645,-0.516143084526202
"scoC",0.752229062563691,0.736897502514356,0.698852823808135,0.663575851203576,0.766017519832805,0.730892066891367,0.554600897014909,0.516131355612655,0.491588982192699,0.500908950744844,0.464735706341392,-0.638759470224645,1,0.184785438242069
"tnrA",0.280836642153746,0.276121042508351,0.243810235162381,0.249715319050911,0.34147501682343,0.297887678465142,0.262511061344729,0.253960362034601,0.239524398380307,0.253278458354713,0.247795828960929,-0.516143084526202,0.184785438242069,1
