"","aprX","lexA","bstG","corA","cwlD","dnaE","hbs","ligA","parC","parE","pcrA","pcrB","polY2","ruvA","ruvB","sbcE","sipV","tagC","uvrA","uvrB","uvrC","uvrX","xkdA","ybaK","ydgG","ydgH","ydiO","ydiP","yerH","yhaM","yhaO","yhaZ","yhjD","yhjE","ykvR","yneA","yneB","ynzC","yorB","yorC","yozL","ypuD","yqhB","yqjX","yqjY","yqjZ","yqkA","yqkB","yqkC","yqzH","ytsJ","pval","z","inv_cof_var"
"GSM672550",7.546874164,12.72569926,11.02543736,7.519544981,8.29409368,11.52469963,16.3629342,13.02354647,12.44072714,12.00036022,12.13914164,11.80381487,7.610263941,12.24736022,12.2058723,11.35883048,10.46688848,8.891684015,12.01371413,11.7599316,10.68322677,8.176603717,8.903206691,8.937742751,9.425710781,9.837497398,12.41861375,12.24467361,13.27106394,13.06405353,10.86752045,10.29585874,8.488292565,10.61667584,8.699295911,9.980197026,10.02391561,12.65911338,11.72602565,10.79103494,8.332564684,9.879227881,7.344720818,7.484497955,11.01554164,10.89814201,10.84505911,12.40042639,12.42003234,9.724398885,13.64276654,0.258904017197998,0.646727943896594,5.52518927182812
"GSM672551",7.304376952,12.72569926,10.92735539,7.617057249,8.41797881,11.65836766,16.18018922,13.10592714,12.57254721,12.1503,12.26996654,11.51852045,7.554816729,12.32584796,12.24872342,11.54112342,10.47734089,8.927639405,12.03948625,11.5610803,10.61326914,8.134901115,8.952978439,8.528750929,9.313763941,9.893404089,12.50487918,12.51368253,13.12154219,12.93555688,10.91574907,10.20901524,8.378162082,10.57802751,8.617136803,10.14402862,10.0742026,12.53718401,11.89411264,10.93447918,8.736597398,9.757262825,7.358100372,7.549599442,10.95058736,10.81962416,10.87436729,12.34349182,12.34201004,9.336265056,13.64276654,0.294307956042371,0.540842839797712,5.5068039401029
"GSM672555",7.796198141,12.72044796,10.16753123,7.658371375,7.635680297,11.3869868,16.03633346,11.43945204,12.63451004,12.14299442,10.94389777,10.12797993,7.384224535,10.8252368,11.12404238,10.98619703,11.85939182,8.361323792,11.50648104,11.08555204,10.51419851,8.696739033,9.161527881,8.075726022,7.846815613,8.464214126,11.25813941,11.26177993,11.77082305,12.63599665,10.08529814,9.554050186,7.445860967,11.92807175,8.326605204,10.43758346,10.32496394,12.52103866,12.01517881,10.07193197,8.875758736,10.00124461,7.836457993,7.495428625,11.14142193,11.05279405,11.1649145,12.9632026,12.96858699,9.895909665,13.49777063,0.334099852008746,0.428620115809318,5.48731817744352
"GSM672561",7.392457621,13.2692461,11.4657,9.211330855,8.285950558,12.38563941,16.17336691,13.01695428,12.58745911,12.08612955,12.57407212,11.71053178,7.697311524,12.67413941,12.74756208,12.29166617,10.92265688,8.590889591,12.71816097,12.07309777,10.99430186,8.689369888,9.411591822,8.276495167,8.64275539,9.385126394,12.43612565,12.33911152,13.0185829,13.56426171,10.87543271,10.80824888,9.012932342,11.00480892,8.41239368,10.28226152,10.25501375,12.24615948,11.29526506,10.69023643,7.890733643,10.287729,9.742029368,7.762834201,11.42249628,11.29765019,11.45513903,12.94970781,12.96003271,10.61440372,14.72779442,0.118870597372829,1.18065150280384,5.61789694615079
"GSM672563",7.61314684,12.77562007,12.17169294,7.763338662,8.261359108,12.21173457,14.9261052,13.20139963,11.21533234,10.58518067,12.69237249,12.16733941,8.667868587,11.67574201,11.71053178,11.35999851,11.46338662,8.678208922,12.44963011,11.74823048,11.43100372,9.017775465,10.21655725,7.987515799,7.812768401,9.328658364,12.24317175,11.96693457,13.05163569,12.65748922,9.956937546,10.88115093,9.809530483,11.77574349,7.812768401,10.84564796,10.4978948,11.87881301,12.55561822,9.584739963,7.983347584,9.759736431,8.327762825,8.326605204,10.82642677,9.947013011,10.1083052,11.12871487,13.28452677,11.41760669,15.22980632,0.0433483042815502,1.71308660164175,5.71034617210748
"GSM672564",7.554816729,12.91488662,12.33753643,7.488922677,8.339630112,12.55718141,14.45737881,12.85840781,11.41278104,10.94041004,12.14592454,11.47064201,9.187238662,11.73973234,11.80914981,11.7148948,11.59898848,8.844527881,12.61245019,12.16890595,11.89925465,9.096666171,10.30092751,7.680215613,8.058956134,9.38253829,12.55092639,12.36528178,12.64979145,12.68798067,10.47503271,11.23174721,10.18235576,12.09219442,7.636548699,11.19886617,10.83013309,10.77255948,12.84223494,9.773924535,8.051442379,9.666511896,8.134901115,8.65536171,10.64676803,10.05217361,10.1254855,11.14142193,13.22356468,11.37077807,15.12831859,0.00775334689540361,2.42032376428679,5.83314710765258
"GSM672565",7.805177323,13.71375353,11.56554647,8.076719703,8.360233086,12.03685651,16.10096283,12.89301283,12.25706059,11.93608848,12.22466394,11.96554164,8.272876208,12.29166617,12.23010929,11.83606431,11.14807026,8.690523792,12.31027584,11.47064201,11.13001301,8.900716729,10.01256431,7.927261338,8.622026766,9.474694238,12.40194684,12.13388587,13.13574721,13.04989703,10.76665242,11.07624796,9.346052788,11.09626803,8.680039591,11.05398736,10.87607918,12.6836,12.65605019,10.24892193,7.741382156,10.17872528,8.086061524,8.309844052,10.65467323,10.56183123,10.76665242,12.82483383,13.13286357,11.03990446,14.81200037,0.0373940558430004,1.78176163104115,5.72227054246621
"GSM672566",8.094953903,12.6482026,11.61633606,10.09491599,7.927261338,11.26294796,15.90234647,12.74445799,12.49718067,10.85080967,11.46931636,9.974054275,7.309753903,11.18252342,11.21184758,10.68432825,10.24510112,8.481003346,12.12215242,11.89014201,10.1611948,8.018189777,8.857243123,8.176603717,7.814337918,9.1231,11.60768401,11.79868662,12.69788123,12.75065836,10.14026543,9.048547212,7.561339777,10.38541896,8.068419703,9.292084387,9.304019331,11.78835316,11.63497546,10.48458067,7.653642379,11.10672639,8.896774721,7.448477695,11.08974071,10.81609888,10.96915539,12.26289851,12.24467361,8.954337175,13.49568401,0.190781099382455,0.875021515962548,5.56482896514371
"GSM672567",7.736879182,12.42150967,11.56554647,9.720425279,7.795259851,11.38389442,15.80265167,12.84362528,12.66937435,11.41994833,11.96838401,9.970596283,7.34906803,11.28154554,11.39341227,10.87672565,9.992781041,8.823742007,12.06361859,11.81669368,10.1458684,7.883198141,8.419263569,8.169930112,8.176603717,9.586639777,11.65105948,11.81549405,12.74220056,12.54480855,10.11216691,9.265559851,7.713698885,10.43198662,8.102525651,9.681794424,9.656692193,11.59209572,12.08955204,10.2729855,7.966381413,11.11013494,8.684418216,7.452099257,10.84853383,10.73702082,10.93087398,12.22038662,12.33017993,9.611350558,13.17062045,0.0871156242529316,1.35873288180717,5.64881805875604
"GSM672568",7.578592565,12.77089368,11.752071,9.954214126,7.754774349,11.4657,15.99737658,12.81950576,12.48971413,11.11701859,11.80317193,10.02884981,7.411239405,11.34575651,11.37077807,11.03990446,10.06448922,8.799050186,12.13388587,12.02317361,10.21153717,7.818343866,8.48225948,7.891243123,7.932447212,9.288671004,11.5471777,11.7111632,13.00110632,12.59049108,10.00627323,9.116951673,7.68679368,10.07542639,8.212000372,9.658863569,9.691046468,12.083521,11.9387881,10.01006208,7.914788104,11.05279405,8.771788476,7.574069517,11.02948476,11.04224089,11.19638364,12.56166506,12.66205019,9.561814498,13.39879777,0.368395884441379,0.336104892853081,5.47125432145397
