"","aprX","bstG","corA","cwlD","dnaE","hbs","ligA","parC","parE","pcrA","pcrB","polY2","ruvA","ruvB","sbcE","sipV","tagC","uvrA","uvrB","uvrC","uvrX","xkdA","ybaK","ydgG","ydgH","ydiO","ydiP","yerH","yhaM","yhaO","yhaZ","yhjD","yhjE","ykvR","yneA","yneB","ynzC","yorB","yorC","yozL","ypuD","yqhB","yqjX","yqjY","yqjZ","yqkA","yqkB","yqkC","yqzH","ytsJ","lexA"
"aprX",1,0.0624251909599408,0.184623815943882,0.237029019949626,-0.170413374950037,-0.306591291680104,-0.0371893718111924,-0.200723550227344,-0.244608076154651,-0.164415026604565,-0.285362826082428,0.325839985761909,-0.220286075530784,-0.198464799596846,0.279028011210057,0.161772736850242,0.17650413966961,0.0871230621838649,0.062859118194786,0.227108574979097,0.307689485008405,-0.116576726026051,0.266286326262918,-0.0669626376185707,-0.0691062001694158,-0.122135931049813,-0.21228868237646,-0.0258741444866753,0.0773146606655401,-0.22566021342496,0.0487546805883484,0.269992763817432,0.114820071751908,0.0185702273214597,-0.119251809777187,-0.116643033554731,-0.0661966296883405,-0.0393615284372438,-0.156125246108918,0.028640673058804,0.156855353894786,0.127835813688632,0.359746769065008,-0.0714725368106103,-0.220868146630827,-0.31378369742537,-0.0829287560086095,-0.146961726959395,-0.33821231958303,-0.116340564891064,-0.19166050149489
"bstG",0.0624251909599408,1,0.261304452707257,0.0174015948179241,0.525623180966989,-0.160785279287934,0.304447024575509,0.324413243757968,0.300166381506604,0.282647113976049,0.0564500953251823,0.505242829968664,0.197533244938797,0.335849393798793,0.487480413785681,0.336495317762716,0.717435374558506,0.811498426859731,0.767933492812973,0.60323624742841,0.575024850534475,0.298360498079141,-0.044605976766268,-0.128837928035949,0.0244212174780004,0.372778269325453,0.361383990815634,0.344805776353284,0.719269157564667,0.428555087682903,0.620763168463596,0.560481037308347,0.328348453410734,0.392203649727172,0.669589220122246,0.673156489534199,0.23017120182958,0.750270458164645,0.469742302084336,-0.0929824420342535,-0.203083060965871,0.26300024050754,0.472842748795553,-0.502411146462453,-0.361430880001238,-0.207914790650776,0.0718341033698177,0.281675240526416,0.0303619343673201,0.435788474363618,0.537945628728506
"corA",0.184623815943882,0.261304452707257,1,0.107823710549165,0.0556173711686999,-0.256458413114502,-0.197486698780408,-0.158129808379454,-0.211244749115868,-0.233207445636623,-0.366277157377819,-0.0492924709230079,-0.345271448206581,-0.234528120553514,0.0517121225317175,0.165934104150348,0.03061839038921,0.259783368654951,0.346320039534493,0.306847120192898,-0.000107858947602091,-0.103576789781908,-0.141746058367651,-0.296017569124208,-0.245690637831101,0.0427673389403764,-0.000478526353204132,-0.15169397489597,0.402553628782118,-0.0743253676828649,0.0122589452018493,0.0880209287023818,0.143390233695974,0.198836915023391,0.00130434457926109,-0.0373558123834566,-0.0594462229248128,0.334967628903981,-0.134997584688103,-0.129741461261763,0.302027997757389,0.914088772545769,-0.0372280587449564,-0.141842204851153,-0.144768891064298,-0.0746251196392528,0.193426863059099,0.239889665869066,-0.141469121113302,0.0666984953615793,0.120007650506469
"cwlD",0.237029019949626,0.0174015948179241,0.107823710549165,1,-0.423645719920684,-0.616011386696725,-0.473651056717336,-0.454685616282417,-0.486548313069125,-0.629923656241029,-0.639559619411035,0.497184375554167,-0.428158737187094,-0.522479757153576,0.345761626891581,0.459753700208035,-0.180243440648571,-0.218984106993511,-0.173404398372882,0.203734232584769,0.45125671319788,-0.589420929632485,0.826217066803145,-0.349976322447098,-0.474847116306015,-0.698522557494395,-0.740126374049633,-0.554701644681691,0.0695340833898516,-0.566869981800727,-0.139256182085762,0.38104821649795,0.442987290607096,-0.260536644455652,-0.369712943841162,-0.425542202911259,-0.395571271024752,0.182356344435259,-0.365412018059705,-0.0649459505133825,0.448471437340714,-0.10616749501581,0.493258794118458,-0.265112337462521,-0.603794204055008,-0.736989250303293,-0.394913123712894,-0.198330137004655,-0.816079229268643,-0.399772410878211,-0.599482745788373
"dnaE",-0.170413374950037,0.525623180966989,0.0556173711686999,-0.423645719920684,1,0.252625851854299,0.571141317407246,0.564869799966782,0.538190439833465,0.659874538562393,0.407136714265666,0.176163042716023,0.425707662523904,0.622523163539622,0.361588674829758,0.180133963758199,0.449858897854405,0.75252693790164,0.650860968872699,0.406994916316715,0.275735402795478,0.573697113956458,-0.328067894725855,0.178024510706833,0.371243192957444,0.643952588712211,0.656781988898737,0.599622005982866,0.532408386612899,0.698019073083816,0.707265049178665,0.365392563346783,0.14875377797644,0.439891893112235,0.685536484609954,0.722524663049883,0.34752006843225,0.461810220643413,0.556668535543922,0.150069747931042,-0.281279052094268,0.170357854786511,0.130299719472754,-0.575241173857638,-0.227315422574538,0.016015506598415,0.0620305594754095,0.328432020901554,0.453265339806147,0.62756132163532,0.703609279235367
"hbs",-0.306591291680104,-0.160785279287934,-0.256458413114502,-0.616011386696725,0.252625851854299,1,0.373030810280025,0.688708705191323,0.702955996607894,0.626249310747319,0.66495893642529,-0.452097357432155,0.642245061268201,0.637118502559828,-0.212991457654228,-0.63174432391199,0.0218314825073846,0.11084435175669,0.111027542850585,-0.583148214525956,-0.342112054967694,0.406641569349322,-0.55230395594379,0.63179110220734,0.57932404716596,0.552668144362939,0.618553165833638,0.406167395501536,-0.0612060721771765,0.57779102577238,0.00621853512009052,-0.372932861519358,-0.617773862612846,0.28082468429083,0.255765652585322,0.352511097374666,0.610290168490337,-0.307237787815543,0.451687251528675,0.0164333183835777,-0.214094429935278,-0.225191632071481,-0.454181528551251,0.247843248834265,0.60063319918398,0.732713694610972,0.512198554826254,0.0778919507866036,0.505528941493238,0.358751327321519,0.459406550257426
"ligA",-0.0371893718111924,0.304447024575509,-0.197486698780408,-0.473651056717336,0.571141317407246,0.373030810280025,1,0.692075365360911,0.678481818411486,0.881354715912126,0.733299151903025,0.150535651105395,0.693192895580938,0.76149038108078,0.411111640968804,-0.180893160450478,0.399996765394015,0.614559343860546,0.567593868185612,0.0910345477964907,0.136485581000794,0.661563014560067,-0.323289625432313,0.648680258230393,0.797507029802911,0.705928480751294,0.697494901402307,0.960332897459703,0.167390061412642,0.75378514399335,0.495760758514674,0.154134555445518,-0.13345782546891,0.176108299693887,0.536638897626986,0.603775496171005,0.421521586900225,-0.0156434928583,0.539144048768246,0.0296073408380588,-0.239649093118164,-0.15190489410391,0.0887340269312741,-0.262538421203737,0.0327060965769469,0.19355925402712,0.0852083092886584,0.0419938000598611,0.367799001795119,0.412080711913133,0.402576959486003
"parC",-0.200723550227344,0.324413243757968,-0.158129808379454,-0.454685616282417,0.564869799966782,0.688708705191323,0.692075365360911,1,0.951781445064604,0.819835500662777,0.655121118572933,-0.12236935212589,0.730802133584716,0.829943333113829,0.237114591682673,-0.4183852476094,0.346881550484522,0.62267352478719,0.584517142598634,-0.176048329103147,0.0744663525921113,0.540943036670979,-0.37942166357518,0.619300715949532,0.694222453778489,0.726283030059555,0.783800495324569,0.709183092247373,0.269809424265148,0.812750569718677,0.308690927668744,-0.112132186208674,-0.378478745043124,0.303131600118029,0.567767940702005,0.672915634036322,0.59710705623247,0.0124144669073005,0.66737302604298,0.0644730806971953,-0.30762653248054,-0.152107266436078,-0.157624435127044,-0.236799141712776,0.186752948924324,0.439579094132183,0.422946556349192,0.167792666909477,0.292579615856116,0.576263644079641,0.615462606870127
"parE",-0.244608076154651,0.300166381506604,-0.211244749115868,-0.486548313069125,0.538190439833465,0.702955996607894,0.678481818411486,0.951781445064604,1,0.820789355514236,0.764250419620357,-0.131140155645748,0.771551669772707,0.823827554655411,0.164692504296242,-0.385673135620437,0.336179122431629,0.583612845081657,0.570671750838897,-0.191581246508335,0.029181872292847,0.564471556067357,-0.447030201997341,0.663776753413734,0.687209826213516,0.770328185317114,0.825936453636624,0.705146860307995,0.243934657600315,0.8605526181497,0.348150927492517,-0.11124568419398,-0.3269297907692,0.333599177822884,0.647727243384872,0.734593960067719,0.650169432248259,0.0262296261453704,0.688054251062315,0.0384743150451727,-0.334519830115104,-0.160488686923533,-0.175162999650107,-0.156138683180002,0.272513311121113,0.49047814905797,0.480342985955852,0.210549916674194,0.391427909910974,0.588623823799153,0.646693719786594
"pcrA",-0.164415026604565,0.282647113976049,-0.233207445636623,-0.629923656241029,0.659874538562393,0.626249310747319,0.881354715912126,0.819835500662777,0.820789355514236,1,0.860298931029443,0.0127163004231743,0.786316666097454,0.886972110415243,0.252363660085482,-0.308021914007918,0.379124860968319,0.610107304906152,0.5499975379879,-0.0484973335606783,0.0099234612507282,0.678589477190521,-0.471016069200834,0.700455201223266,0.836704112396899,0.786173583834299,0.816056609995497,0.881112422825576,0.193786714049623,0.816979775036145,0.448437561684788,0.0424760170810266,-0.278020229543818,0.303332385226672,0.577222293587317,0.669941249973875,0.532263093944562,-0.0746470728135706,0.548779236306565,-0.00278064560407049,-0.36258287151643,-0.141898412480697,-0.0415522855773219,-0.166906658970893,0.226074160637786,0.433955098767818,0.27042525955107,0.164566332369026,0.529541924814532,0.594359453486823,0.600764864597074
