"","arfM","fnr","narG","narH","narI","narJ","pval","z","inv_cof_var"
"GSM672549",7.754774349,11.19509517,7.736879182,7.848200186,7.426362454,7.836457993,0.43293453216812,0.168907926503403,45.0053621186789
"GSM672571",8.71195948,9.230539033,8.346910409,8.684418216,8.318478067,8.743839777,0.496608308465615,0.00850181231745538,40.8016792478822
"GSM672576",7.194324907,10.39021747,7.441605204,7.467078439,7.340946468,7.48316171,0.213456319574054,0.79448585713787,61.3995703114421
"GSM672578",7.169377323,11.26177993,7.45293829,7.460065056,7.398257435,7.541188476,0.324026745122798,0.456467981368689,52.5413047671073
"GSM672579",7.268254275,12.60530818,7.525672491,7.484089591,7.482289963,7.569546468,0.182997672824487,0.904000105120032,64.2695554780744
"GSM672580",7.194324907,12.2829855,7.399576208,7.442474721,7.517730112,7.599091078,0.377516378232708,0.312010219850689,48.7555724044188
"GSM672582",7.291402602,12.26289851,7.480480297,7.445860967,7.688649814,7.59643829,0.366272358414449,0.341742458004427,49.5347503108946
"GSM672583",7.168089591,12.49420967,7.429003346,7.414878439,7.660233829,7.525672491,0.490794852077359,0.0230759318751731,41.1836159156497
"GSM672609",7.277204089,9.604932714,7.37402119,7.548252045,7.390745353,7.573260223,0.235552214561164,0.720683235665975,59.4654618937189
"GSM672612",7.475986245,11.79619814,7.268254275,7.293344238,7.438816357,7.281887361,0.0935458320858069,1.31923169810224,75.1513223215096
"GSM672622",7.195415613,12.52257955,7.280977695,7.325943494,7.313760595,7.413969517,0.0238484027858577,1.98005983564949,92.4693150703873
"GSM672623",7.238387361,12.81402342,7.126487361,7.144603717,7.120526022,7.224612639,0.000451629033863405,3.31904520228317,127.559435409819
"GSM672624",7.224612639,9.837497398,7.164477323,7.35901487,7.174337918,7.413969517,0.181829577710771,0.908414712610153,64.3852468903481
"GSM672625",7.238387361,9.981542379,7.183296468,7.397816729,7.11902119,7.322290706,0.169236727071154,0.957185857241095,65.6633679040931
"GSM672630",7.17327026,10.76665242,7.136520074,7.163301115,7.050248699,7.168089591,8.15800934314609e-05,3.77013359082801,139.38088337497
"GSM672631",7.375808178,11.44888067,7.166906691,7.210253903,6.914249814,7.259799814,0.476178734502684,0.0597465843839921,42.1446253796254
"GSM672632",7.176684387,11.37927323,7.19202974,7.270249071,6.939026766,7.144603717,0.256774185007818,0.653322531001482,57.7001735703906
"GSM672634",7.63140855,11.26048625,7.369321561,7.445059851,7.245240149,7.617057249,0.428759006052008,0.179534523184214,45.2838480272036
"GSM672635",7.79415316,11.92414164,7.514108178,7.477835316,7.291884758,7.569546468,0.484390401222564,0.0391374507560912,41.6045321141459
"GSM672636",7.400432342,9.48922119,7.015959108,7.165705948,7.019252045,7.170605948,0.423646141021876,0.192574417139125,45.6255780113345
"GSM672637",7.323299257,9.663977323,7.126487361,7.319405948,7.136520074,7.35901487,0.178015741431733,0.922953414475208,64.7662553843442
"GSM672638",7.116044981,9.338898513,7.117533829,7.32036171,7.103652416,7.334518587,0.2179144761526,0.779255958915691,61.0004479799433
"GSM672639",7.55573197,11.79984164,7.433513383,7.437034201,7.286697026,7.652220074,0.303899692494187,0.513217215295794,54.028503579951
"GSM672640",7.232099628,8.972713011,7.108245353,7.258240892,7.189788476,7.353526766,0.0652556714535942,1.51208852790533,80.2054248790944
"GSM672641",7.406658364,10.18235576,7.156690706,7.272425279,7.116044981,7.342844981,0.237378919349702,0.714759218442494,59.3102141348973
"GSM672643",7.48316171,11.38266952,7.262255019,7.331414498,7.248299442,7.445059851,0.136739709086343,1.09508495750482,69.2772207090113
"GSM672644",7.809278067,12.83584424,7.606418959,7.499016357,7.298382528,7.551989219,0.494802905351746,0.0130275528816893,40.9202830690899
"GSM672645",7.681131227,11.59151078,7.496405204,7.490282156,7.258240892,7.549137175,0.374233687824522,0.320660907079548,48.9822766414058
"GSM672646",7.066749814,8.884842007,7.135171747,7.156690706,7.32036171,7.244748699,0.110774839889493,1.22241777770345,72.6141682928092
"GSM672647",7.202439033,9.861586245,7.150183271,7.18144684,7.339055019,7.259303717,0.0155855219735367,2.15488232372515,97.0508006470643
"GSM672648",7.122063197,8.863658364,7.087793309,7.11902119,7.095104089,7.177962454,4.67081670936416e-10,6.12027101943527,200.969760474768
"GSM672649",7.148817472,8.874475465,7.143272862,7.140640149,7.409369888,7.224612639,0.199120730110335,0.844766073635431,62.7172388174301
"GSM672650",7.236266543,9.323555762,7.022507807,7.071169888,7.212406691,7.133884387,0.0734959673037992,1.4502388147133,78.584560355142
"GSM672652",7.610263941,11.56299777,7.243707063,7.222447955,7.159424535,7.340946468,0.48954719252403,0.0262043013909087,41.2655995321319
"GSM672654",7.112858736,8.301184758,7.019252045,7.075526766,6.914249814,7.206927881,0.17633896483943,0.929407524663855,64.9353950245876
"GSM672655",7.042702602,8.825094796,6.948236803,7.031287732,6.993476952,7.044994424,3.9989796151631e-07,4.9354172353478,169.918889491176
"GSM672657",7.233129368,9.742029368,7.126487361,7.332467658,7.279125651,7.418300743,0.159433543666115,0.996788693845727,66.7012196512956
"GSM672666",7.18144684,9.011796654,7.208010781,7.305377323,7.055417844,7.209154275,0.0653127043950124,1.51164024052483,80.1936768357473
"GSM672667",7.093293309,9.131537546,7.135171747,7.237405204,7.015959108,7.354395539,0.298439134382431,0.528895031597578,54.4393642767129
"GSM672668",7.123569888,9.158375465,7.136520074,7.324637175,7.022507807,7.333413755,0.319847594728065,0.468125017796072,52.8467948951036
"GSM672669",7.218219331,9.096666171,7.22019777,7.333413755,7.131196654,7.452518773,0.246818508827553,0.684535599486328,58.5181588573021
"GSM672670",7.23155316,9.164875465,7.214778439,7.435354647,7.053049071,7.278232342,0.320423274736202,0.466515508387105,52.8046152863823
"GSM672671",7.239541264,9.195828996,7.240568401,7.446739777,7.208010781,7.498145353,0.300696676954523,0.522397848195745,54.2690958382976
"GSM672672",7.10982342,9.343478439,7.247768401,7.457263941,7.150183271,7.467951301,0.458959771261957,0.103054719108353,43.2795800229123
"GSM672675",7.283749814,9.772573978,7.256120446,7.554816729,7.225685502,7.478656877,0.359659380588974,0.359369402596304,49.9966908386693
"GSM672678",7.196527138,10.19194089,7.213489591,7.418300743,7.103652416,7.491115242,0.437037915899606,0.158483486853499,44.7321740384343
"GSM672679",7.171236245,10.17985465,7.144603717,7.322794981,7.176684387,7.351365799,0.0923615938243915,1.326351826246,75.3379159614573
"GSM672680",7.001856877,10.21397621,7.139126022,7.266283271,7.064322677,7.205772862,0.154067486939454,1.01914322895261,67.2870537810625
"GSM672681",7.137790335,10.17371152,7.253958364,7.293869517,7.075526766,7.286697026,0.102269883836863,1.26872330442455,73.8276740901945
"GSM672682",7.013033457,9.937569888,7.185654089,7.235277695,7.079829368,7.328675093,0.260793851417879,0.640899927716033,57.3746206143405
