"","ascR","cysC","cysH","cysP","sat","snaB","sndB","ssuA","ssuB","ssuC","ssuD","tcyP","ydbM","yetJ","yezD","ygaN","ylnD","ylnF","yxeK","yxeM","yxeN","yxeO","yxeQ","cymR"
"ascR",1,0.780960318990824,0.664395273426266,0.732980047485956,0.793803184612109,0.921575715773102,0.889906480623545,0.474242573284667,0.47063949755006,0.489426339298417,0.484624767108542,0.822072904767289,0.425501398096518,0.284940947849784,0.907347873569176,0.338874762947835,0.775340587818419,0.642474927403144,0.920779421455832,0.91439144641089,0.910919110068495,0.900404166941032,0.853783602598561,-0.131662619786117
"cysC",0.780960318990824,1,0.928380636273846,0.966284605827646,0.991936904952949,0.757631048567891,0.758619476104899,0.686838862219544,0.681424158658902,0.696586923488509,0.701519393674467,0.513267674656089,0.329044994412926,0.0133247202331005,0.657062652017766,0.621216245891818,0.994085932727417,0.935320438362052,0.703787014844035,0.782167570404774,0.772041768703898,0.765599900705638,0.713042093678062,-0.352778154221987
"cysH",0.664395273426266,0.928380636273846,1,0.984893173440399,0.911857298604691,0.583549739521098,0.594104405223225,0.601053516888562,0.607815900440545,0.590891489973658,0.617306586463413,0.305300447489585,0.261971581616739,-0.198993638653572,0.513036882390066,0.646442794680124,0.938871441627668,0.891379231302516,0.542543320796948,0.607705636472778,0.602959457174691,0.597412133844552,0.550664178331349,-0.522321591914633
"cysP",0.732980047485956,0.966284605827646,0.984893173440399,1,0.958218770568375,0.678253816958308,0.685335311875499,0.650730759793387,0.649871416951462,0.652039460356704,0.66912027370386,0.408323109757441,0.31459930427788,-0.0963306526029446,0.591766523177478,0.648433039664422,0.97384136440347,0.918276746330657,0.628459313146987,0.69886527542087,0.697603230139981,0.688998257221187,0.641632258577337,-0.460639613425063
"sat",0.793803184612109,0.991936904952949,0.911857298604691,0.958218770568375,1,0.776530888982861,0.767156312591573,0.66799347735533,0.654028609499459,0.685329799520165,0.682208188861383,0.542419071920977,0.341876939066219,0.0650529702750712,0.670604390262986,0.599786620370026,0.984148215915902,0.935774311544753,0.725984894603039,0.797752127614693,0.784771560090067,0.776539083125243,0.718905827027009,-0.302554369152694
"snaB",0.921575715773102,0.757631048567891,0.583549739521098,0.678253816958308,0.776530888982861,1,0.973343062141707,0.485534911163381,0.467655144937989,0.514307590335574,0.501485811143395,0.872260262618356,0.42399356560051,0.391402444188573,0.833992763533667,0.291967257327042,0.744113159997877,0.625204661089639,0.982908047412869,0.991636507173425,0.988041308219952,0.979810440736491,0.943303445365927,-0.053430504320519
"sndB",0.889906480623545,0.758619476104899,0.594104405223225,0.685335311875499,0.767156312591573,0.973343062141707,1,0.515674649501593,0.505478313735116,0.543917450972304,0.538605937640815,0.844847607199863,0.357467796274616,0.358305757829725,0.809485174228803,0.310383677553138,0.757676872881496,0.627084031343517,0.950135231362603,0.981317391694737,0.992753606330234,0.994930414034887,0.990813597214713,-0.0836709313818873
"ssuA",0.474242573284667,0.686838862219544,0.601053516888562,0.650730759793387,0.66799347735533,0.485534911163381,0.515674649501593,1,0.989459753484312,0.989092954319482,0.98258240110215,0.30351595163644,0.128069245552385,0.0952488750034793,0.530167859972259,0.859452376614791,0.698868377486264,0.709919362808112,0.352482275220866,0.502894730185022,0.511323869328923,0.501575023143109,0.505923128466727,-0.424921129666626
"ssuB",0.47063949755006,0.681424158658902,0.607815900440545,0.649871416951462,0.654028609499459,0.467655144937989,0.505478313735116,0.989459753484312,1,0.969318470385618,0.96855273242966,0.295638246952988,0.0869890986420545,0.0850478372216312,0.528287960643059,0.837157512237073,0.693818177327683,0.687449283724813,0.339779758935281,0.484403045980858,0.496357517113429,0.4883241817908,0.499465345465505,-0.437000921169583
"ssuC",0.489426339298417,0.696586923488509,0.590891489973658,0.652039460356704,0.685329799520165,0.514307590335574,0.543917450972304,0.989092954319482,0.969318470385618,1,0.989880588141703,0.335058762000302,0.167346878755145,0.104754601562801,0.51709962471145,0.852348974132796,0.706572688189211,0.71482007045113,0.381789703917487,0.531477683516593,0.541019122298542,0.529662366370928,0.533548998976381,-0.393321926173931
"ssuD",0.484624767108542,0.701519393674467,0.617306586463413,0.66912027370386,0.682208188861383,0.501485811143395,0.538605937640815,0.98258240110215,0.96855273242966,0.989880588141703,1,0.317504798560343,0.181056365052476,0.0530991803222736,0.498379798883482,0.864976159752924,0.71801879841611,0.712948278998254,0.37359060674593,0.521388849153164,0.533246900107973,0.525814713487223,0.530892000202721,-0.439883677517835
"tcyP",0.822072904767289,0.513267674656089,0.305300447489585,0.408323109757441,0.542419071920977,0.872260262618356,0.844847607199863,0.30351595163644,0.295638246952988,0.335058762000302,0.317504798560343,1,0.303901161649371,0.554765324309296,0.798556902608004,0.0727792579298488,0.496158790002084,0.322349817454649,0.875649320219075,0.856803345645036,0.856192324187325,0.853514289616231,0.836985298141301,0.277654271840394
"ydbM",0.425501398096518,0.329044994412926,0.261971581616739,0.31459930427788,0.341876939066219,0.42399356560051,0.357467796274616,0.128069245552385,0.0869890986420545,0.167346878755145,0.181056365052476,0.303901161649371,1,-0.121435199542418,0.257228739139905,0.192581967493126,0.324070128163983,0.292418847863975,0.429790015846263,0.405691620735537,0.398542518231807,0.36649281299268,0.296152325078353,-0.168434180401325
"yetJ",0.284940947849784,0.0133247202331005,-0.198993638653572,-0.0963306526029446,0.0650529702750712,0.391402444188573,0.358305757829725,0.0952488750034793,0.0850478372216312,0.104754601562801,0.0530991803222736,0.554765324309296,-0.121435199542418,1,0.4584910361582,-0.203454939195436,-0.0116065221436228,-0.074917706368865,0.384617128075676,0.368077540369878,0.371234250426696,0.366197623422282,0.367244820807633,0.438723510648711
"yezD",0.907347873569176,0.657062652017766,0.513036882390066,0.591766523177478,0.670604390262986,0.833992763533667,0.809485174228803,0.530167859972259,0.528287960643059,0.51709962471145,0.498379798883482,0.798556902608004,0.257228739139905,0.4584910361582,1,0.308352250709797,0.651171659491453,0.531582302213483,0.805618566511444,0.819155134017644,0.825626018295541,0.813937360607448,0.789737308592763,-0.0691488697440947
"ygaN",0.338874762947835,0.621216245891818,0.646442794680124,0.648433039664422,0.599786620370026,0.291967257327042,0.310383677553138,0.859452376614791,0.837157512237073,0.852348974132796,0.864976159752924,0.0727792579298488,0.192581967493126,-0.203454939195436,0.308352250709797,1,0.648104577465437,0.68452269597703,0.182579325391328,0.315812762621812,0.3183674383622,0.301837233755496,0.29050078293692,-0.642149255707769
"ylnD",0.775340587818419,0.994085932727417,0.938871441627668,0.97384136440347,0.984148215915902,0.744113159997877,0.757676872881496,0.698868377486264,0.693818177327683,0.706572688189211,0.71801879841611,0.496158790002084,0.324070128163983,-0.0116065221436228,0.651171659491453,0.648104577465437,1,0.93493891618498,0.688324109137662,0.7722202341304,0.76694365017998,0.764046505269802,0.719374703022798,-0.382059059774424
