"","accA","spo0A","accD","kinA","kinC","ktrC","racA","sirA","spo0F","spoIIE","txpA","yerB","yerC","yisK","yisL","ykqA","yneF","yodL","yppD","yppE","yusD","yusE","pval","z","inv_cof_var"
"GSM672572",13.64935428,14.61673569,14.5076632,12.5479145,11.25459517,12.36369665,14.46059071,13.9054052,14.50030743,13.96823197,12.10308439,14.63204387,13.7497,13.09848885,12.40504387,10.99543978,14.961471,13.9974171,13.01237788,12.97545799,13.39496283,11.72412918,1.70021401054356e-05,4.14484556600367,11.5661049868815
"GSM672573",13.64514461,14.60915242,14.58543234,12.47178253,11.15065874,12.233029,14.49293792,14.11029777,14.5706171,14.19217844,11.45127844,14.45026283,13.42601599,13.33142937,12.158871,10.7172513,14.75366506,14.12469963,13.02354647,13.1395539,13.54539665,11.48383494,0.000557696810009297,3.25967648447012,10.5208262829186
"GSM672574",13.83859442,14.79863755,14.41869665,12.61945911,11.31026896,12.14044424,15.21045093,14.12791078,14.66569628,14.11871338,11.52692491,14.90230818,14.16922491,13.29444201,12.27279517,10.60049368,14.66175056,14.37000297,13.37838364,13.2786855,13.57092379,11.50287249,0.00217516471143063,2.85157447362826,10.0389066701839
"GSM672575",13.29628699,14.05215985,14.32986134,11.1649145,10.14157732,11.77446952,13.99478104,13.72863755,13.12422305,14.11029777,10.70047807,14.18664647,13.69896357,11.7111632,11.12871487,10.29861822,14.52588253,13.41884833,12.4661171,12.77089368,12.61245019,11.10315688,0.0314677888390341,1.85964634592033,8.8675583149539
"GSM672576",13.33719963,13.78374796,14.35301933,11.08324498,10.228229,11.82298996,13.8070526,14.09040223,13.18522751,14.15931245,10.24754089,14.19697361,12.7521803,11.88133755,10.86981041,10.27428959,14.83115242,13.44308773,11.99779554,12.27727844,12.60668736,11.07796394,0.0672728790934467,1.49641417398326,8.43862460969819
"GSM672577",12.80000632,13.51256134,13.4593829,10.53120149,8.753835688,11.47189517,13.49133829,11.33414907,11.59652825,12.76305799,8.676886989,14.3837368,13.53887881,10.92505576,9.959482156,9.005653532,13.31143866,12.25148216,9.628471004,10.79800781,11.9151855,11.67574201,0.445211016030132,0.137770205855345,6.83422875383388
"GSM672578",12.64667732,13.41359628,13.91563829,10.49072788,9.296919703,11.76571784,12.9397052,12.5327658,12.57407212,12.73028625,9.646335316,14.41536729,13.41578699,11.04454907,10.16879219,9.720425279,14.14860818,12.07040112,10.87328067,11.42249628,12.07589257,11.17175985,0.149551001369423,1.03836103549205,7.89771869586002
"GSM672579",12.80470855,13.4367223,13.75826115,10.45966691,9.42066803,11.5350052,14.05925799,12.40656468,12.0542368,13.03040297,10.38541896,14.5931777,13.91315353,10.95418476,10.17751747,9.397619331,14.00300297,12.69099182,11.29894126,11.99510037,12.29753643,11.25685576,0.182402667555428,0.906246614672365,7.74170738293668
"GSM672580",12.62237993,13.46569219,13.6246145,10.57802751,9.374982156,11.37077807,13.96283048,12.52685316,12.1967829,13.08133792,10.09491599,14.42909851,13.63843383,11.27618439,10.17751747,8.97785948,14.07896877,12.89381004,10.93189145,11.81549405,12.56626989,11.15065874,0.226814997666287,0.749377023750695,7.55646317806037
"GSM672581",12.41698625,13.44939033,13.52142082,9.743322305,8.983071375,11.69029164,12.82796729,11.73722937,11.63990818,12.66046617,9.146624535,14.37361413,13.57092379,10.33973569,9.744597026,9.396359108,13.94520167,11.90566059,10.93586171,11.55933717,11.65469554,11.65346208,0.305843120611055,0.507667932037913,7.27103368058646
