"","accA","accD","kinA","kinC","ktrC","racA","sirA","spo0F","spoIIE","txpA","yerB","yerC","yisK","yisL","ykqA","yneF","yodL","yppD","yppE","yusD","yusE","spo0A"
"accA",1,0.972449948966131,0.418230588279389,0.476674900729724,0.48852929616123,0.29060873339987,0.346823017513324,0.744451840741202,0.322668427222836,0.420509018778591,0.431693382455318,0.292692246328477,0.450211100058581,0.397371473686857,0.421901411109633,0.501423074581402,0.378955386310252,0.173828688479935,0.0689265210342247,0.427026265671957,0.039997585656879,0.640578634637549
"accD",0.972449948966131,1,0.338904874780963,0.435564181842446,0.446860187882265,0.29648038104178,0.349259236800194,0.716581956639102,0.34694910850781,0.393534522068099,0.445604003075471,0.275148886327268,0.392330683879061,0.326949018763817,0.394572679146517,0.512198185475168,0.394443093386557,0.180249165919447,0.0602261746968517,0.443210245263722,0.120937339539051,0.619813423593338
"kinA",0.418230588279389,0.338904874780963,1,0.569349111166163,0.592761277139726,0.177580380210867,0.53198597398863,0.621510987415196,0.0463465036537722,0.551034877057858,-0.00417488384942056,-0.0673000710540474,0.865986902988637,0.675478553742866,0.470889567960666,0.594209293784141,0.292183597990784,0.187403369545272,0.0874788208880194,0.45229506227338,-0.112482497153744,0.523069803825144
"kinC",0.476674900729724,0.435564181842446,0.569349111166163,1,0.696649533741333,-0.429034472559297,-0.0289486046436001,0.417854697889716,-0.442957273690628,0.797514715121669,-0.289528801728078,-0.41488889932389,0.712881899424847,0.801515022372203,0.90796151423846,0.681673010426669,-0.297380997594364,-0.453550866718527,-0.41950409083592,0.0306998882751941,-0.0571744863401581,0.010773769258737
"ktrC",0.48852929616123,0.446860187882265,0.592761277139726,0.696649533741333,1,-0.0793878961327443,0.171506106746083,0.536957914033552,-0.176360431060403,0.629331541325528,-0.138333014362376,-0.194146253779953,0.645080645662032,0.669916468254477,0.676076509654034,0.528227385066936,0.00972076042409004,-0.198293961395845,-0.0812069091764879,0.190522332093069,0.0779947099910032,0.309681274012201
"racA",0.29060873339987,0.29648038104178,0.177580380210867,-0.429034472559297,-0.0793878961327443,1,0.742202633412212,0.482125364876123,0.946397418650147,-0.233393135778568,0.629840107729487,0.711671424263639,-0.102747136382465,-0.364289872113491,-0.552007351340323,-0.133906350054666,0.95122109553343,0.899354286427348,0.786756254809438,0.707103957658727,0.245086362516267,0.755471573099071
"sirA",0.346823017513324,0.349259236800194,0.53198597398863,-0.0289486046436001,0.171506106746083,0.742202633412212,1,0.578817954581208,0.714196575771214,0.0646499660457563,0.45402734993733,0.425404878446275,0.353948637931195,0.0449327795911224,-0.139031417633147,0.430923705766913,0.791013024207592,0.767142618495452,0.609067118611717,0.830303522337405,0.194921412393161,0.672828739915715
"spo0F",0.744451840741202,0.716581956639102,0.621510987415196,0.417854697889716,0.536957914033552,0.482125364876123,0.578817954581208,1,0.44989257778846,0.495325430507064,0.420377118383318,0.348078473687529,0.588237668705275,0.334547989800041,0.300762533270027,0.401060396854045,0.553877299469065,0.421852089489959,0.361245794969876,0.573662957807258,-0.0452904690679284,0.752147446895357
"spoIIE",0.322668427222836,0.34694910850781,0.0463465036537722,-0.442957273690628,-0.176360431060403,0.946397418650147,0.714196575771214,0.44989257778846,1,-0.299510399195143,0.683996988823954,0.730736433433623,-0.19123705122841,-0.432627847975272,-0.553579255727928,-0.124257512041744,0.928419607348631,0.881637834213876,0.765415794417252,0.655370008678121,0.17473276669935,0.691126299585991
"txpA",0.420509018778591,0.393534522068099,0.551034877057858,0.797514715121669,0.629331541325528,-0.233393135778568,0.0646499660457563,0.495325430507064,-0.299510399195143,1,-0.226862505307477,-0.248541103198914,0.663122380241496,0.629271576118927,0.694922421166106,0.571814434875548,-0.182508430611621,-0.228842383313888,-0.215827550349651,0.107372162187344,-0.0181439897874787,0.180886530139903
