"","asnH","abrB","codY","yxaM","yxbA","yxbB","yxnB","pval","z","inv_cof_var"
"GSM672549",8.405745725,14.13440409,13.68668848,8.671066914,7.780598141,7.839541636,8.392362082,0.382925778921378,0.29780557688937,21.1223446790731
"GSM672550",8.299332342,13.84343978,13.61280632,8.606457249,8.179828996,8.182026394,8.536066543,0.00865214301587366,2.38017780834961,41.8620177904728
"GSM672551",8.393543866,13.94112825,13.59499257,8.664556134,8.105662082,8.100355762,8.496584015,0.0581944571027222,1.57011261527822,33.7940619037185
"GSM672552",7.968440892,13.19966617,11.49286375,8.375895167,8.329036803,8.618287732,8.534192193,0.0633895318852622,1.52692740623641,33.3639528649773
"GSM672553",8.438575465,13.81311004,13.10414349,8.714569888,9.003201487,9.278698513,9.06027658,0.180985814906099,0.911614607897188,27.2356602830755
"GSM672554",8.164482156,13.44091413,13.46569219,8.507581413,8.9057171,9.046287732,8.886296654,0.274710560940526,0.598627787255081,24.1184249251387
"GSM672558",8.522198513,14.35976208,14.2572026,8.713237546,7.878565242,7.840681041,8.449340892,0.392272818729992,0.273400150042644,20.879275468248
"GSM672559",8.415459851,14.3392342,13.74743383,8.62690223,8.121063569,8.084459108,8.643419703,0.0929042013090455,1.32308111986926,31.3337176935917
"GSM672560",8.495408178,14.60165465,14.28826431,8.7627,8.12430632,7.908544238,8.56752974,0.274974510067577,0.597836519993516,24.1105441898405
"GSM672561",8.38036803,13.19254647,13.71233662,8.477389963,8.571306691,8.734165056,8.714569888,5.97239560062136e-05,3.84725646874452,56.4735898166539
"GSM672562",8.289634201,13.49977695,13.59499257,8.399660595,8.29409368,8.264835316,8.605266543,1.74909197664816e-05,4.13834610421197,59.3727371422393
"GSM672567",8.162204833,15.08894944,13.94646394,8.308172862,8.613412268,9.06572974,8.70175539,0.270515964167242,0.611253260733404,24.2441700675591
"GSM672569",14.39110335,14.961471,13.00295056,14.51143346,15.85358848,15.50683643,15.41281338,0.299423754486871,0.526058575921361,23.3956618675666
"GSM672570",14.2410829,14.99403494,12.98548327,14.25115204,15.22313234,15.5469539,15.24909405,0.267489923442381,0.620422220513898,24.3354895856289
"GSM672571",14.08209294,14.8030119,12.88900186,14.14860818,15.37522491,15.4060026,15.22980632,0.347247883361982,0.392761332138843,22.0680696047936
"GSM672572",13.81582714,13.15065688,13.30973011,13.89249665,15.24369703,15.55620743,15.11127918,0.499756617743077,0.00061006888459014,18.1623850747937
"GSM672573",14.14266803,13.03748513,12.98202045,14.18664647,15.22313234,15.75092528,15.22980632,0.388417771466721,0.283445253315313,20.9793210581276
"GSM672574",13.6722223,12.95488401,13.4450803,14.04023532,15.37522491,15.32246357,15.15316729,0.487650181994379,0.0309613489062016,18.464672829428
"GSM672606",8.193048327,13.98711561,14.52939071,9.038258922,8.898016357,9.024053532,9.091635688,0.289166494671045,0.555821349182666,23.6920883080476
"GSM672607",8.079886245,13.8485,14.6741539,9.059653903,8.775078996,9.06572974,9.150171375,0.425266598081777,0.188438149737267,20.0330847216548
"GSM672608",8.319688104,14.17215799,12.8679223,9.316182528,8.887666543,9.248775836,9.184917472,0.351596999176894,0.381012466157995,21.9510551555078
"GSM672609",8.713237546,13.99217212,12.70550669,9.055988104,9.170989591,9.484755948,9.243945353,0.0776086118759754,1.42134246569278,32.3123651040198
"GSM672610",8.710594424,13.92820372,13.43859219,9.376255762,9.838756506,9.997590706,9.543722677,0.467726617882296,0.0809858120735317,18.9628983618229
"GSM672629",13.29628699,13.02025465,12.82796729,13.41578699,14.5439829,14.77408978,14.47120892,0.409302065196466,0.229340689608354,20.4404592023246
"GSM672639",8.160166543,14.27227695,13.50622305,8.455767286,8.581058364,8.60996171,8.639731041,0.00610156303196378,2.50621537944164,43.1173063429764
"GSM672640",13.40705576,12.90971413,13.2139171,13.52354052,14.60551747,14.87743532,14.5931777,0.395264385397755,0.265624038018623,20.8018282092905
"GSM672645",8.264835316,14.5076632,13.13379517,8.544313755,8.679409665,8.806852788,8.746938476,0.0143408791074345,2.18783315000207,39.946334667838
"GSM672649",14.07336952,12.92150372,13.35045167,14.21381301,15.20407138,15.52257435,15.22980632,0.328481167739793,0.444110997893256,22.5794936749174
"GSM672657",9.808316357,11.81669368,13.55989331,10.08164275,10.57109665,11.00720223,10.55939517,0.340443465987395,0.411253132329991,22.2522412362684
"GSM672665",9.321043123,11.32936877,13.82056989,9.469037546,10.00507361,10.55939517,10.11216691,0.439467855172032,0.152318530347656,19.6733463964259
"GSM672666",13.68882788,13.37838364,12.25148216,13.49333755,14.84911041,15.08894944,14.8357223,0.448989761004041,0.128214125236308,19.4332752530437
"GSM672667",13.49977695,13.34303457,12.43328327,13.55558736,14.60165465,14.99403494,14.64045799,0.394218472730692,0.268340875477219,20.8288869262369
"GSM672668",13.64276654,12.49886208,12.38563941,13.64514461,14.72338401,15.08293978,14.64447732,0.363698423119315,0.34859038621012,21.62814298373
"GSM672669",13.9789632,12.01920743,12.55260149,13.68176245,14.96705799,15.1469052,14.94091933,0.353218168473308,0.376646485726161,21.9075715719299
"GSM672670",13.44939033,11.89411264,12.21777212,13.48916357,14.70303309,14.98346506,14.64878104,0.443510013690917,0.142075933780526,19.571333844873
"GSM672683",8.511257993,14.82197844,13.61633086,8.60055539,9.081620818,9.158375465,9.22933197,0.196825714188826,0.8530142022439,26.652021470051
"GSM672684",8.321933829,14.96705799,13.60378104,8.368715242,8.886296654,8.84164461,8.932741636,0.137821955862785,1.0901571805417,29.0138796317454
"GSM672685",8.122149442,15.19678141,13.7522145,8.366150929,8.729233829,8.607624907,8.856034201,0.136681436662335,1.09535104328714,29.0656086232765
"GSM672686",8.14140223,14.88755316,13.80104535,8.339630112,8.494200372,8.436023792,8.665937918,0.00558809462566287,2.53714111863303,43.4253155028509
"GSM672687",8.179828996,14.63629591,13.62670483,8.462952416,8.512473234,8.640388476,8.587512268,0.00173721887472518,2.92231157713767,47.261473746256
"GSM672688",8.228271004,14.84911041,13.91054387,8.452079554,8.465450186,8.517363569,8.611122677,1.40881153150399e-05,4.18772687494481,59.8645517311565
"GSM672706",8.557764684,13.77875762,13.29444201,8.848271747,9.479197398,9.666511896,9.434879926,0.445055196025181,0.138164523805169,19.532377618379
"GSM672707",9.42066803,12.82249405,13.49133829,9.524164684,10.36729665,10.59128327,10.29119926,0.468650350729645,0.0786629679554683,18.9397636758289
