"","azoR1","yodB","yodC","pval","z","inv_cof_var"
"GSM672555",9.371142751,10.2729855,10.68322677,0.437123031527718,0.15826744101689,15.0609097034105
"GSM672561",11.58623978,10.75363569,11.4562539,0.0822943164354203,1.38980324366076,25.1503759195499
"GSM672562",11.74086617,10.68432825,11.55433086,0.22017759001999,0.771593576343682,20.0856384271474
"GSM672563",12.03546171,10.80641041,11.38451078,0.279381024075837,0.584681273299117,18.5543428181197
"GSM672564",12.07438996,10.64447546,11.55308104,0.402509030556155,0.246858078210487,15.7866963505483
"GSM672565",10.8880052,10.79103494,11.08555204,2.97330771608857e-13,7.20170060695635,72.7648601860684
"GSM672572",10.30703643,10.2696368,11.41145911,0.372126616986452,0.326226181561938,16.4369265717765
"GSM672573",10.31281784,10.27363755,11.57153606,0.463296030015545,0.092133389811359,14.5191006273429
"GSM672575",10.47985502,9.888286245,10.75950632,0.121579440123453,1.16712750864795,23.3260852243525
"GSM672576",10.4475026,9.838126952,10.5060777,0.043919951736346,1.70690396643747,27.7482516960401
"GSM672577",11.54819108,10.32126059,11.22259814,0.330576604443163,0.438321546483152,17.3552777840842
"GSM672578",11.2785487,9.868152788,10.14765651,0.490070906258451,0.0248911171639355,13.9682123488892
"GSM672579",11.35768476,9.908577323,10.47046803,0.465218351459003,0.0872954093278911,14.4794650434342
"GSM672580",11.5763197,10.31645688,11.0609684,0.33114752965943,0.43674669712361,17.3423756911248
"GSM672581",11.05172937,10.26731784,10.17751747,0.162386739099115,0.984695877743873,21.8314979189648
"GSM672582",11.35058922,10.21518253,10.21397621,0.385387076902235,0.291362418686866,16.1513021043916
"GSM672583",10.92041933,10.12797993,9.70606803,0.363345297234279,0.349531143221596,16.6278545357291
"GSM672584",11.11013494,10.34454164,10.91444461,0.0514368832238194,1.63107845356795,27.1270444613207
"GSM672586",10.97474461,10.06085762,10.64919294,0.134992795202346,1.10309574051982,22.8014992887252
"GSM672587",11.00305037,10.55341784,10.47617472,0.00186250419691174,2.90055636385869,37.5273547572265
"GSM672589",11.07978216,10.49409517,10.79800781,0.00242724524690391,2.81653399657558,36.8389940662235
"GSM672590",11.2352461,10.38305279,10.23892602,0.233584776423625,0.727092075589826,19.7210559379825
"GSM672591",10.8252368,10.41029554,10.38305279,0.0002229046758394,3.51136647786667,42.5314707533101
"GSM672592",10.83237323,10.62021264,10.1576368,0.0203023607099075,2.04754379500677,30.5389736830447
"GSM672593",10.73174926,10.24754089,9.617849071,0.291567481444281,0.548811288045663,18.2604747847169
"GSM672594",10.71891933,10.15634833,9.637282528,0.269333590883817,0.61482971712406,18.8013366162601
"GSM672597",9.166081041,9.585373606,9.037702974,0.0116819727643165,2.26743041037708,32.3404142683668
"GSM672609",11.04938625,10.69778662,12.07172602,0.402149037979362,0.247788470560871,15.794318672341
"GSM672610",9.853855762,10.35757398,11.18032528,0.410062612533767,0.227383917110937,15.6271525597143
"GSM672611",9.995141264,10.39021747,11.06557435,0.247003262252165,0.683950340267712,19.3676134476354
"GSM672616",10.13052454,10.228229,10.99430186,0.154641143621702,1.01672916552052,22.0939334682363
"GSM672617",10.04980929,10.05582602,10.80403717,0.111328930977123,1.219491073265,23.7550783685437
"GSM672619",10.92505576,10.60630929,11.99907435,0.424856052296535,0.189485773029935,15.3166686553578
"GSM672620",11.37627286,11.1778052,10.93189145,4.49406265694404e-06,4.4401857772154,50.1409051859583
"GSM672621",11.14255428,10.76552491,10.73348922,1.60575238870613e-05,4.15792566941071,47.8284642356055
"GSM672622",10.70406654,10.8252368,9.724398885,0.3348679098847,0.426510608189419,17.2585156252905
"GSM672629",11.45741599,10.16564033,11.61880967,0.492821474977749,0.0179948649121044,13.9117141910902
"GSM672630",9.534535316,10.06085762,9.310286617,0.0849626417913401,1.37244392630836,25.0081581735565
"GSM672631",9.64251487,10.69380223,9.940048699,0.276533482491856,0.593170631503845,18.6238926376373
"GSM672632",9.883156134,10.68777323,9.474694238,0.381898480431264,0.300498473192038,16.2261500406683
"GSM672646",10.99077807,9.738382528,10.75493755,0.403336746634631,0.244719674300554,15.769177286986
"GSM672648",10.85929926,9.514567844,10.61030335,0.467308204847401,0.0820381080974463,14.4363941371408
"GSM672649",10.35981673,9.568403717,10.09603011,0.0882823662392259,1.35140812513188,24.8358205079815
"GSM672650",10.55470335,9.567028625,10.06807993,0.209788635881277,0.807154854667477,20.3769773516678
"GSM672660",11.27385204,10.495429,11.0609684,0.0504817182736566,1.64020073504592,27.2017795608513
"GSM672661",11.46098476,10.64447546,11.31214572,0.0740068376701917,1.44658326754205,25.6155512977013
"GSM672662",11.40767807,10.78417695,10.98396803,0.00524000890713102,2.55957520404726,34.7338363837681
"GSM672663",10.26107435,9.490528996,10.58402416,0.302622501923981,0.516872731820832,17.9988153320798
"GSM672664",10.93138271,10.70047807,10.20783569,0.0339886465383728,1.82515731518841,28.7170527366649
"GSM672665",10.4475026,10.25501375,9.970596283,0.000214524803495339,3.52153896569581,42.6148097614541
"GSM672666",11.34337435,10.22354126,11.55567323,0.419639492950286,0.202815828238851,15.4258763141209
"GSM672667",11.26785613,10.20901524,11.35768476,0.340487244464641,0.411133715414803,17.132539068356
"GSM672668",10.88007955,10.1489197,11.20221599,0.226725694009444,0.749673472698493,19.9060560352205
"GSM672670",10.28659294,10.228229,11.26426877,0.29411495324781,0.541402903309889,18.1997809361521
"GSM672671",9.986601859,10.18109182,11.22078922,0.403426005159341,0.244489141967862,15.767288630418
"GSM672672",10.14274461,10.4894658,11.23174721,0.257777285361798,0.650213114867722,19.091218238362
"GSM672673",9.826052045,10.06692714,10.96685353,0.341608520108881,0.408077142987901,17.1074978278397
"GSM672674",9.212445725,10.58096041,9.931396283,0.465477497759439,0.0866433646025725,14.4741231092302
"GSM672675",9.377654647,10.01882751,9.757262825,0.0227919369070999,1.99922630340269,30.143128350622
"GSM672676",9.026469888,10.42730372,9.77656171,0.49342712381937,0.016476502743148,13.8992748744462
"GSM672677",9.241455019,10.12320297,10.67147621,0.494490223907365,0.0138113996264897,13.8774407809506
"GSM672689",10.75825539,10.11216691,11.15739684,0.214619295154114,0.79049525832519,20.2404921320671
"GSM672690",10.91574907,10.07056989,10.99196914,0.193747845086155,0.864167850907376,20.8440613765158
"GSM672691",10.68322677,10.0087881,11.14034721,0.27587432582295,0.595141856990619,18.6400420771505
"GSM672698",10.56871487,10.246271,10.588729,3.38626699720515e-07,4.96777539290162,54.4632298735755
"GSM672699",11.25685576,10.0693658,10.48109219,0.320539558280825,0.466190544952162,17.5835970241153
"GSM672700",10.61555799,10.05582602,10.228229,0.00340860094446159,2.70564432000254,35.9305205625702
"GSM672710",11.83742714,10.99196914,11.05172937,0.107187403485316,1.24162539668204,23.9364157749382
"GSM672711",12.37568327,11.14532286,11.20686022,0.360151879126081,0.358052856590791,16.6976694277992
"GSM672728",9.987783271,10.51293717,11.3224881,0.40299914715579,0.245591726636789,15.776321653042
"GSM672729",9.859080669,10.64447546,11.30368922,0.45647110946913,0.109328151265756,14.6599702345571
"GSM672734",9.904658736,9.954214126,11.21668625,0.4919262999222,0.0202391465478429,13.9301006673053
"GSM672735",9.804423792,10.23892602,10.63316877,0.0916193646135564,1.3308489147426,24.6673873546718
"GSM672736",10.21035353,10.06807993,10.95418476,0.161008171111722,0.990322848295795,21.8775973739388
"GSM672777",11.28217807,10.32256357,11.18360929,0.198469899569972,0.847099257167043,20.7042254094815
