"","azoR2","mhqR","mhqA","mhqD","mhqE","mhqN","mhqO","mhqP","pval","z","inv_cof_var"
"GSM672549",10.12423866,12.42890074,9.703587361,7.993102602,8.618287732,8.08659145,8.072568773,8.96372119,0.155568957896379,1.01283722733788,10.3658521839492
"GSM672550",10.1576368,11.86062565,9.571112639,8.126315242,8.625594052,7.826556877,7.976651301,8.831322305,0.19399256366421,0.863277108133773,10.064676638223
"GSM672551",10.1576368,11.75142472,9.625894424,7.926234201,8.592207063,7.817295911,7.965228625,8.889076208,0.264578502838455,0.629293378235033,9.59349369240602
"GSM672558",10.31164684,12.63002937,9.585373606,7.919985874,8.545669888,7.962027881,8.046743123,8.986883643,0.268967172092773,0.615939660899111,9.56660274629336
"GSM672559",10.35867472,12.50924944,9.88378829,8.014537175,8.676886989,7.960496097,7.989135316,9.327350929,0.365019441862659,0.345073807876809,9.02114870723048
"GSM672560",10.35158587,12.67714424,9.758434201,7.957765056,8.579858364,8.123189219,8.166616729,9.21188829,0.254063656946037,0.661756460384817,9.65886597570218
"GSM672563",10.1254855,13.4345881,9.699892193,8.343217472,9.304019331,7.916786989,8.187467286,10.16753123,0.263391053766797,0.63292578658467,9.60080842692766
"GSM672565",10.41267844,12.41414164,10.04722045,8.62690223,9.60756803,7.865181413,7.916786989,9.457593309,0.364519897818616,0.346403100088332,9.0238255592507
"GSM672566",9.698559851,11.42599665,8.886296654,7.78546171,8.309239405,7.674563941,7.826556877,8.283497026,0.0571392059782484,1.57925136736089,11.5064643246477
"GSM672567",9.70122342,11.33044126,8.9057171,7.789472491,8.219970632,7.589801115,7.770922305,8.261359108,0.0854168352674001,1.36952997843057,11.0841394823188
"GSM672568",9.657711524,11.15801487,9.081620818,7.795259851,8.462952416,7.533495539,7.770922305,8.288367658,0.104811069684006,1.25460513245961,10.8527104530628
"GSM672569",10.02137472,11.68608067,8.879577695,7.869126394,8.391205576,7.889139777,7.83154052,8.028971747,0.141140105399623,1.07521113604193,10.491457165364
"GSM672570",10.08788327,11.67069814,9.119518959,7.842649442,8.442299257,7.908544238,7.781533457,8.085531599,0.214315153443274,0.791537663320232,9.9202118801257
"GSM672571",10.13419145,11.19147212,9.008102974,8.068419703,8.479710781,7.943737175,7.847688476,8.055976952,0.156754522182651,1.00788631031745,10.35588231268
"GSM672600",10.61667584,11.27734684,9.980197026,7.979769517,9.207777695,8.352986617,8.359057249,8.410509294,0.347915968275227,0.390953054736564,9.11353768956099
"GSM672602",10.45615651,11.11013494,9.996260595,8.026884387,9.126830483,8.245984201,8.035083271,8.000223048,0.45350964813032,0.11679905041576,8.56146216097921
"GSM672603",11.02835167,12.67413941,9.871837546,8.434243866,9.113410037,8.305863941,8.34082119,8.833879926,0.348317151546532,0.389867803183883,9.11135227255031
