"","bacA","abrB","codY","scoC","bacB","bacC","bacD","bacE","bacF","nprE","pval","z","inv_cof_var"
"GSM672550",9.287444981,13.84343978,13.61280632,12.06073494,10.00747918,9.991480297,10.15634833,10.1033316,9.740756506,10.26231375,0.214046296578989,0.792459850941848,30.1873423449977
"GSM672551",9.025208922,13.94112825,13.59499257,11.94797546,9.874389219,9.954214126,10.26368476,10.16996877,9.897704089,10.21896468,0.431704873344387,0.172035338953842,23.4326058173467
"GSM672552",10.8438829,13.19966617,11.49286375,13.92068736,11.20930781,11.10190223,11.06917918,10.86634126,10.48689405,10.84678197,0.0129236481504008,2.22849842422665,45.8218990374807
"GSM672553",10.26368476,13.81311004,13.10414349,13.55136803,11.03646654,10.87889517,11.09626803,10.86634126,10.66082342,10.74269703,0.05663892070181,1.5836304454213,38.801039597238
"GSM672554",10.12925874,13.44091413,13.46569219,13.24606989,10.77135019,10.69834424,11.01674572,10.92844275,10.79103494,10.80278067,0.0727862156256112,1.45534985465526,37.4044126498927
"GSM672559",8.530658364,14.3392342,13.74743383,11.72986729,9.237713383,9.137415985,9.362375836,9.53907026,9.477910781,9.880541264,0.475091101608866,0.0624779723047965,22.2398238880733
"GSM672561",9.630962082,13.19254647,13.71233662,12.45103717,10.26606654,10.31040186,10.61201561,10.28526989,10.27670223,10.11953383,0.118692830907369,1.18154657706497,34.4234391957597
"GSM672562",9.851207435,13.49977695,13.59499257,12.52395651,10.25749294,10.34922342,10.58034275,10.41393086,10.29473086,10.22478587,0.0125700117452554,2.23924432106115,45.9388926450313
"GSM672565",8.387723048,11.82298996,14.49293792,11.08210335,9.333706691,9.276272862,9.432344238,8.995851673,9.035304089,9.590351301,0.4436843710107,0.141634465247122,23.101622936865
"GSM672566",9.942540149,15.32970632,13.9254487,13.19793569,10.1266829,9.679448327,9.860341264,9.788014126,10.02391561,9.707454275,0.000229759059931872,3.50330781167135,59.7011081415393
"GSM672569",13.6940316,14.961471,13.00295056,14.51807323,13.29238922,13.35045167,13.1136368,12.68944535,12.40940483,12.05292342,0.473140263698376,0.0673783208762816,22.2931753641264
"GSM672571",13.19072825,14.8030119,12.88900186,14.41869665,12.98548327,13.10225725,13.05679517,12.43612565,11.96554164,12.01111041,0.415745294297157,0.212790224834713,23.8763157466299
"GSM672584",8.214330483,11.53634684,13.49133829,12.99944721,8.918543866,8.787394052,8.984360223,8.108623048,8.42054461,8.601725651,0.373967121648205,0.321364419580376,25.0583936062858
"GSM672586",8.511257993,11.70220223,13.4450803,12.80614647,9.144256877,9.032209665,8.947592565,8.290675465,8.467777323,8.60114052,0.315378535578994,0.480661538041664,26.7927062326071
"GSM672589",8.291892937,11.68483494,13.45520892,12.75389331,8.835132714,8.847083271,8.761433086,8.097211524,8.538096654,8.34510632,0.252221920829136,0.667514044615216,28.8270221357478
"GSM672593",8.048987361,11.15301375,13.36832156,12.89381004,8.282275836,8.227065428,8.196510409,7.425346468,7.695330483,7.535639777,0.475771259121422,0.0607698297833038,22.2212268590047
"GSM672595",8.175404461,10.84913197,13.6106,12.87304684,8.067376208,8.239889591,7.94874052,7.454666543,7.710256877,7.470616357,0.403286518741767,0.24484940604011,24.2253530882411
"GSM672596",8.174248327,11.11124164,13.25572045,12.7521803,8.010395911,8.30718513,8.048987361,7.359909665,7.766415613,7.636548699,0.414047667191999,0.217145014366135,23.9237275676489
"GSM672610",10.38045316,13.92820372,13.43859219,11.9083223,11.13814721,11.21893048,11.37447026,10.79227621,10.98158476,9.974054275,0.49618241556873,0.00956941112515766,21.6637934703189
"GSM672611",10.18716803,14.04813494,13.45520892,12.00305651,10.97028662,10.99896283,11.2284513,10.72760855,10.84732714,9.907265799,0.465494846894704,0.0865997133122143,22.5024440810945
"GSM672619",13.37430892,13.41777658,14.04023532,11.73722937,13.99217212,14.3002197,14.06780892,13.35631375,13.62222788,12.82326543,0.316509134487031,0.477482936093558,26.7580998973142
"GSM672639",10.06448922,14.27227695,13.50622305,13.28950149,10.31645688,10.30216766,10.45367881,10.24892193,10.23424796,9.692330112,0.0356425279705659,1.80365724529279,41.1965333816338
"GSM672641",11.34699628,13.28071041,12.90213346,13.08627212,11.63132268,11.69475316,11.6362881,11.14697993,10.88639294,10.3697052,0.443049021464855,0.143243288624081,23.1191386504142
