"","bacA","bacB","bacC","bacD","bacE","bacF","nprE","abrB","codY","scoC"
"bacA",1,0.955408200222694,0.937451918100561,0.902929237544374,0.874238849187468,0.860056200123314,0.748809566346876,0.237005374171493,-0.253164571822697,0.529030860373203
"bacB",0.955408200222694,1,0.986753418979255,0.973194486017789,0.945605905401866,0.941422166995487,0.841778759969401,0.199070085293067,-0.180025049244018,0.37514139521288
"bacC",0.937451918100561,0.986753418979255,1,0.984264474676528,0.956403060318548,0.956399670729627,0.824264773536501,0.211685312038963,-0.131557562964075,0.338541406202886
"bacD",0.902929237544374,0.973194486017789,0.984264474676528,1,0.98030192071786,0.978430986552245,0.855687477284485,0.222697955056425,-0.0656852078034502,0.289695082433128
"bacE",0.874238849187468,0.945605905401866,0.956403060318548,0.98030192071786,1,0.974212261047759,0.860579232682439,0.27849274683818,-0.0591951242539357,0.272751227147942
"bacF",0.860056200123314,0.941422166995487,0.956399670729627,0.978430986552245,0.974212261047759,1,0.844801704015691,0.302279065043343,-0.018237675617044,0.235148778020029
"nprE",0.748809566346876,0.841778759969401,0.824264773536501,0.855687477284485,0.860579232682439,0.844801704015691,1,0.126733926354295,-0.116951665789993,0.183433761508513
"abrB",0.237005374171493,0.199070085293067,0.211685312038963,0.222697955056425,0.27849274683818,0.302279065043343,0.126733926354295,1,-0.129889530447807,0.252951033211317
"codY",-0.253164571822697,-0.180025049244018,-0.131557562964075,-0.0656852078034502,-0.0591951242539357,-0.018237675617044,-0.116951665789993,-0.129889530447807,1,-0.462284101698709
"scoC",0.529030860373203,0.37514139521288,0.338541406202886,0.289695082433128,0.272751227147942,0.235148778020029,0.183433761508513,0.252951033211317,-0.462284101698709,1
