"","bdbA","bdbB","sunA","sunT","yolJ","abh","abrB","dnaA","rok","yvrHb"
"bdbA",1,0.973035998061669,0.939935170379615,0.983548342142817,0.992877104659842,-0.141750276733062,-0.373892107831759,-0.543489690848081,-0.126986852899063,-0.367367928053541
"bdbB",0.973035998061669,1,0.915407109236879,0.944538865840855,0.985691280277566,-0.187364866423191,-0.359483455844145,-0.578620134062125,-0.200781459125589,-0.452575506268578
"sunA",0.939935170379615,0.915407109236879,1,0.940365769929106,0.933434846809051,-0.169438813497374,-0.206608036318804,-0.600631454999916,-0.107523502158686,-0.385798853883097
"sunT",0.983548342142817,0.944538865840855,0.940365769929106,1,0.971759797676116,-0.1422761349847,-0.369613548465249,-0.510385010539291,-0.0997832249664748,-0.311870815448131
"yolJ",0.992877104659842,0.985691280277566,0.933434846809051,0.971759797676116,1,-0.148114993017435,-0.369562400259485,-0.567160867020095,-0.166573159135291,-0.399440497595539
"abh",-0.141750276733062,-0.187364866423191,-0.169438813497374,-0.1422761349847,-0.148114993017435,1,0.430555101836056,0.24762681025387,0.228121497663827,0.573811460763191
"abrB",-0.373892107831759,-0.359483455844145,-0.206608036318804,-0.369613548465249,-0.369562400259485,0.430555101836056,1,0.243817153535851,0.389474443308688,0.359367151584446
"dnaA",-0.543489690848081,-0.578620134062125,-0.600631454999916,-0.510385010539291,-0.567160867020095,0.24762681025387,0.243817153535851,1,0.0814863103651073,0.220346035005166
"rok",-0.126986852899063,-0.200781459125589,-0.107523502158686,-0.0997832249664748,-0.166573159135291,0.228121497663827,0.389474443308688,0.0814863103651073,1,0.509279685580088
"yvrHb",-0.367367928053541,-0.452575506268578,-0.385798853883097,-0.311870815448131,-0.399440497595539,0.573811460763191,0.359367151584446,0.220346035005166,0.509279685580088,1
