"","bioA","bioB","bioD","bioF","bioI","bioW","yhfR","yhfS","yhfT","yhfU","ytbQ","yuiG","birA"
"bioA",1,0.963630639793589,0.962663641849155,0.978732511616314,0.93501737574518,0.961338753612052,0.610094073065782,0.702978293839362,0.725753613596322,0.707379637438829,0.883757389774948,0.833389471816022,0.460771215282403
"bioB",0.963630639793589,1,0.970851498115123,0.958387198937171,0.954000869935732,0.932427157844479,0.603339548591816,0.68617566604412,0.692592619611409,0.63892491622393,0.912648783083106,0.769493561745851,0.500378837835201
"bioD",0.962663641849155,0.970851498115123,1,0.957857454535412,0.932907802932932,0.928416471166104,0.564894456448223,0.668207558079747,0.681943383515454,0.619532258577166,0.883151209768556,0.75987841294441,0.432680690069953
"bioF",0.978732511616314,0.958387198937171,0.957857454535412,1,0.936067782344919,0.951742234019753,0.576186407612569,0.674588005324824,0.679181475597575,0.652047119424545,0.885309821275739,0.82353546689193,0.451784544430115
"bioI",0.93501737574518,0.954000869935732,0.932907802932932,0.936067782344919,1,0.919281857999063,0.648253658731036,0.731292872045927,0.729052658688263,0.630819909459124,0.961519322444678,0.758840749283503,0.539460089757785
"bioW",0.961338753612052,0.932427157844479,0.928416471166104,0.951742234019753,0.919281857999063,1,0.610077615536789,0.67638743382686,0.707573085023342,0.700700388423687,0.858434047883802,0.860004037166827,0.463112838776809
"yhfR",0.610094073065782,0.603339548591816,0.564894456448223,0.576186407612569,0.648253658731036,0.610077615536789,1,0.895538898253897,0.906387959000452,0.706402669496712,0.648644442089997,0.604783165202254,0.620869139960304
"yhfS",0.702978293839362,0.68617566604412,0.668207558079747,0.674588005324824,0.731292872045927,0.67638743382686,0.895538898253897,1,0.969342449647518,0.798975341940582,0.674399059950845,0.648811623989532,0.673154572724313
"yhfT",0.725753613596322,0.692592619611409,0.681943383515454,0.679181475597575,0.729052658688263,0.707573085023342,0.906387959000452,0.969342449647518,1,0.859986091519485,0.66727113601022,0.682972462891877,0.649514714429248
"yhfU",0.707379637438829,0.63892491622393,0.619532258577166,0.652047119424545,0.630819909459124,0.700700388423687,0.706402669496712,0.798975341940582,0.859986091519485,1,0.509159570271953,0.742378825936655,0.556677949919252
"ytbQ",0.883757389774948,0.912648783083106,0.883151209768556,0.885309821275739,0.961519322444678,0.858434047883802,0.648644442089997,0.674399059950845,0.66727113601022,0.509159570271953,1,0.688881126173683,0.515322248217689
"yuiG",0.833389471816022,0.769493561745851,0.75987841294441,0.82353546689193,0.758840749283503,0.860004037166827,0.604783165202254,0.648811623989532,0.682972462891877,0.742378825936655,0.688881126173683,1,0.445851701015892
"birA",0.460771215282403,0.500378837835201,0.432680690069953,0.451784544430115,0.539460089757785,0.463112838776809,0.620869139960304,0.673154572724313,0.649514714429248,0.556677949919252,0.515322248217689,0.445851701015892,1
