"","birA","spx","bshA","bshB1","bshB2","bshC","cca","coaX","dapB","mgsA","msrA","msrB","tpx","trxB","yacC","yacD","yjbH","yjbI","ylaA","ylaB","ylaD","ylbQ","yojF","yoyC","ypjD","ytpP","ytpQ","ytpR","ytvA","ytxK","yugJ","yugT","pval","z","inv_cof_var"
"GSM672549",12.84293011,14.06484089,12.79665613,12.99247212,12.49129033,11.83088699,12.80924201,12.80614647,12.61945911,12.79829665,12.02449777,11.61378959,14.75366506,13.04719888,12.67568848,12.00166803,12.19816729,12.52257955,9.02842026,9.336265056,9.327350929,11.42984089,12.85683234,13.08133792,12.73269777,13.42184944,13.31550074,14.01120595,10.8370197,12.75389331,13.06578587,8.906881413,0.128110828027686,1.13536681935956,8.69931305959864
"GSM672550",12.61541041,15.01592007,12.48971413,12.70778104,12.25148216,11.51009108,12.52980595,12.09093494,12.28434275,12.34349182,12.06771041,11.65530799,14.95131636,12.49265874,12.08955204,11.96150149,12.47610223,12.84992788,8.654175465,9.151350929,9.037702974,11.17905353,12.57725279,12.74293383,12.25553011,13.01151115,13.26346171,13.88738959,10.97260186,12.61107732,12.92503755,8.692872119,0.221337903123384,0.767682549136825,8.41913067538534
"GSM672551",12.56328699,14.83115242,12.67092974,12.91991375,12.29753643,11.5375197,12.58894312,12.03426766,12.28742007,12.62693755,12.00437026,11.79984164,14.93051896,12.4632171,12.14881636,12.00036022,12.16733941,12.49265874,8.796410037,9.255978439,8.94377881,10.97143346,12.52980595,12.8156342,12.158871,13.07116617,13.05512156,13.93848699,10.93698327,12.50189554,12.988971,8.538096654,0.233357147775358,0.727835491669655,8.38876646220246
"GSM672558",12.72426729,13.94779572,12.72122491,13.02507807,12.71352639,11.90698848,12.79584424,12.68201636,12.59049108,12.67092974,11.76631543,11.60144089,14.26946022,13.18693197,12.8156342,11.88872416,12.19107955,12.37289182,9.318468401,9.733342007,9.419314498,11.34829926,12.83902974,12.83584424,12.6836,13.34303457,13.17595502,14.09313569,10.3635,12.36067658,12.67265651,9.18200948,0.026510323361378,1.93475272640534,9.30846027497155
"GSM672559",12.62693755,14.27893866,12.48520074,12.89544572,12.76756729,11.88872416,12.5394368,13.2139171,12.80614647,12.80924201,12.03001301,11.69090818,14.64878104,13.55356059,12.83418104,12.42003234,12.26155651,12.72122491,9.170989591,9.530714498,9.433663197,11.53286245,13.13379517,13.09337732,13.1395539,13.72369888,13.52354052,14.18104015,10.60630929,12.59420093,13.37626729,8.934648885,0.145048697788198,1.05790798250267,8.64028795750274
"GSM672560",12.80753569,14.41200297,12.51075985,12.83584424,12.77412974,11.93222788,12.40194684,12.74905093,12.50924944,12.56328699,11.68223941,11.49352602,14.46059071,12.9736632,12.74756208,11.92807175,12.04866431,12.28742007,9.266752045,9.796913383,9.485410037,11.12277175,13.07797286,13.06224758,12.51800186,13.55136803,13.50188959,14.14266803,10.44165911,12.60668736,12.71058885,9.267866914,0.0377803821299654,1.77704543745399,9.18828433108514
"GSM672563",11.46694833,13.2786855,10.69258996,11.33044126,12.79665613,10.65360335,11.18580558,12.09768922,11.00960112,11.27025613,12.13979294,12.10452751,12.74905093,12.21031896,12.50036468,11.36968216,12.74756208,13.24969777,7.833525279,9.081620818,9.713857993,10.39021747,12.48055799,12.22945316,11.14697993,12.84075093,12.99767955,13.54124015,11.09151115,11.83742714,11.63990818,10.30703643,0.0360483910153262,1.7985064841935,9.20463805554429
"GSM672564",11.8217948,14.29121375,11.24836134,11.77697584,12.67092974,10.93189145,11.59011673,11.42728327,11.30014833,11.63132268,11.9588368,11.70353494,13.38058216,12.3463026,11.68483494,11.37385112,13.19793569,13.56203011,7.988589591,9.353508178,9.592969888,10.19692082,12.57175874,12.34349182,10.93586171,13.03570706,13.02854461,13.44091413,11.2329223,11.73237063,12.34201004,10.10459219,0.0405075241348275,1.74482665062465,9.16373300473975
"GSM672565",12.84908662,14.03156208,12.42890074,13.04114164,13.7086368,12.26860632,12.83102602,11.70990037,12.52103866,12.5312223,12.37568327,12.30886543,14.78927807,12.96507435,11.9427,11.95618216,14.11029777,14.20152714,8.595686989,9.053477323,9.893404089,11.09029926,13.72369888,13.7497,12.55413048,13.68882788,13.58176394,14.16357621,11.74338513,11.9387881,12.66787807,9.625894424,0.28305117195996,0.573801189219601,8.27138940365996
"GSM672575",11.30132639,13.85627844,11.55800706,11.88260409,10.8426684,11.28319888,11.61762454,10.18850149,11.10549071,11.37209145,12.37705167,11.802529,14.47804424,11.16719814,9.779072862,10.3481119,11.57041264,11.1695632,7.260295911,7.612225279,8.67227658,11.90309033,11.11935985,11.41994833,11.01195019,11.55933717,11.98993309,12.58472156,10.28889442,10.56992156,10.67624981,12.57407212,0.442947643524226,0.143500030645168,7.94349176347509
