"","birA","bshA","bshB1","bshB2","bshC","cca","coaX","dapB","mgsA","msrA","msrB","tpx","trxB","yacC","yacD","yjbH","yjbI","ylaA","ylaB","ylaD","ylbQ","yojF","yoyC","ypjD","ytpP","ytpQ","ytpR","ytvA","ytxK","yugJ","yugT","spx"
"birA",1,0.952415915305641,0.94597359841952,0.854144792576798,0.872490339751955,0.967712191256836,0.889421820333585,0.915678264940426,0.929242757420169,-0.201955123121912,-0.0398979982918051,0.60352748766778,0.74360757194668,0.910500452872278,0.68496289132059,0.412146643877393,0.357915298317474,0.753029293122988,0.605206477480062,0.657322162071222,0.228736473640494,0.842163709157891,0.82431769792409,0.853886667297569,0.789724389109548,0.835785756497766,0.852502090862991,0.310999786953558,0.84998290865798,0.767450799401189,-0.218275337693199,-0.370223050208851
"bshA",0.952415915305641,1,0.974771278097551,0.771419323452845,0.880798025006298,0.972171138088922,0.815227810521968,0.929075070407097,0.944967944357175,-0.170226683247363,-0.00647829373955573,0.670373587372467,0.640626371101832,0.819747308611638,0.632613221310445,0.336879648186453,0.289051819469119,0.671562978368989,0.506916677599051,0.588068960125801,0.259581142294786,0.766349135626594,0.742892842185819,0.857749823174802,0.735823856692448,0.779556100483723,0.789261341481352,0.314849869480364,0.791733433121786,0.765390298003647,-0.12139172672792,-0.309813165203455
"bshB1",0.94597359841952,0.974771278097551,1,0.794112573956479,0.863111507631409,0.95923399539631,0.818473384770791,0.963359600209705,0.97046882783584,-0.110650615489668,0.030817665751108,0.725371747268873,0.610099291961343,0.829816961994018,0.717702427989301,0.447367095487273,0.393779679306367,0.682405324104515,0.526977981845418,0.576664471189786,0.236060247972741,0.798336302162003,0.773493606122003,0.900353857681522,0.793499375531096,0.840730297088559,0.833589373705004,0.330261062675128,0.820117779210577,0.74535223299486,-0.19860762224045,-0.31063111059029
"bshB2",0.854144792576798,0.771419323452845,0.794112573956479,1,0.81595045711011,0.788762654381937,0.908701389776281,0.818723286054427,0.811415661807606,0.011578786803517,0.145702278824861,0.52530864622482,0.784743500213885,0.923255359943119,0.724682645559328,0.682191745896838,0.618082159976246,0.86379244316384,0.803052291505259,0.778136038114949,0.235974894066424,0.976301982772233,0.939636850048597,0.815829022230596,0.859349096101215,0.876154832642127,0.877258860368971,0.375514108671128,0.885097044946152,0.747546072255338,-0.327960799228194,-0.226421162373042
"bshC",0.872490339751955,0.880798025006298,0.863111507631409,0.81595045711011,1,0.887597145873028,0.788570743293274,0.800253472928002,0.805775602113401,0.0104861012496164,0.0817374087972874,0.574900161777734,0.758217540507999,0.776562125459857,0.462805993502801,0.370755002468587,0.272186305902463,0.648820716692507,0.49989240917,0.655061501161585,0.485590179318033,0.806719798383966,0.804775333482023,0.741175442215797,0.639315155538317,0.68392035755318,0.69090408023292,0.33948747748925,0.723605480909738,0.838206745740253,0.0383375822946082,-0.243230467354677
"cca",0.967712191256836,0.972171138088922,0.95923399539631,0.788762654381937,0.887597145873028,1,0.833738725710529,0.901419180020612,0.919100720824444,-0.20926569271557,-0.0451231665588449,0.603558760916284,0.690112574847969,0.848914251772348,0.613396122365248,0.334448711593189,0.272209487651223,0.675371499590148,0.5070512662612,0.591198316007589,0.271419610190011,0.776830750446198,0.760314526735707,0.815579578770235,0.720340742628103,0.772085450093574,0.781711579374736,0.321020867399552,0.790053694455355,0.781511415619886,-0.115533135666048,-0.341977580499959
"coaX",0.889421820333585,0.815227810521968,0.818473384770791,0.908701389776281,0.788570743293274,0.833738725710529,1,0.833531174584865,0.82912340946974,-0.102718882818902,0.0389952871604837,0.499508618545956,0.826053308999336,0.976309111635562,0.724422366495345,0.535217985236984,0.491554751146225,0.88994736153198,0.796242242256052,0.746919621216319,0.188818500879937,0.892507061143215,0.872472787492316,0.824823803892381,0.829875425665573,0.844384478431652,0.861796421131837,0.365728142264509,0.898953459968064,0.753317629225812,-0.292795318800239,-0.247896957851766
"dapB",0.915678264940426,0.929075070407097,0.963359600209705,0.818723286054427,0.800253472928002,0.901419180020612,0.833531174584865,1,0.977645030020914,-0.118832712507589,0.00807695830523544,0.738389430999554,0.567221913243268,0.839968215905196,0.832528310941134,0.526654677993598,0.518452109575683,0.736312982584993,0.593882244408123,0.556927447727791,0.236463454099023,0.842618461095742,0.810063483343043,0.969981187430111,0.881500942323641,0.908573630306704,0.870952405417629,0.284396553573325,0.831019549595518,0.668842058951579,-0.367749799375798,-0.347184718297915
"mgsA",0.929242757420169,0.944967944357175,0.97046882783584,0.811415661807606,0.805775602113401,0.919100720824444,0.82912340946974,0.977645030020914,1,-0.133861946698619,-0.00113828794424443,0.706178290113733,0.600608738302871,0.841234287232962,0.791499894472421,0.512980419730215,0.476126238864528,0.732035626297462,0.594460114655467,0.573098703323159,0.176306346432481,0.823287625418368,0.784148449309657,0.934415586260604,0.864955539731727,0.895427053189732,0.883904453148924,0.300140164371423,0.840354123046185,0.688492875420645,-0.324011889734136,-0.304717664557479
"msrA",-0.201955123121912,-0.170226683247363,-0.110650615489668,0.011578786803517,0.0104861012496164,-0.20926569271557,-0.102718882818902,-0.118832712507589,-0.133861946698619,1,0.724171748643391,0.17345826891439,0.0105228403018168,-0.165050003410269,-0.12184731753128,0.258542784164592,0.19777552366407,-0.0289740385694055,0.052768268140191,0.172547923135033,0.188826155451276,0.0359087269856396,0.0677689578559506,-0.0684516542720473,-0.0844872856166594,-0.0785001836215011,-0.131310091873627,0.341115244946469,-0.0345430663499275,0.124471849385032,0.211952693645489,0.471333348500736
