"","acdA","fadR","fadF","fadG","fadH","nagP","nagR","rpoE","yflG","yflH","yflI","ykzU","ccpA","pval","z","inv_cof_var"
"GSM672552",10.27073271,12.9397052,10.34093643,11.44532602,10.27428959,12.56626989,11.21065762,12.89381004,12.86164312,11.41637175,10.23182268,11.05060483,12.8811052,0.109013606167274,1.231790876333,10.3288475936937
"GSM672555",11.32697918,13.54124015,11.39931487,12.47610223,11.88815149,9.984120446,9.702426022,12.63002937,12.05292342,11.41278104,10.85929926,12.21495725,12.39001859,0.000926604607141449,3.11280101313421,14.4823337946377
"GSM672556",11.36371152,13.56651933,11.3281881,12.62380409,12.01517881,10.05959888,9.800424907,12.52980595,11.81292007,11.25813941,10.72878178,12.41861375,12.18563792,0.00184905975023928,2.90282607770789,14.0186850456095
"GSM672557",10.97806617,13.41777658,10.98619703,12.33601004,11.79238513,10.38305279,10.1452829,12.00166803,12.09511747,11.4622,10.41029554,12.22743866,12.26155651,0.000155719942536081,3.60559387037669,15.570476964329
"GSM672566",9.598244981,11.85426952,9.051007063,11.13919257,10.19028625,11.37927323,10.69023643,12.89544572,11.42471599,10.42954089,10.73115465,10.90279405,12.72717732,0.130147069016617,1.12569618754156,10.094578348001
"GSM672567",9.721840149,12.12079071,9.173247955,11.2284513,10.18047323,11.14142193,10.45493383,12.91991375,11.32936877,10.54389442,10.95179145,10.82305316,12.59922416,0.0882233509611025,1.35177688144861,10.5937904596591
"GSM672568",9.83934684,12.02449777,9.378848327,11.00720223,10.27553494,11.12277175,10.75109331,12.75065836,11.45977212,10.94269926,10.84564796,10.81843457,12.41861375,0.0290198962803486,1.89539725148682,11.7941666093302
"GSM672572",9.826052045,12.10844647,9.533196654,11.63750186,10.93189145,10.1576368,9.873116357,13.05860929,10.92964758,9.976483271,10.96004981,11.30724907,11.99907435,0.102721942483217,1.26619330193281,10.4048120966022
"GSM672573",9.768651673,12.30672212,9.555390335,11.46694833,10.68536877,10.60737249,9.99890223,12.59049108,11.11236022,10.08594108,10.02511822,10.88912007,12.08217398,0.0291212101896361,1.89386884770924,11.790791718427
"GSM672574",10.00255502,11.92156208,9.863558736,11.40649405,11.18790892,10.40642565,10.07806877,12.50329219,11.3084513,10.91759201,10.34033606,11.17542156,12.11117286,0.00236313923596993,2.82512086154527,13.8471030127653
"GSM672584",12.80310595,13.77875762,12.55413048,11.10075985,10.8462368,11.02024349,8.851008178,13.02025465,12.01585186,10.93322082,8.592207063,10.90512491,11.53395353,0.301146881343465,0.521104806681667,8.7595712108882
"GSM672585",13.7497,15.26197249,14.06780892,12.04472491,12.21330186,13.01151115,9.927572862,13.19436877,12.09898662,11.52934052,9.226322862,11.98850669,12.24615948,0.261928756359946,0.637410466265445,9.01638745165255
"GSM672587",12.95128178,13.91563829,12.70469665,10.75245725,10.7218171,11.04454907,8.784646468,12.9836684,12.18289145,11.31787472,8.865524721,10.29119926,11.57506468,0.332467925972861,0.433108632126587,8.56526556117388
"GSM672588",13.92297026,15.28264684,14.18104015,11.6386974,12.11942565,13.01695428,9.862908178,13.23707546,12.05679591,11.8064539,9.03881487,11.62253309,12.55874387,0.368705136119335,0.335284782008735,8.34925927623239
"GSM672589",12.62237993,13.67938253,12.42288327,10.86981041,10.57392825,10.49302193,8.436023792,13.36243383,11.99907435,11.44184461,8.341881784,10.73348922,11.51852045,0.441224520233236,0.147865342119117,7.93541564926822
"GSM672590",12.81402342,13.59952639,12.85326877,10.91210632,11.04117175,11.01674572,8.874475465,13.08980112,11.7631513,11.7049197,8.911299628,10.51293717,11.95618216,0.266643218049405,0.622997086994333,8.98456105649375
"GSM672591",13.00986097,13.73822305,13.00807138,11.61025167,11.77321896,11.35058922,8.821811152,13.34118773,11.69090818,11.17657509,8.77573197,11.31335911,11.80120297,0.26467897792103,0.628986406154754,8.99778616038828
"GSM672592",12.67875353,13.57959368,12.44805874,10.81242528,10.88470892,11.19026506,8.97135948,13.31737249,11.7060368,10.96685353,8.225892565,10.61555799,12.11744535,0.42953590123169,0.177555846972639,8.00097569054364
"GSM672593",13.0185829,13.95989033,12.87947621,11.95618216,11.85813271,11.65957844,8.304640149,13.60160558,11.33353011,11.20686022,8.7329829,11.82570149,11.89151413,0.282768664921799,0.574636250895966,8.87777478167746
"GSM672594",13.34118773,14.16068439,13.21777212,12.36369665,12.48055799,11.79926413,8.403292565,13.47196803,11.28929814,11.1778052,8.583566914,12.03148699,11.83742714,0.375767554338677,0.316615848490736,8.30803612903277
"GSM672595",13.22549963,13.96283048,13.04989703,11.9466974,12.12819442,11.6522461,8.502789963,13.60618996,11.21785428,10.69834424,8.77573197,11.69219926,11.8646974,0.358467446163428,0.362558263919712,8.40948225353202
"GSM672596",13.19793569,14.01388922,12.92150372,11.88637695,12.14299442,11.64111115,8.404481041,13.46152045,11.24703346,11.42134944,8.143390706,11.75559182,11.72728216,0.444860111980941,0.138658233587731,7.91508529724751
