"","bpr","degU","capA","capB","capC","capE","levB","minJ","sacB","sacX","sacY","sipT","swrA","yueB","yueC","yueD","yukB","yukC","yukD","yukE","yveA","pval","z","inv_cof_var"
"GSM672549",8.257919703,13.2291658,8.9676171,8.723092565,8.6819829,9.213757621,7.896279926,12.01920743,9.281081041,9.780388104,9.629740892,11.39465613,12.32441041,11.79868662,11.3224881,11.05971004,11.35883048,11.14367621,11.14142193,14.73557435,7.454666543,0.00229445949739727,2.8345575626923,5.69803065521752
"GSM672550",8.246547955,13.24606989,8.805447212,8.508939033,8.574934572,8.985678439,7.533924535,12.82026617,8.341881784,9.057098141,8.955711524,11.4645171,13.37626729,11.99250855,11.60144089,11.50065985,11.30663699,10.79915911,10.8438829,15.1410658,7.218219331,0.179385401070907,0.917709825806279,4.7968058673412
"GSM672551",8.282275836,13.29824572,8.810766914,8.468365985,8.56395316,9.106116729,7.480921747,12.82483383,8.479078253,8.940002974,8.9752171,11.36371152,13.29628699,12.02735651,11.63374164,11.39101301,11.26426877,10.8438829,10.82305316,15.01087881,7.18144684,0.152140734407282,1.02729522782581,4.84832852028276
"GSM672552",8.543130112,14.20152714,9.071826022,8.923778439,8.847083271,9.430920818,7.358100372,12.85683234,7.539566543,7.729094424,8.460543123,12.50924944,12.79665613,10.87436729,10.91080595,11.05279405,9.917216729,9.913620818,10.31164684,15.98922119,7.127989963,0.418113388171393,0.206722254340351,4.46252807837189
"GSM672554",8.584775836,13.8509658,8.694099628,8.476170632,8.42054461,9.201721561,7.35901487,12.90509033,7.560884387,8.207724907,8.690523792,12.0179461,13.05331524,11.802529,11.7599316,11.70220223,10.76773309,9.938826022,10.06692714,15.65681413,7.139126022,0.443505770181053,0.142086678590091,4.43213902768003
"GSM672557",10.86867993,13.82056989,9.290828625,9.035304089,9.005653532,9.589195539,7.327780297,13.27106394,7.643193309,7.802626766,8.363724164,12.40349591,13.9974171,11.89014201,11.78835316,11.6362881,11.30663699,10.42834387,10.4224948,15.81157807,7.044994424,0.452153351044859,0.120222743049836,4.42185948367128
"GSM672558",8.316217472,13.54336506,8.641617844,8.364927881,8.361323792,8.692872119,7.774867658,12.32742639,9.092923048,10.10585762,9.918536803,11.40160372,12.42567472,12.17169294,11.70866914,11.49220149,11.63750186,11.31439294,11.35999851,14.97281599,7.549137175,0.0323365315357333,1.84751136116946,5.23396119029661
"GSM672559",8.607624907,13.55136803,8.56752974,8.464214126,8.377036059,8.968894424,7.854380669,11.8697881,9.140726766,9.450021561,9.307943123,11.62863903,12.03818364,11.92018364,11.26915056,11.31335911,11.3224881,11.39101301,11.49220149,15.1469052,7.284734201,0.0254396019472795,1.95249719297312,5.28332131013116
"GSM672560",8.416739033,13.59271896,8.720728996,8.479710781,8.493020818,8.895476208,7.968968773,12.1466684,9.281764126,10.05959888,9.853855762,11.58882602,12.22879703,12.26793327,11.88637695,11.59151078,11.64867435,11.20627621,11.31089517,14.94641301,7.617498513,0.012202553450023,2.25069113089103,5.42352011845312
"GSM672561",9.656692193,13.65160669,8.998344981,8.772980297,8.447001487,9.205351301,7.449311524,12.76159257,8.742515613,8.309239405,9.006797026,12.56473271,14.21067918,12.10151896,11.84372045,11.83214907,11.57396654,11.3404461,11.26048625,15.70693346,7.14393829,0.334077079740936,0.428682690007121,4.56688495696032
