"","bpr","capA","capB","capC","capE","levB","minJ","sacB","sacX","sacY","sipT","swrA","yueB","yueC","yueD","yukB","yukC","yukD","yukE","yveA","degU"
"bpr",1,-0.554711601705933,-0.33935709708046,-0.439473967887475,-0.591821125980182,-0.32581881692034,-0.631507276927857,-0.270999698782641,-0.565044564204762,-0.585883705745719,-0.472555037852667,-0.296417027547053,-0.420397041256891,-0.413773956890315,-0.599850780012616,-0.376259063253112,-0.375750858928831,-0.249057785620966,0.37353456645391,0.577831719779059,-0.307115196143193
"capA",-0.554711601705933,1,0.853153306968797,0.921505671093938,0.863393459920448,0.460431301959639,0.577268752282441,0.392514666318315,0.280340787936397,0.321100877762751,0.504702327094503,0.444403187140989,0.509716617137647,0.520883396209943,0.611087694232909,0.476984507594605,0.465350593195761,0.384820106401341,0.106526763270217,-0.448601479200123,0.423731155793362
"capB",-0.33935709708046,0.853153306968797,1,0.847387475521276,0.725985122845604,0.420399487313396,0.236370662042466,0.411546727979068,-0.0114196158182544,0.0397401486277,0.253596173750812,0.348053431932265,0.266435767165658,0.261165808015474,0.3232819109457,0.244982364484741,0.331185770752912,0.28966616378895,0.305641903748965,-0.0867742097934656,0.122115814771794
"capC",-0.439473967887475,0.921505671093938,0.847387475521276,1,0.723889370593239,0.390928876435565,0.54479679654403,0.425326638478772,0.17504420103832,0.209593558178026,0.454174778114408,0.394531378046359,0.486339294677543,0.484606117266506,0.513157823575707,0.454791771577131,0.475265338124536,0.404470539537809,0.214105235263661,-0.432182638276034,0.492700911650947
"capE",-0.591821125980182,0.863393459920448,0.725985122845604,0.723889370593239,1,0.352050638389696,0.536606831807432,0.206197077260347,0.23569536614111,0.278702716862472,0.614087701771116,0.45047762596546,0.379057182545346,0.394620637889656,0.678207835301667,0.33603150384104,0.37206208963421,0.29581481549235,0.094246399193861,-0.427324700795477,0.308723227056663
"levB",-0.32581881692034,0.460431301959639,0.420399487313396,0.390928876435565,0.352050638389696,1,0.144306674755002,0.775638346769383,0.517560182193876,0.494038216677825,0.174561268373021,0.108532649263903,0.49604417504708,0.480636476727356,0.458629034848412,0.506490030731143,0.47376551664826,0.480664574504774,-0.0354780911993472,-0.143910569417284,-0.00363131273753317
"minJ",-0.631507276927857,0.577268752282441,0.236370662042466,0.54479679654403,0.536606831807432,0.144306674755002,1,0.017226482462097,0.558486860772103,0.60940762230065,0.773945963994605,0.684694176411877,0.598834638943944,0.635779064467334,0.709773327256424,0.522157149413402,0.451538187603707,0.356525201947286,-0.0659387017472796,-0.852649005691273,0.794446449519703
"sacB",-0.270999698782641,0.392514666318315,0.411546727979068,0.425326638478772,0.206197077260347,0.775638346769383,0.017226482462097,1,0.42271147086153,0.404722715260014,0.0363283963063064,-0.0960183883616181,0.583221208878266,0.544488694542049,0.37295785773902,0.611297755122026,0.616106283086446,0.593032357134114,0.0978870650667413,-0.0605060019521593,0.0448762060856761
"sacX",-0.565044564204762,0.280340787936397,-0.0114196158182544,0.17504420103832,0.23569536614111,0.517560182193876,0.558486860772103,0.42271147086153,1,0.979161088639342,0.404946597969835,0.23287005572593,0.75039783571827,0.767483887953826,0.697702245208078,0.736635062614065,0.656120216275535,0.600847856086524,-0.331775958778667,-0.594382829320713,0.45657017226666
"sacY",-0.585883705745719,0.321100877762751,0.0397401486277,0.209593558178026,0.278702716862472,0.494038216677825,0.60940762230065,0.404722715260014,0.979161088639342,1,0.455657598846238,0.303099981030795,0.77328009937973,0.786949250918886,0.714606729404255,0.748350661687993,0.669108615007192,0.613580786233996,-0.26006195665773,-0.622416102903327,0.493900380547723
"sipT",-0.472555037852667,0.504702327094503,0.253596173750812,0.454174778114408,0.614087701771116,0.174561268373021,0.773945963994605,0.0363283963063064,0.404946597969835,0.455657598846238,1,0.522881348512267,0.421585516330551,0.46593608662699,0.757445288628923,0.352300537207697,0.442808118520533,0.386537749592027,0.00354442319548995,-0.766121859093545,0.698860776268337
"swrA",-0.296417027547053,0.444403187140989,0.348053431932265,0.394531378046359,0.45047762596546,0.108532649263903,0.684694176411877,-0.0960183883616181,0.23287005572593,0.303099981030795,0.522881348512267,1,0.360094015996047,0.394127211243888,0.353210521961651,0.310049158951045,0.270436553870973,0.25022749960777,0.340460395517469,-0.345056937769173,0.3288835023254
"yueB",-0.420397041256891,0.509716617137647,0.266435767165658,0.486339294677543,0.379057182545346,0.49604417504708,0.598834638943944,0.583221208878266,0.75039783571827,0.77328009937973,0.421585516330551,0.360094015996047,1,0.985301112781474,0.763574061022121,0.981526188028057,0.892181177304893,0.838058859078855,0.184852762937845,-0.527828632072954,0.585749564517679
"yueC",-0.413773956890315,0.520883396209943,0.261165808015474,0.484606117266506,0.394620637889656,0.480636476727356,0.635779064467334,0.544488694542049,0.767483887953826,0.786949250918886,0.46593608662699,0.394127211243888,0.985301112781474,1,0.788877874382779,0.96252533418664,0.867053971547343,0.811341872448487,0.152309473816801,-0.558012384731299,0.613112417557996
"yueD",-0.599850780012616,0.611087694232909,0.3232819109457,0.513157823575707,0.678207835301667,0.458629034848412,0.709773327256424,0.37295785773902,0.697702245208078,0.714606729404255,0.757445288628923,0.353210521961651,0.763574061022121,0.788877874382779,1,0.72093088077969,0.712398297323277,0.639868880733444,-0.0350897910182478,-0.711791367651809,0.597575429493396
"yukB",-0.376259063253112,0.476984507594605,0.244982364484741,0.454791771577131,0.33603150384104,0.506490030731143,0.522157149413402,0.611297755122026,0.736635062614065,0.748350661687993,0.352300537207697,0.310049158951045,0.981526188028057,0.96252533418664,0.72093088077969,1,0.913941814532778,0.87233005467008,0.204361625221138,-0.437055232933938,0.522043111809658
"yukC",-0.375750858928831,0.465350593195761,0.331185770752912,0.475265338124536,0.37206208963421,0.47376551664826,0.451538187603707,0.616106283086446,0.656120216275535,0.669108615007192,0.442808118520533,0.270436553870973,0.892181177304893,0.867053971547343,0.712398297323277,0.913941814532778,1,0.975084138009635,0.265764690439627,-0.413394043533736,0.513372638650692
"yukD",-0.249057785620966,0.384820106401341,0.28966616378895,0.404470539537809,0.29581481549235,0.480664574504774,0.356525201947286,0.593032357134114,0.600847856086524,0.613580786233996,0.386537749592027,0.25022749960777,0.838058859078855,0.811341872448487,0.639868880733444,0.87233005467008,0.975084138009635,1,0.356210053769294,-0.322139459496033,0.440083224326796
"yukE",0.37353456645391,0.106526763270217,0.305641903748965,0.214105235263661,0.094246399193861,-0.0354780911993472,-0.0659387017472796,0.0978870650667413,-0.331775958778667,-0.26006195665773,0.00354442319548995,0.340460395517469,0.184852762937845,0.152309473816801,-0.0350897910182478,0.204361625221138,0.265764690439627,0.356210053769294,1,0.317854012212167,-0.0185346444810956
"yveA",0.577831719779059,-0.448601479200123,-0.0867742097934656,-0.432182638276034,-0.427324700795477,-0.143910569417284,-0.852649005691273,-0.0605060019521593,-0.594382829320713,-0.622416102903327,-0.766121859093545,-0.345056937769173,-0.527828632072954,-0.558012384731299,-0.711791367651809,-0.437055232933938,-0.413394043533736,-0.322139459496033,0.317854012212167,1,-0.836075531253799
"degU",-0.307115196143193,0.423731155793362,0.122115814771794,0.492700911650947,0.308723227056663,-0.00363131273753317,0.794446449519703,0.0448762060856761,0.45657017226666,0.493900380547723,0.698860776268337,0.3288835023254,0.585749564517679,0.613112417557996,0.597575429493396,0.522043111809658,0.513372638650692,0.440083224326796,-0.0185346444810956,-0.836075531253799,1
