"","braB","codY","scoC","hag","pval","z","inv_cof_var"
"GSM672549",11.62612305,13.68668848,11.33044126,15.72398736,0.483398651662042,0.0416254265813026,4.71939700148631
"GSM672550",11.64738439,13.61280632,12.06073494,16.16694238,0.499022300046058,0.00245073280187435,4.35168640754746
"GSM672558",12.56166506,14.2572026,11.41517398,15.4277855,0.391846941717077,0.274508485595706,6.90533796711683
"GSM672559",11.24592528,13.74743383,11.72986729,15.58130781,0.498007709416726,0.0049939526650716,4.37555816750757
"GSM672560",12.12893922,14.28826431,11.30014833,15.44358327,0.434281214954098,0.165484778176834,5.88199436591015
"GSM672563",11.74086617,14.66993086,10.72404349,16.23596914,0.496929600077865,0.00769642724154207,4.40092476098278
"GSM672564",12.20240781,14.13102342,10.4428803,16.35571933,0.477342631886546,0.0568241654729458,4.8620589285057
"GSM672598",11.80120297,14.46059071,10.72997732,9.908577323,0.343489410233908,0.402958410156725,8.11102443189621
"GSM672599",12.03818364,14.58155874,10.8927461,10.05217361,0.353175098521112,0.376762384507851,7.86513722204536
"GSM672600",11.61139071,13.8509658,10.87208662,11.28091301,9.81631935130358e-07,4.75716942652689,48.9815294568864
"GSM672601",11.65836766,14.16922491,10.61090149,11.44062416,2.52906925603825e-14,7.53040963835316,75.0123597466498
"GSM672602",11.70353494,14.16637026,10.73348922,11.57750409,1.4446765654435e-41,13.4546933906799,130.620245528627
"GSM672603",12.0286052,14.24448885,10.65846506,10.57621078,0.238447984531793,0.711303845598922,11.0052878521332
"GSM672604",11.92156208,14.26317249,10.51167881,10.25985874,0.293074600685739,0.544424774314264,9.43888882005526
"GSM672605",11.83214907,14.42737379,10.52649517,10.56632751,0.191648614470844,0.871837142178834,12.5121227023231
"GSM672606",12.08414498,14.52939071,11.33772937,16.38425465,0.485015642495507,0.0375690500299354,4.68132209937371
"GSM672607",11.99124944,14.6741539,11.45005353,16.25512491,0.484889853225258,0.0378845814427344,4.68428381348078
"GSM672657",12.04601524,13.55989331,12.45414126,16.17336691,0.478507677013144,0.0538993506443306,4.83460535340319
"GSM672658",12.18972751,13.25572045,13.31340074,16.26861673,0.47431298755245,0.0644323460493536,4.93347259709229
"GSM672659",11.74211264,13.3702461,13.11192862,16.13048996,0.493094719281235,0.0173098362806918,4.49116036990589
"GSM672683",12.65458104,13.61633086,12.36989182,16.13048996,0.435380950128103,0.162690788265688,5.85576876998153
"GSM672684",12.8108052,13.60378104,12.53873903,16.20058401,0.427174710688603,0.183571756780705,6.05176655819417
"GSM672685",12.56166506,13.7522145,12.719671,16.18697584,0.445822002132869,0.136224251097017,5.60734242218178
"GSM672686",12.63150967,13.80104535,12.26996654,16.1452197,0.438095174202086,0.155800408775906,5.7910926923862
"GSM672687",12.80924201,13.62670483,12.25148216,16.05140074,0.417058306927887,0.209424826295216,6.29443463365761
"GSM672688",12.69711524,13.91054387,12.3463026,16.12363346,0.431534977544278,0.17246756950585,5.94753786093785
"GSM672689",11.80120297,13.27297993,13.06929071,16.32825874,0.49723658188599,0.00692691737357851,4.39370180903876
"GSM672690",11.84500446,13.39599981,13.1395539,16.19371115,0.490206054591629,0.0245522469927098,4.55914076458261
"GSM672691",11.96554164,13.53679182,12.99247212,16.29536729,0.487819729193744,0.0305361561398368,4.61530832007022
"GSM672695",11.47656617,13.86665948,13.58615465,15.53070669,0.483776504984448,0.0406774864229904,4.71049922577953
"GSM672698",11.29645688,13.69896357,13.68413234,14.9356,0.467379618340831,0.0818584989419226,5.09704199386344
"GSM672699",10.88583123,13.48916357,13.63642639,14.78045019,0.485922611599932,0.0352941059187951,4.65996849148095
"GSM672700",10.77706283,13.63389182,13.73114758,14.96705799,0.499323593165114,0.00169550130982782,4.3445974786061
"GSM672704",11.74586245,13.0917539,13.13574721,16.31574647,0.499432897901767,0.0014215146327775,4.34202572133043
"GSM672707",11.66956506,13.49133829,12.52980595,15.98063123,0.491222382922854,0.0220039986550253,4.53522180518935
"GSM672722",11.76177175,13.80104535,11.67439108,16.05834275,0.48938409795296,0.0266132614414002,4.57848633627518
"GSM672724",11.87752714,13.57313309,11.33414907,15.37522491,0.449944466760181,0.125801652678914,5.50951141228837
"GSM672726",12.10581004,13.94646394,11.94402528,16.39776617,0.48439180521926,0.0391339287621609,4.69601072696858
"GSM672737",11.78955725,13.80104535,11.58623978,15.94857249,0.483543889746173,0.0412610559143712,4.71597686104806
"GSM672738",11.70220223,13.43859219,11.7195487,16.02851524,0.491342313376231,0.0217033057942747,4.53239937214003
"GSM672739",11.52343123,13.56651933,11.63990818,15.94857249,0.497400924008333,0.00651496345599936,4.38983503166045
"GSM672749",11.98454572,14.09866691,10.33356431,15.99737658,0.474429085562062,0.0641407295265702,4.93073535847087
"GSM672750",12.00844572,14.27893866,10.3979829,15.86194312,0.466655230561217,0.0836805004796899,5.11414408715311
"GSM672751",12.15180074,14.39460335,10.46812714,15.96520669,0.462443171711269,0.0942804952572824,5.21364021588773
"GSM672755",12.02317361,14.22564647,10.65251152,16.0140948,0.472865232850444,0.0680693037758265,4.9676106529827
"GSM672756",11.8077974,14.10146097,10.69380223,16.03633346,0.486084046170457,0.0348892002284717,4.65616787180753
"GSM672757",11.94133643,14.31325613,10.66314126,15.98922119,0.476621107679264,0.0586357750047452,4.87906347793943
"GSM672812",11.67127007,13.49333755,13.21777212,16.22155539,0.499752809208057,0.000619615467959481,4.33449874945837
"GSM672813",11.81170372,13.36832156,13.12244907,16.05834275,0.486743870255168,0.0332343066050249,4.64063432556951
