"","cadA","czrA","czcD","czcO","pval","z","inv_cof_var"
"GSM672561",15.66552974,11.7195487,15.21679294,15.10096468,0.470474763657991,0.0740764834655821,51.4021433655896
"GSM672562",15.10605167,11.47656617,15.00514164,14.55173829,0.475925461251688,0.0603825925333761,50.4245620309374
"GSM672566",8.120082156,10.99780372,8.099323048,8.321933829,0.387478590494801,0.285896778774056,66.5235992044902
"GSM672569",8.452079554,10.84853383,8.43369145,8.464214126,8.54724464245094e-13,7.05634030167634,549.852935480992
"GSM672570",8.493020818,10.87328067,8.275239405,8.338381041,0.344471731786128,0.400289278865357,74.6898664449024
"GSM672571",8.366150929,10.75712379,8.398508922,8.403886803,1.5992722528302e-07,5.11135607919488,411.004139218195
"GSM672572",7.92102974,11.22378216,8.120572862,8.239889591,0.476954941528582,0.0577975583838287,50.2400212640694
"GSM672573",8.020653532,11.01321561,8.245420446,8.278822677,0.432393331453569,0.17028416624748,58.2702304128236
"GSM672574",8.217745725,11.01674572,8.143390706,8.227065428,0.031605091595382,1.85771017224312,178.73242594473
"GSM672575",7.87012342,10.58518067,8.017719703,7.881148327,0.24073592711781,0.70393724714164,96.3667285990928
"GSM672576",7.878071747,10.55341784,8.137154275,7.837495167,0.484385098117025,0.0391507538583857,48.9088606651406
"GSM672624",9.070645725,11.3353487,8.909420074,8.724292565,0.470708133509854,0.0734899175382109,51.3602695179753
"GSM672625",8.921110409,11.32135353,8.931406691,8.78030855,0.204093373968055,0.827088771609417,105.158286254231
"GSM672626",9.247679926,11.32028439,9.419314498,9.031537918,0.492169933849732,0.0196283255029555,47.5151909140206
"GSM672627",9.38253829,11.28675688,9.38057974,9.129148699,0.402177402755896,0.247715154688429,63.7978842694434
"GSM672634",9.194586989,10.85080967,9.02275948,8.875758736,0.441642145873968,0.146807085648622,56.5942454134403
"GSM672635",9.306008922,11.16154387,9.228067658,8.985678439,0.450955247371827,0.123248280395821,54.9124262434279
"GSM672636",8.604154275,11.49097026,8.792524907,8.67227658,0.264267880839592,0.630242767789639,91.1058171577732
"GSM672637",8.699295911,10.94953011,8.786026394,8.539452788,0.372379998250292,0.325556410172507,69.3548263251274
"GSM672638",8.923778439,11.05744312,8.931406691,8.735318587,0.318521742773628,0.47183651434567,79.797490150815
"GSM672640",8.845825279,10.73115465,8.611122677,8.747633457,0.347493750872428,0.392095703819885,74.1049424033587
"GSM672641",8.774426022,11.23069257,8.813281784,8.690523792,0.0951477406853985,1.30970550260256,139.611394603454
"GSM672643",9.258460595,11.08555204,9.131537546,9.040090706,0.300847583811063,0.521964328215485,83.3760212950057
"GSM672645",9.612678067,11.51009108,9.348395911,9.267866914,0.466223520386158,0.0847664823998808,52.1652824527459
"GSM672654",8.080995167,11.49468773,7.88627026,7.941649071,0.320357411977991,0.466699588855916,79.4307746204268
"GSM672657",8.617136803,10.85192937,8.377036059,8.392362082,0.406752745206484,0.235906157091546,62.9548619546888
"GSM672658",8.96372119,11.12754535,8.680669517,8.714569888,0.440255613143427,0.150321176625628,56.845109814537
"GSM672666",8.077768773,11.14584424,8.331278067,8.245420446,0.402498209260395,0.246886042475977,63.7386954948842
"GSM672667",8.076719703,11.37447026,8.267745353,8.236467658,0.317664350000527,0.474240101301867,79.9690777409473
"GSM672668",8.272876208,11.22608885,8.311623048,8.331278067,0.000539601054820948,3.26902121133551,279.483288941637
"GSM672669",8.329036803,11.35290967,8.419263569,8.323040892,0.063545351933147,1.52567548042162,155.029088537661
"GSM672670",8.404481041,11.20930781,8.299976952,8.180901859,0.347258021294809,0.392733882637851,74.1505007989748
"GSM672671",8.533185874,11.03815706,8.269560223,8.190704833,0.498119078158365,0.00471478933825093,46.450541380849
"GSM672672",8.359057249,11.19638364,8.207724907,8.089684015,0.418137526852813,0.206660441273369,60.8670648454573
"GSM672673",8.331278067,11.21184758,8.151339033,8.109748699,0.370972751498799,0.329278090299203,69.6205101284683
