"","cccA","abrB","ccpA","yobO","yvnA","pval","z","inv_cof_var"
"GSM672551",9.808316357,13.94112825,12.64667732,7.752213569,9.989074349,0.491983775092879,0.0200950483595661,7.39053128114439
"GSM672552",13.88738959,13.19966617,12.8811052,11.14807026,11.3258513,0.417873145516795,0.207337498198499,7.90735524537355
"GSM672555",14.66993086,11.8281881,12.39001859,12.72044796,11.85276729,0.265231352175147,0.627299846018129,9.0665293835769
"GSM672556",14.47455279,12.22879703,12.18563792,12.8679223,11.71712751,0.227110838663736,0.748395431517452,9.40077570753948
"GSM672557",14.48566134,12.30054126,12.26155651,13.16149219,11.61880967,0.258664034435294,0.647469591389075,9.12220162974262
"GSM672569",13.13379517,14.961471,12.87464238,10.66670855,11.3353487,0.252035705274679,0.668097416979228,9.17913826245652
"GSM672570",13.34118773,14.99403494,12.74603086,10.89157584,11.24592528,0.281337220678922,0.578873634732696,8.93286403947002
"GSM672571",13.00110632,14.8030119,12.4547881,10.99780372,11.23174721,0.10993922951825,1.22685137021514,10.7214030287449
"GSM672572",14.45389294,13.15065688,11.99907435,12.39750149,12.13914164,0.145770753406546,1.05474600149408,10.2463602219238
"GSM672573",14.18383309,13.03748513,12.08217398,12.59922416,12.02449777,0.0626091898175835,1.53323331035,11.5670741305967
"GSM672574",14.58543234,12.95488401,12.11117286,12.38124796,12.07855874,0.215205537413357,0.788488410767401,9.51143978233417
"GSM672575",13.9254487,13.12605204,11.4657,11.48984164,11.76055242,0.240197466764528,0.70566750488349,9.28283868820838
"GSM672576",13.72616989,12.11264312,11.67638104,11.284429,12.06917695,0.174955392616462,0.934762352634429,9.9151830497619
"GSM672577",13.68668848,11.07273717,12.22607175,12.00570595,11.39465613,0.132198322284922,1.11605955142526,10.415597016057
"GSM672578",13.91054387,11.74086617,12.01652491,11.16719814,12.39590892,0.262438862053109,0.635844585329447,9.09011445228316
"GSM672579",14.14266803,11.76055242,11.7195487,11.85025242,12.14178848,0.150806438533528,1.032980814618,10.1862842606599
"GSM672580",14.13102342,11.98993309,11.83474164,11.83214907,12.00570595,0.177602886095865,0.924538968736856,9.88696460998863
"GSM672581",13.91315353,11.61880967,11.84635353,11.25086022,12.04223755,0.264634245900741,0.629123064372315,9.07156180511526
"GSM672582",13.958529,11.37801599,11.97030483,11.44420669,12.31733383,0.181168497963714,0.910921007657473,9.84937650624495
"GSM672583",13.52354052,11.55308104,11.61880967,11.36371152,11.99779554,0.0877197548391181,1.35493110077006,11.0749268912009
"GSM672584",13.15146599,11.53634684,11.53395353,11.32477955,12.11942565,0.0150882470250687,2.16776601193633,13.3185023272956
"GSM672585",12.18972751,10.62021264,12.24615948,12.15595799,10.73234387,0.00744426345255983,2.43507928785002,14.0563366542211
"GSM672586",13.22730074,11.70220223,11.31089517,11.31439294,12.34492491,0.0230042515088092,1.99531529276925,12.8425062890534
"GSM672587",13.06224758,11.54940074,11.57506468,11.44763792,12.09641227,0.00268772319371624,2.78362910779286,15.0183989420686
"GSM672588",12.30886543,10.49189926,12.55874387,12.04992751,10.38173197,0.0879064426424083,1.35376023082142,11.0716950725136
"GSM672589",13.3222448,11.68483494,11.51852045,11.11701859,11.9083223,0.101741081282941,1.27169315791634,10.845174697524
"GSM672590",13.87933941,11.00480892,11.95618216,11.26665725,12.09369554,0.238716090206457,0.710438621354739,9.2960078564744
"GSM672591",13.66987732,10.92505576,11.80120297,11.00848364,11.89799851,0.273329797663612,0.602773173509589,8.99883120869125
"GSM672592",14.05925799,11.0609684,12.11744535,10.87889517,12.09093494,0.448856464901279,0.128551013923292,7.689889904764
"GSM672593",14.05925799,11.15301375,11.89151413,11.05639108,12.00036022,0.396820691708829,0.261585034103873,8.05708852743858
"GSM672594",13.96540669,11.01674572,11.83742714,11.38870186,12.11942565,0.226515859318065,0.750370291209256,9.40622668735518
