"","cgeA","gerE","gerR","cgeB","cotG","cotY","cotZ","spoIIID","pval","z","inv_cof_var"
"GSM672549",7.506534758,10.6382342,9.07303197,7.451171004,7.152958364,7.095104089,7.114518587,7.131196654,0.417561494192966,0.20813573142635,36.6590180691989
"GSM672551",7.34809145,11.00960112,8.818431227,7.264803346,7.232614498,7.019252045,7.144603717,7.150183271,0.183284856258124,0.902917442609939,57.4245185950555
"GSM672552",7.214778439,11.50542677,8.217745725,7.350514126,7.689591822,7.552445725,7.457263941,7.16059777,0.363765812000725,0.348410891646343,40.8515347495108
"GSM672553",7.387064312,11.1649145,8.191898141,7.43247658,7.83154052,7.431591822,7.268254275,7.137790335,0.438020557089696,0.155989732815221,35.1004886143345
"GSM672554",7.202439033,10.51776357,8.381562454,7.360777323,7.386197398,7.391147398,7.295992007,7.122063197,0.0193164943439947,2.06807481321311,92.2485152583363
"GSM672558",7.478656877,9.64251487,9.446366171,7.4853671,7.230496283,6.991094796,7.085886989,7.12129461,0.475346666413647,0.0618361276419153,32.2864439924533
"GSM672559",7.411239405,9.224525279,9.57370223,7.505216357,7.722443123,7.305377323,7.212406691,7.179195167,0.402405193226184,0.247126421384514,37.8243642200791
"GSM672560",7.247768401,9.636028996,9.472736431,7.367472119,7.132457993,7.143272862,7.232099628,7.174947026,0.0635413845693124,1.52570732628562,76.0383413955065
"GSM672561",7.366461338,10.57392825,9.654058736,7.501154089,7.615062082,7.45293829,7.424902416,7.388077695,0.0491805270729026,1.65285167539725,79.8384069496784
"GSM672562",7.433513383,10.495429,9.576361338,7.55573197,7.353526766,7.576928996,7.620645725,7.077814498,0.105962068723696,1.24829201468788,67.7470065688457
"GSM672593",16.06489257,15.99737658,14.8536461,15.70693346,15.73282862,16.45782045,16.4191316,15.85358848,0.316739982355145,0.476834516708745,44.6898350542537
"GSM672594",15.97278996,16.20058401,15.0717881,15.49114684,15.90234647,16.43796617,16.34839145,16.11630929,0.347205327221148,0.392876560517564,42.1805160042922
"GSM672595",15.93357807,16.15247212,15.15962193,15.31526691,16.09371152,16.45100446,16.43796617,16.18697584,0.446277736972987,0.135071334826472,34.4752836075771
"GSM672596",16.22155539,16.18697584,14.84428699,16.00569294,15.92557398,16.44384015,16.45100446,15.93357807,0.11188177278466,1.21658134096792,66.7992441260415
"GSM672597",16.18697584,16.26199628,14.2572026,16.03633346,16.00569294,16.45782045,16.3698197,15.90234647,0.0446707580543098,1.69888148566453,81.2141369580026
