"","cgeC","gerE","cgeD","cgeE","cotQ","cotS","cotSA","cwlH","ftsY","spoVIF","gerR","spsA","spsB","spsC","spsD","spsE","spsF","spsG","spsI","spsJ","spsK","spsL","sscA","sspG","yeeK","yfnD","yfnE","yfnF","yfnG","yfnH","yjzB","ykzQ","ylbD","ylbE","ymaG","yodU","yppG","ytxO","yurS","yxeE","spoIIID","pval","z","inv_cof_var"
"GSM672552",7.093293309,11.50542677,8.870406691,10.32859814,8.047924535,7.733788104,7.540397398,6.978382528,11.8281881,7.321295167,8.217745725,7.460531413,7.547783829,7.528486617,7.706005204,7.72153197,7.658371375,7.761926022,8.770366914,8.439837918,8.425394052,8.158015613,7.189788476,7.226811896,9.557981784,8.135997026,7.679235688,7.554362082,7.489437175,7.350514126,8.625594052,9.267866914,7.417417844,7.234244238,7.064322677,8.216581041,7.380567286,8.015626766,7.478656877,7.246217844,7.16059777,0.392898335785949,0.271772863946518,8.17347603355571
"GSM672571",7.763843123,10.62500372,8.521008922,10.16372974,8.054964684,7.711727881,7.656668401,7.573260223,11.36494387,10.46812714,8.021720446,7.954822677,7.826556877,7.814337918,7.878071747,7.885181041,7.868198885,8.008369145,8.503986617,8.443499628,8.48225948,8.466633086,9.646335316,10.28171859,10.05097732,8.15352119,7.849694796,7.748886989,7.80720632,7.88012342,8.421766914,9.586639777,7.962027881,7.575073978,7.430273792,8.546823048,7.953687361,7.881148327,9.814483271,7.587933086,7.340056877,0.252683022913217,0.666070489753786,8.57145877693952
"GSM672585",12.32441041,15.96520669,11.53991375,12.54013457,12.2190777,13.79624275,13.74295651,10.45853197,11.752071,15.74199963,14.68655279,14.21067918,14.08764126,14.17215799,14.22564647,14.32280074,14.35627175,14.46059071,14.43977026,14.48566134,14.6281855,14.56330743,16.25512491,13.46987881,16.26861673,13.41777658,13.53887881,11.78707844,11.89799851,11.8077974,13.6106,13.05512156,14.96705799,14.6741539,15.38340149,11.92279405,15.33721524,13.8485,13.21777212,16.02851524,16.0140948,0.0387608662254091,1.7652501562899,9.68091140999589
"GSM672588",12.50487918,16.17336691,11.49220149,12.41414164,12.04472491,13.7935658,13.71644461,10.54287175,11.72602565,16.10869665,14.55602639,14.07336952,14.07067323,14.19217844,14.22263903,14.3837368,14.35976208,14.46059071,14.45026283,14.5973803,14.63204387,14.55173829,16.37624089,13.07116617,16.16017398,13.48348773,13.5084171,11.77082305,11.88133755,11.79360967,13.44091413,12.74756208,14.8169052,14.81200037,15.190129,11.70866914,15.29518476,14.21655688,12.96858699,16.13048996,15.91765762,0.0677415546891106,1.49282458762992,9.40593974370391
"GSM672590",13.83099145,16.19371115,12.12079071,12.09768922,13.78374796,14.961471,14.96705799,9.548863197,10.60519108,16.35571933,14.55602639,14.32280074,13.88738959,14.07336952,14.22263903,14.45898476,14.50030743,14.70664796,14.66175056,14.71898885,14.95582342,14.72338401,16.4191316,14.86847249,16.4320948,13.76919963,13.75962305,12.16032193,12.39295911,12.07438996,14.2410829,12.04223755,14.94641301,13.89516245,14.92148885,12.67092974,14.90736059,15.79347546,14.68241227,16.26861673,16.07966952,0.123576761273838,1.1572909186578,9.06727016687914
"GSM672591",13.7405171,16.13797361,11.98183086,12.11672937,13.78840558,14.95131636,14.90230818,9.542331227,10.64919294,16.04441561,14.52588253,14.30992379,14.02859517,14.10461152,14.22564647,14.39110335,14.41200297,14.50400372,14.5931777,14.76273346,15.12831859,14.8074855,16.24893309,14.27893866,16.31574647,13.56877881,13.55558736,11.76822193,11.85151487,11.71235911,13.84114201,11.78955725,14.78927807,13.98436729,15.87744201,12.1574803,14.57775836,15.49940186,13.79624275,16.09371152,16.11630929,0.195277644190974,0.858610780498426,8.76579855508448
"GSM672592",13.33142937,16.02135874,11.7049197,11.98584164,13.30781115,14.5149171,14.5076632,9.528605204,10.47985502,16.1452197,14.48155167,14.06186803,13.87665688,13.92068736,13.99217212,14.17215799,14.21381301,14.34210483,14.3392342,14.50030743,14.77223197,14.56330743,16.26861673,13.86138401,16.340529,13.25369033,13.32523234,11.42249628,11.67314796,11.31671078,13.56651933,11.55055688,14.74027026,13.66069851,15.21045093,11.86062565,14.54790446,15.26197249,13.66527955,16.16017398,16.18018922,0.276340960344305,0.593746135497701,8.49845847707373
"GSM672593",14.65737807,15.99737658,12.38714758,12.40656468,14.02572788,15.44358327,15.43592342,10.46088141,10.41267844,16.19371115,14.8536461,14.60915242,14.18383309,14.21655688,14.20445688,14.60165465,14.56330743,14.69494015,14.71080558,14.74947249,14.94641301,14.91167472,16.28856134,16.20750632,16.41206468,13.87415316,13.9254487,13.18693197,13.48023494,13.18522751,15.24909405,13.06405353,15.13492268,14.28826431,15.16584238,13.35045167,15.04970037,15.96520669,16.13048996,16.16017398,15.85358848,0.0136139805263449,2.20823406284504,10.1280354575849
"GSM672594",14.6242052,16.20058401,12.51292732,12.58011896,14.08497249,15.41281338,15.45858439,10.03785874,10.25863271,16.24241784,15.0717881,14.5076632,14.3002197,14.21067918,14.27227695,14.57414535,14.60165465,14.63629591,14.77223197,14.89745725,14.83115242,14.69906245,16.38425465,15.82913494,16.28248513,13.85627844,13.91563829,13.15597175,13.33719963,13.03570706,15.08293978,13.02110836,15.03266691,14.13691599,15.28264684,13.17256729,15.04395688,15.84610186,15.70296413,15.92557398,16.11630929,0.0173010373361135,2.11298473237841,10.0318959239852
"GSM672595",13.89762082,16.15247212,12.00166803,12.17600892,13.53679182,15.11127918,15.11720743,10.0693658,10.28889442,16.26861673,15.15962193,14.24448885,14.09040223,14.06780892,14.08764126,14.30992379,14.31970743,14.47455279,14.53674944,14.75811599,14.84428699,14.63629591,16.22890372,15.46632379,16.30243048,13.65160669,13.61280632,12.74146729,12.95834721,12.72266468,14.4894368,12.5327658,15.01592007,14.27227695,15.06617509,12.64499628,14.9356,15.6989948,15.4277855,16.24241784,16.18697584,0.048456105462761,1.66001114280538,9.57468882949765
"GSM672596",14.85846468,16.18697584,12.66638996,12.89221561,14.15506134,15.60525576,15.64881152,11.17657509,10.32496394,16.33439926,14.84428699,14.72338401,14.50030743,14.55602639,14.54982138,14.82197844,14.87743532,14.94641301,14.86847249,15.22980632,15.28264684,15.06617509,16.39080818,16.24241784,16.34839145,14.58155874,14.5076632,14.3002197,14.50400372,14.177971,15.50683643,13.60056599,15.25573643,14.06056301,15.23706097,14.12469963,15.190129,16.17336691,16.30243048,16.16694238,15.93357807,0.000447594372051747,3.32155020932419,11.2517566905549
