"","cgeC","cgeD","cgeE","cotQ","cotS","cotSA","cwlH","ftsY","spoVIF","spsA","spsB","spsC","spsD","spsE","spsF","spsG","spsI","spsJ","spsK","spsL","sscA","sspG","yeeK","yfnD","yfnE","yfnF","yfnG","yfnH","yjzB","ykzQ","ylbD","ylbE","ymaG","yodU","yppG","ytxO","yurS","yxeE","gerE","gerR","spoIIID"
"cgeC",1,0.885546924573629,0.678498932510814,0.936540278956291,0.955507957863779,0.95785821936733,0.928056795419747,-0.565568567551583,0.973175303097453,0.973310244362437,0.968774285533897,0.962646062588226,0.962776584820834,0.966036923354898,0.96378035961016,0.967545780587562,0.954233230611606,0.951961587359511,0.950364620675354,0.955455208598243,0.978887050961809,0.97668223403954,0.948037847230285,0.971001542656634,0.982861628697185,0.978855990673465,0.981308829675909,0.980588822500826,0.914546939064751,0.897736120343077,0.887820001360851,0.872687768608902,0.961854003006993,0.968031751405703,0.889884346468631,0.945647832601792,0.982199593499025,0.953037690292491,0.929154940331441,0.826379359737617,0.836034697095163
"cgeD",0.885546924573629,1,0.882226498115636,0.907498848879604,0.91110159735576,0.906216393802527,0.879896043483459,-0.54748498949598,0.828936873809285,0.903021652440236,0.905945799642409,0.914944112728316,0.909646244256325,0.905570595913541,0.904842167308076,0.902139474743261,0.90270570989978,0.893535187781006,0.887515088517823,0.885958449775002,0.848420996531776,0.850429548020712,0.858006402929792,0.899940983323507,0.911951112402548,0.904285021248664,0.908881512224551,0.901938546635214,0.895853879627086,0.864923239226457,0.851731943529637,0.851223088547884,0.849521365327016,0.908621150396248,0.859543996331934,0.908466654369654,0.85703587587236,0.827996695302601,0.878724506831647,0.749947693609617,0.72196043520487
"cgeE",0.678498932510814,0.882226498115636,1,0.685364646394243,0.7098619333049,0.707699555301793,0.67847481806173,-0.41433253214086,0.645152359964502,0.702333188924029,0.706705027901037,0.721224020124164,0.70871503216361,0.701219531669598,0.696842824878907,0.694638783635128,0.69711720739544,0.676286361772444,0.667686445302003,0.671541823407437,0.654849819913346,0.680371820475836,0.648474732686768,0.703865481053224,0.707512313518337,0.700898841663008,0.708349739058078,0.700334628236126,0.716181086052259,0.66700326127189,0.665978433268333,0.674715958915365,0.658280060702211,0.706345890238428,0.676360186117732,0.716805682380625,0.678411919684234,0.637232882282766,0.673448181058954,0.520580940416911,0.502110780890157
"cotQ",0.936540278956291,0.907498848879604,0.685364646394243,1,0.977907094911177,0.97248914199086,0.909832530009384,-0.580026188946607,0.893555115095724,0.969622061116055,0.973441126754939,0.977186964713446,0.977778807413919,0.978045293597901,0.978803835766724,0.977352298650205,0.978477484671743,0.978122058552234,0.978226534054444,0.977039716418605,0.920555619996151,0.879492140676341,0.941252560790462,0.970422250972974,0.969311721934769,0.951112160842308,0.953608574588703,0.946893005838782,0.965479299767507,0.932956191635192,0.948137440437716,0.939991544398226,0.929463043633856,0.933030223465558,0.950723415101572,0.975332390324023,0.895418612956004,0.912746149363335,0.933745263285765,0.840390048693539,0.828048534030334
"cotS",0.955507957863779,0.91110159735576,0.7098619333049,0.977907094911177,1,0.998784946233512,0.8842262064331,-0.595092998363171,0.925357221716973,0.983524326584287,0.984074804093752,0.986938065354913,0.985339966954348,0.988042676237938,0.987839532763171,0.987297632868452,0.986364277464345,0.983798616780237,0.982886919742625,0.981442266328455,0.951853143767363,0.909389922259932,0.96679766883631,0.977593272496415,0.9822511993102,0.956747737180506,0.961671999535733,0.955658322656521,0.977148433753625,0.927481674362316,0.972439330107052,0.964549785157979,0.962529317510793,0.940996272870851,0.968562086696835,0.994586029991409,0.920348940968089,0.944835045310065,0.967712773931641,0.845277905591691,0.825898894751129
"cotSA",0.95785821936733,0.906216393802527,0.707699555301793,0.97248914199086,0.998784946233512,1,0.877327888945976,-0.590326970964226,0.932890910750095,0.984725205477397,0.983768874796492,0.985908325751439,0.984054539515777,0.986835612724614,0.986517727425076,0.986368790043887,0.984719345424629,0.982290202068841,0.981579301039928,0.980310165896365,0.957466958466174,0.914303660415545,0.970495394760131,0.977006564818464,0.981677572759428,0.954326912401637,0.960120198694247,0.954233740202987,0.974380813879739,0.919559049504627,0.972263800610112,0.963022307800442,0.967681682237957,0.936697963365905,0.967791955200643,0.994430409061444,0.923758826550025,0.95144556030785,0.966108465322244,0.848020387349161,0.828967356247688
"cwlH",0.928056795419747,0.879896043483459,0.67847481806173,0.909832530009384,0.8842262064331,0.877327888945976,1,-0.503707857255194,0.873368258704607,0.914828045760119,0.920392759564801,0.9210232041808,0.920905863554398,0.918579653904925,0.916381686583082,0.917985587263604,0.908945696009098,0.906251231109374,0.901410671131264,0.907143645975893,0.885981999608682,0.893378422936287,0.866753303600711,0.932536878237014,0.939024762739105,0.958338956595905,0.954768711209844,0.956990391591033,0.873646199939393,0.907473502883732,0.806984992053739,0.806091111871941,0.864836468922234,0.948666502882074,0.820105768687016,0.873949769868088,0.907241207832378,0.854051752632456,0.863414349127429,0.769292407140403,0.779864219991802
"ftsY",-0.565568567551583,-0.54748498949598,-0.41433253214086,-0.580026188946607,-0.595092998363171,-0.590326970964226,-0.503707857255194,1,-0.530221219143994,-0.574528456428962,-0.582428185218324,-0.569922503112487,-0.573079950904285,-0.575089916270197,-0.576131740939206,-0.57382025886764,-0.541748585658261,-0.592428554900885,-0.60130519652428,-0.606355220517179,-0.557862867664136,-0.538180841857327,-0.575469999480216,-0.537561044889221,-0.568737690036801,-0.570618611551229,-0.566314663048741,-0.560607617630246,-0.594851055683493,-0.593363326549505,-0.580927683485807,-0.580645465482911,-0.548753586171687,-0.649153832229931,-0.595370754832402,-0.594068265091723,-0.549606575426037,-0.539656329736878,-0.554084203870828,-0.661411010332945,-0.651336107150809
"spoVIF",0.973175303097453,0.828936873809285,0.645152359964502,0.893555115095724,0.925357221716973,0.932890910750095,0.873368258704607,-0.530221219143994,1,0.963984875918081,0.955322386343184,0.943135927158212,0.944735308919388,0.946090761426256,0.944066689551041,0.947140255926038,0.930541896402696,0.928601141457151,0.92885006879799,0.937284009618791,0.99195024891344,0.971787943306189,0.951159155283497,0.938939854828317,0.954313554669337,0.931495703840086,0.937015618736023,0.937185674629761,0.881424797359162,0.846502386353047,0.882517461341695,0.866907871114903,0.973611611902627,0.916852534427283,0.890512553730439,0.916093526330314,0.970944520123756,0.974997408930805,0.909249379653941,0.821320333838728,0.852001396958265
"spsA",0.973310244362437,0.903021652440236,0.702333188924029,0.969622061116055,0.983524326584287,0.984725205477397,0.914828045760119,-0.574528456428962,0.963984875918081,1,0.998144841360658,0.995293936966697,0.995988429863753,0.994786700135917,0.994347165098196,0.994710034139991,0.986875558299257,0.985027864396081,0.983748051676748,0.98571881876391,0.977550036940851,0.93917269410807,0.981079689821621,0.982195484304222,0.990504096136558,0.965377383495382,0.969792937794659,0.966213339426878,0.954956317549496,0.916747111433417,0.951775605685158,0.944025754529737,0.979651204853839,0.95068372837511,0.956520251910634,0.97631080487633,0.947208154236358,0.971449785554528,0.957755901913622,0.858720511271218,0.863867427838276
"spsB",0.968774285533897,0.905945799642409,0.706705027901037,0.973441126754939,0.984074804093752,0.983768874796492,0.920392759564801,-0.582428185218324,0.955322386343184,0.998144841360658,1,0.9973638104864,0.99820951497795,0.997042442157867,0.996876535885521,0.996102088177,0.989611491353663,0.988239448068639,0.986201604856754,0.987773515790574,0.971483996178402,0.93150881441245,0.97656749568098,0.983471645820462,0.990706540021777,0.967737193826014,0.971350177725933,0.96666369567353,0.958050419479475,0.9231998806474,0.952102245781677,0.946061189574919,0.974608492381196,0.954004283744635,0.959692436180122,0.975646850272113,0.941063088077017,0.964248157349654,0.958837798139599,0.857424630772157,0.861960904151004
"spsC",0.962646062588226,0.914944112728316,0.721224020124164,0.977186964713446,0.986938065354913,0.985908325751439,0.9210232041808,-0.569922503112487,0.943135927158212,0.995293936966697,0.9973638104864,1,0.998795506972503,0.997901297678329,0.997177583465897,0.997134696442464,0.992978526368599,0.990417916460618,0.988007217100734,0.98837483849528,0.961241637444769,0.923349097058629,0.970315421989375,0.984727413580343,0.991124344665036,0.967969768728084,0.97195366345926,0.967490436822375,0.962757814005812,0.926097562487007,0.956892663463072,0.951893218377522,0.965997149639706,0.950889424991968,0.962144939953092,0.981211512746198,0.932659697990223,0.954604922821505,0.958596035728944,0.850298301792779,0.846543140411782
"spsD",0.962776584820834,0.909646244256325,0.70871503216361,0.977778807413919,0.985339966954348,0.984054539515777,0.920905863554398,-0.573079950904285,0.944735308919388,0.995988429863753,0.99820951497795,0.998795506972503,1,0.99817052056601,0.99818209843086,0.997455913796704,0.993557054884733,0.991111065243897,0.98846463007967,0.988714497357265,0.962385194902575,0.922196021426167,0.971561768391224,0.98428452823513,0.99090665469115,0.967480542064915,0.970872930753875,0.966642445623942,0.958665584236557,0.925734124379885,0.954646730649588,0.948941903539128,0.967530621810714,0.951050902114156,0.961546346243044,0.97770477529083,0.932363316435791,0.956722931852841,0.959501159410984,0.850714195033935,0.852168907531863
"spsE",0.966036923354898,0.905570595913541,0.701219531669598,0.978045293597901,0.988042676237938,0.986835612724614,0.918579653904925,-0.575089916270197,0.946090761426256,0.994786700135917,0.997042442157867,0.997901297678329,0.99817052056601,1,0.999396269442046,0.998919227513601,0.995501144729624,0.993244987603216,0.99094156611779,0.990497007331648,0.964320332875796,0.927244588595848,0.969253864121275,0.986823616605688,0.992771019583265,0.971606517887139,0.974773239536372,0.969906762559665,0.962434787662768,0.932670053871505,0.957623944508557,0.949942151348075,0.968008496971198,0.952162084624215,0.962021298380879,0.980122741271005,0.937547782089458,0.955296377835129,0.962679177086325,0.849650911426576,0.848152064138857
"spsF",0.96378035961016,0.904842167308076,0.696842824878907,0.978803835766724,0.987839532763171,0.986517727425076,0.916381686583082,-0.576131740939206,0.944066689551041,0.994347165098196,0.996876535885521,0.997177583465897,0.99818209843086,0.999396269442046,1,0.998519353001306,0.995574903786098,0.993608138388328,0.991151426963576,0.990353363801144,0.963032135568599,0.923813220238596,0.968714647523536,0.985480549909663,0.991388580169117,0.969210202808199,0.972355098150537,0.967257294988182,0.961843096695475,0.931792668492867,0.95833343631967,0.950663234170327,0.966773658057751,0.950638492348839,0.963715571073249,0.979192494150302,0.934573002133636,0.954436768816892,0.963100408215146,0.851655985265599,0.850838940104605
