"","cggR","eno","gapA","pgk","pgm","tpi","pval","z","inv_cof_var"
"GSM672549",14.15158996,15.31526691,16.06489257,15.48368625,15.90234647,15.62225242,0.403292068397478,0.244835071840173,22.6751409423388
"GSM672550",15.11720743,15.29518476,16.27558253,15.50683643,15.49940186,15.52257435,0.0150645248989034,2.16838968572594,39.2664328849318
"GSM672551",14.91633309,15.32246357,16.30918699,15.68112788,15.74199963,15.76791375,0.0695354348067916,1.47925988571304,33.3224614396616
"GSM672555",14.87743532,16.05834275,16.45100446,16.10096283,16.30243048,16.15247212,0.183498287282259,0.902113506872219,28.34438387647
"GSM672556",14.84428699,16.19371115,16.45100446,16.08663829,16.35571933,16.23596914,0.227678829644321,0.746512871215794,27.0022771569661
"GSM672557",15.15316729,16.18018922,16.45100446,16.20750632,16.4191316,16.41206468,0.0822401117981438,1.39016024145886,32.5539476687861
"GSM672558",15.20407138,15.63036543,16.15632305,16.05487175,16.13797361,16.18697584,0.0117496950542449,2.2652166138842,40.1015970239593
"GSM672559",14.98879926,15.97278996,16.30918699,16.27558253,16.18018922,16.39776617,0.125544852869719,1.14770659978667,30.4627051729975
"GSM672560",15.08894944,15.79347546,16.31574647,16.23596914,16.19371115,16.3698197,0.0809554668503692,1.3986734356358,32.6273767718301
"GSM672561",15.50683643,16.3698197,16.4320948,16.44384015,16.4191316,16.45100446,0.00410239660714862,2.64352406839441,43.364623390109
"GSM672562",15.33721524,16.32106729,16.4191316,16.42565242,16.39080818,16.45782045,0.027706379557535,1.91562567474509,37.0862600588053
"GSM672563",15.32246357,15.63036543,16.39776617,15.71599665,16.00569294,15.93357807,0.00446181314333529,2.61496628763132,43.1183031273763
"GSM672564",14.84428699,15.26837881,16.30243048,15.45858439,15.61343941,15.63961115,0.0879199905791168,1.3536753329762,32.2392533191873
"GSM672565",15.24909405,16.17336691,16.45782045,16.3629342,16.28248513,16.35571933,0.0377959770021838,1.77685588656843,35.8893249409613
"GSM672568",13.24083643,14.57775836,14.94366617,14.93051896,14.961471,14.97813903,0.465494920544674,0.0865995280055642,21.3103072721621
"GSM672584",12.75695279,12.74905093,14.41536729,12.92150372,13.03394164,12.96154498,0.494226634631413,0.0144721860426352,20.6881851972745
"GSM672587",12.78678773,12.86331896,14.33275836,13.13193197,13.17595502,13.13379517,0.360875329553701,0.356120054549918,23.6350105626944
"GSM672589",12.63599665,12.78829182,14.18383309,12.83902974,12.95488401,12.76159257,0.405981477701894,0.237894456209566,22.6152758470836
"GSM672590",12.90673086,13.18357249,14.40126208,13.12800297,13.14508736,13.00624349,0.340572074717423,0.410902336040252,24.1075257795362
"GSM672591",12.95315316,12.99247212,14.16357621,13.06405353,13.17062045,13.1376223,0.163696734511242,0.979377542871872,29.010811628861
"GSM672592",12.719671,13.06752156,14.21067918,13.15417807,13.17159387,13.14873532,0.250958606710239,0.671476204396844,26.3550611971981
"GSM672593",12.51800186,12.80614647,13.97082379,12.96701115,12.79503234,12.87134275,0.273478105670326,0.602327421303188,25.7586301733529
"GSM672594",12.41017472,12.77884796,14.17513717,12.9397052,12.75551227,12.96003271,0.460465146858027,0.0992619436461374,21.4195247766065
