"","cheA","swrA","codY","degU","spo0A","cheB","cheC","cheD","cheW","cheY","flgB","flgC","flgD","flgE","flhA","flhB","flhF","flhG","fliE","fliF","fliG","fliH","fliI","fliJ","fliK","fliL","fliM","fliP","fliQ","fliR","fliY","fliZ","swrB","swrD","ylxF","pval","z","inv_cof_var"
"GSM672549",12.00980706,12.32441041,13.68668848,13.2291658,12.41567323,12.05938885,11.62253309,11.86062565,11.97832528,13.17256729,12.59205613,12.52980595,13.25572045,13.12800297,11.90309033,12.16733941,11.99392119,11.9427,12.97704498,12.93810186,12.83584424,13.11002677,12.83257361,13.70401115,13.31340074,13.51044907,13.07957993,12.51368253,12.0542368,12.17530483,12.96003271,12.9331223,12.24736022,13.34303457,12.89381004,0.374242408336044,0.320637894880944,21.980553934101
"GSM672550",12.18706394,13.37626729,13.61280632,13.24606989,12.83418104,12.17169294,11.83996506,12.03685651,12.06917695,13.52142082,13.24435279,12.92992751,13.42404535,13.20505651,12.00980706,12.23849145,12.14299442,12.19468309,13.24257695,13.18693197,12.80000632,13.32734535,12.85326877,13.71904721,13.32130186,13.68882788,13.32523234,12.97032825,12.31318253,12.32742639,13.21581859,12.97704498,12.36217918,13.53224944,12.96154498,0.367133988537684,0.339453691430114,22.1103630043695
"GSM672551",12.42726766,13.29628699,13.59499257,13.29824572,12.58602528,12.39590892,12.01111041,12.04352379,12.39295911,13.63154052,12.97208327,12.94628513,13.56651933,13.40275985,12.17169294,12.37568327,12.32020335,12.06073494,13.47410706,13.36438513,13.25572045,13.61520669,13.01151115,14.08497249,13.51702342,13.99217212,13.45520892,13.1395539,12.26289851,12.47473234,13.29238922,13.28163141,12.87947621,13.81311004,13.10802045,0.424172613761861,0.191230221050007,21.0877780273408
"GSM672553",13.34708364,13.86138401,13.10414349,13.91831896,13.49133829,13.29824572,13.00807138,13.08045892,13.34864684,14.50030743,14.22852825,13.94912751,14.26004424,14.31640743,13.13193197,13.36438513,13.40275985,13.30005502,14.53294684,14.40846283,14.10146097,14.20445688,13.82567398,14.78927807,14.24770112,14.70303309,14.36337323,14.00590855,13.4345881,13.42184944,14.1456342,14.11600446,13.59032751,14.41869665,14.09313569,0.163230300476142,0.981267995398136,26.5382020206652
"GSM672554",13.46775725,13.05331524,13.46569219,13.8509658,13.25369033,13.46987881,13.11699257,13.23891599,13.50399368,14.5706171,14.3002197,14.03459963,14.29121375,14.30992379,13.33719963,13.62670483,13.52997026,13.31923978,14.51143346,14.26317249,14.08497249,14.36693011,13.91054387,14.8357223,14.56695242,14.90230818,14.45389294,14.09313569,13.58615465,13.62914721,14.27893866,14.29703011,13.7405171,14.70664796,14.05076654,0.12091468972548,1.17042649269218,27.8431953332233
"GSM672556",13.57750632,14.15794052,14.69906245,13.79624275,13.20139963,13.49777063,13.28644796,13.44091413,13.61280632,14.53294684,13.94912751,14.21381301,14.98346506,14.75366506,13.2786855,13.50622305,13.54124015,13.28255242,14.9261052,14.78927807,14.72779442,15.10605167,14.58946431,15.71599665,15.10096468,15.0717881,14.37716803,14.12176357,13.59499257,13.5084171,14.21067918,14.29400892,14.11600446,14.90736059,14.47120892,0.42942937606133,0.177827114892318,20.9953107887367
"GSM672557",13.71644461,13.9974171,14.69906245,13.82056989,13.24969777,13.38265911,13.37430892,13.58822193,13.66754238,14.70664796,13.7497,14.0958948,14.87743532,14.8169052,13.4345881,13.56426171,13.6081974,13.54736245,14.76273346,14.79863755,14.89277844,15.21045093,14.60915242,15.65681413,15.10605167,15.19678141,14.58543234,14.06186803,13.59271896,13.62222788,14.37716803,14.30353717,14.09866691,15.04970037,14.55987026,0.398780742708797,0.256504267809776,21.5380998247946
"GSM672558",11.73118327,12.42567472,14.2572026,13.54336506,12.36528178,11.75320818,11.49590892,11.57396654,11.62863903,12.96779907,12.40940483,12.55874387,12.88900186,12.85840781,11.70109888,11.82298996,11.70737026,11.68967509,12.70008885,12.69864721,12.88276766,13.01521004,12.49129033,13.41359628,12.45691115,13.15065688,12.7521803,12.29611413,11.7644632,11.84897658,12.44648699,12.51217212,10.85690223,13.00110632,12.74146729,0.490637860584414,0.0234695577763295,19.9304071092258
"GSM672559",11.7060368,12.03818364,13.74743383,13.55136803,12.91305019,11.64349257,11.27734684,11.66571561,11.69867212,13.15417807,12.49420967,12.39750149,12.86164312,12.84075093,11.4657,11.60009591,11.49352602,11.39223755,12.80153755,12.60742379,12.44507026,12.66429145,12.2344052,13.26739145,12.67413941,13.28852007,12.79503234,12.16308104,11.5375197,11.67069814,12.66046617,12.41567323,11.88511933,12.95128178,12.34201004,0.479179408432239,0.0522131979135304,20.1287077866694
"GSM672560",11.66456952,12.22879703,14.28826431,13.59271896,12.24317175,11.52934052,11.27385204,11.47898253,11.55682342,12.69099182,12.61945911,12.31027584,12.56626989,12.45103717,11.42984089,11.68098401,11.51118996,11.49942454,12.84514201,12.48819219,12.45414126,12.62092416,12.19250186,13.16242175,12.75389331,13.00624349,12.7521803,12.3046145,11.65711152,11.62122007,12.31870483,12.36678959,11.9427,12.99076729,12.42150967,0.380351345425998,0.304558159412435,21.8696207878015
