"","cheA","cheB","cheC","cheD","cheW","cheY","flgB","flgC","flgD","flgE","flhA","flhB","flhF","flhG","fliE","fliF","fliG","fliH","fliI","fliJ","fliK","fliL","fliM","fliP","fliQ","fliR","fliY","fliZ","swrB","swrD","ylxF","codY","degU","spo0A","swrA"
"cheA",1,0.982847899897283,0.986106454631566,0.98060375816037,0.989434365816524,0.956112935455265,0.913670414412283,0.923884307565862,0.955727133449859,0.958457225064163,0.971117687106216,0.959929525031973,0.982337862913874,0.978906491771912,0.924625762064157,0.925678630879802,0.928288742233139,0.93278810121109,0.935420030755721,0.92548556837867,0.954758802922932,0.960050671701829,0.964052978361148,0.959653520061742,0.950526001907448,0.950365635332331,0.957839233139318,0.95895762159535,0.955899698381207,0.952167489232347,0.940033183949628,-0.469282867519219,-0.0814850395243553,0.593490795761167,0.797373576638784
"cheB",0.982847899897283,1,0.959483312337659,0.957696586417747,0.962019970495534,0.955877919306882,0.929660410618779,0.93577611802285,0.963598935848971,0.960035175016157,0.985262681453498,0.974524963114335,0.991031220690501,0.979912337328348,0.937915353233131,0.941066374799413,0.934111792902925,0.941770849961043,0.941265204527515,0.940112490050101,0.967776691719716,0.963699511366913,0.966496097723792,0.968209270824727,0.954757756092072,0.956298715513919,0.960445843413192,0.965189457552522,0.930332871149742,0.949776485451138,0.959287622491482,-0.475244591016506,-0.0627700003406211,0.599100615766362,0.80815958028289
"cheC",0.986106454631566,0.959483312337659,1,0.982082277016705,0.987157088554231,0.93003737232868,0.883795031469626,0.900775983712545,0.924602439293995,0.936898036678769,0.954965967527645,0.940376671274116,0.963939825983256,0.970122535025695,0.89111724150607,0.892930711626662,0.902384021998472,0.904685864408403,0.917274678077375,0.886815478421769,0.928149211560591,0.927607797860747,0.939378392682028,0.926800056098693,0.93843235319607,0.937240919319275,0.933982400556619,0.92928835776436,0.946337282855896,0.928045909067821,0.909348383591455,-0.454574559909355,-0.0858607181316865,0.581662130680916,0.769924770804112
"cheD",0.98060375816037,0.957696586417747,0.982082277016705,1,0.985204483867973,0.921546131331552,0.87542286329509,0.891913666378695,0.922926571849248,0.930937492710316,0.940982159959834,0.923575574477175,0.954447918097993,0.962300027381436,0.884199840887771,0.888141003759998,0.900022520397551,0.895330005258831,0.917269670357294,0.883579098037967,0.926137282589343,0.923709344840785,0.934143843031476,0.923466179130568,0.924911651116583,0.919983622826056,0.927424779862299,0.926906494175267,0.948245741199603,0.917780510196974,0.902596236148938,-0.474377605272966,-0.0607291818570819,0.591109683645262,0.756700329181383
"cheW",0.989434365816524,0.962019970495534,0.987157088554231,0.985204483867973,1,0.937320009843195,0.892831855794684,0.903840589833534,0.931409619291739,0.941514949543244,0.947976938596329,0.934788028624753,0.96224260732877,0.964184857479302,0.900958162024236,0.898940826691262,0.91138410593229,0.909868764234653,0.919441441111018,0.898021173350855,0.92901083887496,0.939748144767878,0.942278098218672,0.93675472740463,0.937363313041728,0.934977020714187,0.937506908650789,0.935888011009807,0.956630499853055,0.932034591222221,0.908655947733286,-0.480541649796404,-0.0702680291580387,0.590805950901876,0.774064340586801
"cheY",0.956112935455265,0.955877919306882,0.93003737232868,0.921546131331552,0.937320009843195,1,0.926009986974918,0.950077218992806,0.970571491983012,0.982442936775502,0.95629781111193,0.958901757079709,0.955602884685387,0.947022916189917,0.954805844603863,0.963190472743943,0.958498708306495,0.963978111963789,0.95696798612855,0.950697120025622,0.957459320673888,0.979446181472099,0.982229238249989,0.977347908501966,0.956999819734597,0.958458617977154,0.985310326316173,0.979725319932935,0.87107443490876,0.975825406252675,0.960021854600988,-0.448157849150707,0.00783706975227804,0.637718039900628,0.802978709891745
"flgB",0.913670414412283,0.929660410618779,0.883795031469626,0.87542286329509,0.892831855794684,0.926009986974918,1,0.979202148371572,0.936522849046151,0.932849257571858,0.926082620183541,0.932559536215724,0.930664423948485,0.910683030457262,0.972624489843247,0.956600286953577,0.931048578482125,0.941153563440167,0.919595343643798,0.939171965671532,0.931357726027689,0.943470524751721,0.932618256112878,0.940655533704833,0.925024838819971,0.929167409199058,0.929588945779657,0.946027977922161,0.851649534110731,0.927958278761233,0.94754054640119,-0.570156036107744,0.0431233947637394,0.742754141511093,0.838374143753104
"flgC",0.923884307565862,0.93577611802285,0.900775983712545,0.891913666378695,0.903840589833534,0.950077218992806,0.979202148371572,1,0.954183841704205,0.959920532848417,0.943463042731083,0.948344441257087,0.937347151537302,0.925041874306888,0.982421209639144,0.980595676185408,0.966507318160742,0.965250614659999,0.958501543290322,0.948721282230901,0.947313241339149,0.954981252037003,0.954629540618743,0.95211686049205,0.941486383688018,0.943104252281147,0.955570712737531,0.963959904281811,0.844938382728516,0.948343460296679,0.961128139381452,-0.528205123868606,0.0683372181573,0.75540414208102,0.844639432162012
"flgD",0.955727133449859,0.963598935848971,0.924602439293995,0.922926571849248,0.931409619291739,0.970571491983012,0.936522849046151,0.954183841704205,1,0.985260945026074,0.963158891340634,0.963116387589701,0.96481374381467,0.951619470469148,0.963782964655475,0.970097943995026,0.965492966062344,0.974251522400652,0.970036895506398,0.975887239894191,0.984513060421404,0.98502068759401,0.97887853648709,0.970862695822474,0.953053374772912,0.951653558482278,0.975264762747702,0.976524956089223,0.884742642930513,0.973220625148696,0.979095231372782,-0.47069885364616,-0.00267116486594132,0.653564233090116,0.822900721473811
"flgE",0.958457225064163,0.960035175016157,0.936898036678769,0.930937492710316,0.941514949543244,0.982442936775502,0.932849257571858,0.959920532848417,0.985260945026074,1,0.963721015842049,0.966239384055855,0.962250133864209,0.955405751052701,0.96177244943654,0.972452945867836,0.978551279795245,0.97539259413205,0.976853416639605,0.964639911701848,0.974514667634076,0.985666686370536,0.985475961385951,0.973703816198314,0.966246362299795,0.964566455746756,0.98448961667251,0.979833041766519,0.872948420915745,0.981793021965382,0.971118800433353,-0.466057658042192,0.0228667891351208,0.664308794639414,0.809252288959889
"flhA",0.971117687106216,0.985262681453498,0.954965967527645,0.940982159959834,0.947976938596329,0.95629781111193,0.926082620183541,0.943463042731083,0.963158891340634,0.963721015842049,1,0.989582574127787,0.989616160396047,0.978965639376412,0.941282811730487,0.951796224706922,0.950000626016978,0.95676533975683,0.957877135967318,0.940052567948182,0.96852142724238,0.961018862519392,0.974051406019169,0.964955150859826,0.968390085951539,0.967828263697887,0.967524126134004,0.964536291515263,0.901267335494644,0.953596027467689,0.967905387022789,-0.429609546355088,-0.0448496065956461,0.60973672015077,0.816439542056923
"flhB",0.959929525031973,0.974524963114335,0.940376671274116,0.923575574477175,0.934788028624753,0.958901757079709,0.932559536215724,0.948344441257087,0.963116387589701,0.966239384055855,0.989582574127787,1,0.981591118075599,0.971703556712256,0.949418317569145,0.959181515359481,0.953408147896402,0.960610610639439,0.95996585408133,0.952756502932917,0.96744889575865,0.967693374244771,0.974598499600296,0.969624815762682,0.977224408857994,0.977941352365537,0.968523725462539,0.967294307956945,0.874115227513465,0.965565555196785,0.968264678271943,-0.421814609826332,-0.0377551882890057,0.610429623845048,0.817789109407463
"flhF",0.982337862913874,0.991031220690501,0.963939825983256,0.954447918097993,0.96224260732877,0.955602884685387,0.930664423948485,0.937347151537302,0.96481374381467,0.962250133864209,0.989616160396047,0.981591118075599,1,0.984713940023825,0.939359579742184,0.942321035276214,0.936895170487112,0.948253184583734,0.943441914618895,0.941472502662612,0.968512060674566,0.965076979899966,0.968768004451696,0.969011403875342,0.963393771863149,0.965503166493717,0.962243054818608,0.965701605368112,0.929251821911227,0.957330830107579,0.964070191445732,-0.451015455157271,-0.0621922490740382,0.60508622602863,0.820864784537394
"flhG",0.978906491771912,0.979912337328348,0.970122535025695,0.962300027381436,0.964184857479302,0.947022916189917,0.910683030457262,0.925041874306888,0.951619470469148,0.955405751052701,0.978965639376412,0.971703556712256,0.984713940023825,1,0.919471081027367,0.925676255467672,0.927237639608873,0.929963570410681,0.939818971475521,0.919956344385737,0.95676643844111,0.954680116907835,0.957999013469643,0.960339674035192,0.969647836560651,0.970103083507256,0.953078411184937,0.959491491323401,0.918804154821417,0.95594741394862,0.944123920822175,-0.449458904629421,-0.0750314421676434,0.582544255546267,0.79377844467233
"fliE",0.924625762064157,0.937915353233131,0.89111724150607,0.884199840887771,0.900958162024236,0.954805844603863,0.972624489843247,0.982421209639144,0.963782964655475,0.96177244943654,0.941282811730487,0.949418317569145,0.939359579742184,0.919471081027367,1,0.985589173422928,0.963835014854035,0.975235487700321,0.957298343007857,0.965464452246821,0.96186603601897,0.966369218150324,0.96236811876344,0.9605344223644,0.937359563282656,0.942140463846231,0.961296389450406,0.963871514457169,0.853701715645572,0.957043553851967,0.963299848369264,-0.480267655259351,0.0885049922373812,0.741648888827444,0.834715949760417
"fliF",0.925678630879802,0.941066374799413,0.892930711626662,0.888141003759998,0.898940826691262,0.963190472743943,0.956600286953577,0.980595676185408,0.970097943995026,0.972452945867836,0.951796224706922,0.959181515359481,0.942321035276214,0.925676255467672,0.985589173422928,1,0.980521327330353,0.986362383232218,0.976608220195185,0.969859697584885,0.968281092346025,0.970622820477946,0.973695249295821,0.966616864390301,0.945028496112259,0.945041915133961,0.971663776656456,0.973367248774778,0.841122618728896,0.961847751389229,0.977476692370437,-0.468870710679224,0.0885601440719691,0.724611705627464,0.831152202425065
"fliG",0.928288742233139,0.934111792902925,0.902384021998472,0.900022520397551,0.91138410593229,0.958498708306495,0.931048578482125,0.966507318160742,0.965492966062344,0.978551279795245,0.950000626016978,0.953408147896402,0.936895170487112,0.927237639608873,0.963835014854035,0.980521327330353,1,0.97928552582719,0.981899444389815,0.957051025310391,0.957189732607629,0.966884838410002,0.971130321149422,0.95843992428185,0.952419018012309,0.949774565312107,0.972631250233149,0.96973135135145,0.8348034399522,0.956663460540375,0.965534893478889,-0.463107810638788,0.0799815306281594,0.697183119394316,0.81288444280046
"fliH",0.93278810121109,0.941770849961043,0.904685864408403,0.895330005258831,0.909868764234653,0.963978111963789,0.941153563440167,0.965250614659999,0.974251522400652,0.97539259413205,0.95676533975683,0.960610610639439,0.948253184583734,0.929963570410681,0.975235487700321,0.986362383232218,0.97928552582719,1,0.978799765120924,0.967484809332932,0.973427693395478,0.971129817573463,0.974518866066879,0.9630576090824,0.947077864645757,0.946097345103662,0.9720877047161,0.965885867585892,0.854648367079524,0.961796689292391,0.979046773314837,-0.435382301736183,0.0676921982527266,0.69201919641796,0.81147303890704
"fliI",0.935420030755721,0.941265204527515,0.917274678077375,0.917269670357294,0.919441441111018,0.95696798612855,0.919595343643798,0.958501543290322,0.970036895506398,0.976853416639605,0.957877135967318,0.95996585408133,0.943441914618895,0.939818971475521,0.957298343007857,0.976608220195185,0.981899444389815,0.978799765120924,1,0.952815660347007,0.971678988457128,0.96124546475486,0.976167512451539,0.957536447259458,0.956048399525298,0.945848644977576,0.975787190824352,0.968416111242891,0.844792004975809,0.95845749577662,0.967846725299676,-0.445009993954659,0.0432343234917454,0.687601006077788,0.808546486926501
"fliJ",0.92548556837867,0.940112490050101,0.886815478421769,0.883579098037967,0.898021173350855,0.950697120025622,0.939171965671532,0.948721282230901,0.975887239894191,0.964639911701848,0.940052567948182,0.952756502932917,0.941472502662612,0.919956344385737,0.965464452246821,0.969859697584885,0.957051025310391,0.967484809332932,0.952815660347007,1,0.969714363901578,0.976124288897578,0.959883443877165,0.955861685468993,0.939091292460886,0.937222801630894,0.953487994845677,0.961487998656765,0.853655838834218,0.96040815320854,0.976132510345413,-0.437087251639123,0.0269956127040654,0.655337937809297,0.813310564516754
"fliK",0.954758802922932,0.967776691719716,0.928149211560591,0.926137282589343,0.92901083887496,0.957459320673888,0.931357726027689,0.947313241339149,0.984513060421404,0.974514667634076,0.96852142724238,0.96744889575865,0.968512060674566,0.95676643844111,0.96186603601897,0.968281092346025,0.957189732607629,0.973427693395478,0.971678988457128,0.969714363901578,1,0.973888272870884,0.975574497393815,0.968797185603497,0.951671958478102,0.949517902609766,0.971176171237428,0.968432200374319,0.895991730088865,0.966596157421777,0.978836799033926,-0.43487635909497,-0.00976505207869038,0.645363736741574,0.815838280532011
"fliL",0.960050671701829,0.963699511366913,0.927607797860747,0.923709344840785,0.939748144767878,0.979446181472099,0.943470524751721,0.954981252037003,0.98502068759401,0.985666686370536,0.961018862519392,0.967693374244771,0.965076979899966,0.954680116907835,0.966369218150324,0.970622820477946,0.966884838410002,0.971129817573463,0.96124546475486,0.976124288897578,0.973888272870884,1,0.982971621424442,0.982634346983565,0.966299594197772,0.966648182506377,0.980251084948611,0.982893197490264,0.884419733287075,0.984806333789244,0.969678220218604,-0.473524925611213,0.00198548089081818,0.646305439260257,0.814436503238999
