"","clpC","ctsR","clpE","clpP","clpX","disA","lonA","mcsA","mcsB","radA","ysxC","pval","z","inv_cof_var"
"GSM672549",13.7086368,14.12791078,11.45859368,14.37361413,14.3002197,12.62380409,12.68201636,13.64276654,13.73361487,12.24467361,12.95128178,0.00716994354602853,2.44863452259645,14.1681231587949
"GSM672553",14.11871338,14.24448885,10.24754089,14.9261052,14.00014721,12.26005576,13.20690632,13.6106,13.96540669,11.70670353,13.41992007,0.480886789345509,0.0479280571707671,9.82818212504997
"GSM672554",14.07618625,14.19545279,10.2214171,14.90736059,14.33275836,12.41861375,13.39879777,13.7109197,13.68668848,11.72602565,13.56877881,0.474221840733746,0.0646612936776742,9.85843207888212
"GSM672555",13.52997026,13.03570706,9.525447955,13.30585762,13.72863755,12.14881636,12.78364684,12.72872639,12.69864721,11.67702007,13.08473941,0.284805377671151,0.568624852489058,10.769485620786
"GSM672556",13.64935428,13.16865353,9.636028996,13.26519851,13.53679182,12.31169033,12.79665613,12.71656803,12.86639294,11.86062565,13.23109554,0.204793380773487,0.824621059221874,11.2322695796262
"GSM672557",13.77427435,13.02507807,9.712572491,13.2904829,13.72616989,12.41094461,12.95571914,12.69099182,13.00807138,12.00305651,13.29444201,0.19430340360205,0.862146679046524,11.300107518016
"GSM672558",12.79327175,12.7318948,10.1576368,14.20445688,14.8074855,12.44507026,12.59637175,12.73977435,12.74293383,12.12742509,12.78437825,0.254816792892155,0.659408343480971,10.9336018938151
"GSM672559",12.55718141,13.25970781,9.692330112,14.29121375,14.69906245,12.79829665,13.02431227,12.66638996,12.56699257,12.47473234,13.01695428,0.41530746961271,0.213912952703298,10.1282457394393
"GSM672560",12.72266468,13.06578587,9.819645353,14.14860818,14.44658587,12.17384888,12.57254721,12.5487,12.65138587,11.78955725,13.03394164,0.360248002843522,0.357795971321102,10.3883540973546
"GSM672563",12.26005576,12.5312223,8.826257249,12.04992751,12.84223494,11.84500446,11.81170372,12.12819442,11.96554164,11.37077807,12.43023309,0.23469691462892,0.723465684392562,11.0494032574297
"GSM672564",12.61394312,13.17256729,8.756268401,12.17742788,12.92503755,12.19816729,12.08541747,12.66937435,12.57407212,11.82570149,12.56927323,0.395641309636546,0.264645430175896,10.2199587263862
"GSM672566",13.01151115,13.47196803,9.752057249,13.53224944,13.90293309,11.81170372,11.91238699,12.89724424,12.75841524,11.69219926,12.69099182,0.289660778145609,0.554375987242347,10.743726855248
"GSM672567",12.96858699,13.40275985,10.01140335,13.48916357,13.81311004,11.64349257,12.33753643,12.59205613,12.42567472,11.30483197,12.62380409,0.194127635827138,0.862785756839789,11.3012628279128
"GSM672568",13.0950171,13.24257695,10.08044907,13.47410706,13.7109197,11.67574201,12.40349591,12.62693755,12.60816022,11.25685576,12.70310595,0.147780995381982,1.04599792423259,11.6324695016985
"GSM672569",13.81311004,14.26004424,10.45730818,13.9118487,14.41869665,13.15971115,12.41698625,13.63843383,13.58822193,12.60816022,12.57565725,0.141232029074875,1.07480049645986,11.6845381185355
