"","clpC","ctsR","clpE","clpP","clpX","disA","lonA","mcsA","mcsB","radA","ysxC"
"clpC",1,0.913729650729396,0.888637473844397,0.76708125746395,0.379889717870866,0.728210039060864,0.627079513419308,0.940623104589387,0.96825838605263,0.657644826202878,0.620083087668296
"ctsR",0.913729650729396,1,0.928976177939763,0.78099245488547,0.526734247947321,0.719691086045423,0.612722433851597,0.98419248219253,0.96652213319493,0.623980102244967,0.638644099376554
"clpE",0.888637473844397,0.928976177939763,1,0.831439901607726,0.599643471593294,0.597787238836245,0.667795021584175,0.939384837224978,0.929908805784016,0.510204892251533,0.694168611191143
"clpP",0.76708125746395,0.78099245488547,0.831439901607726,1,0.774536813335838,0.453246324271769,0.800423474415753,0.785317779905537,0.792004421526247,0.327257144166936,0.832456988350854
"clpX",0.379889717870866,0.526734247947321,0.599643471593294,0.774536813335838,1,0.203045081411897,0.73855487980911,0.517455044708734,0.47582257179371,0.0838282495287452,0.76838793212616
"disA",0.728210039060864,0.719691086045423,0.597787238836245,0.453246324271769,0.203045081411897,1,0.33864060102051,0.744677422372696,0.747024640006608,0.927456718039,0.290134779027006
"lonA",0.627079513419308,0.612722433851597,0.667795021584175,0.800423474415753,0.73855487980911,0.33864060102051,1,0.638985996451153,0.647794527756657,0.286255156229595,0.921026302481123
"mcsA",0.940623104589387,0.98419248219253,0.939384837224978,0.785317779905537,0.517455044708734,0.744677422372696,0.638985996451153,1,0.988198952596615,0.656350391918644,0.651605163112119
"mcsB",0.96825838605263,0.96652213319493,0.929908805784016,0.792004421526247,0.47582257179371,0.747024640006608,0.647794527756657,0.988198952596615,1,0.668791381922822,0.648853665190644
"radA",0.657644826202878,0.623980102244967,0.510204892251533,0.327257144166936,0.0838282495287452,0.927456718039,0.286255156229595,0.656350391918644,0.668791381922822,1,0.186245610069594
"ysxC",0.620083087668296,0.638644099376554,0.694168611191143,0.832456988350854,0.76838793212616,0.290134779027006,0.921026302481123,0.651605163112119,0.648853665190644,0.186245610069594,1
