"","spoIIID","cotF","cotJA","cotJB","cotJC","cwlJ","gerE","gerR","spoIVCA","spoVK","spoVM","yesJ","yesK","yheC","yheD","yknT","pval","z","inv_cof_var"
"GSM672558",7.12129461,8.045720074,8.448307063,8.100355762,8.150184387,8.604154275,9.64251487,9.446366171,9.889610409,9.239005576,11.42984089,11.01321561,8.60996171,7.302495911,8.184210409,7.327780297,0.460617326875805,0.0988786083141213,7.32398264689803
"GSM672560",7.174947026,7.939507435,8.387723048,8.15076171,8.184210409,8.552971004,9.636028996,9.472736431,9.954214126,9.151350929,11.5727223,10.97474461,8.821174721,7.32036171,8.402105204,7.516815242,0.44340152498349,0.142350638544171,7.38185868832484
"GSM672572",8.629306691,7.468778439,8.818431227,8.651625279,8.565359108,8.175404461,9.69168829,10.62139108,9.851207435,7.49154684,10.38305279,10.60271673,7.762834201,7.369740335,7.321295167,8.222346097,0.492590664767685,0.0185735170357796,7.2170692875492
"GSM672577",15.34516989,12.1644855,14.79444089,15.85358848,16.11630929,15.23706097,10.89689591,15.190129,14.61295725,13.56651933,15.53070669,15.02109257,10.27181115,14.94091933,14.76273346,15.63036543,0.278515492858029,0.587257193552164,7.97418046562475
"GSM672579",16.08663829,11.7975223,15.5469539,16.10096283,16.28248513,15.12831859,10.02884981,15.91765762,14.01974312,13.68413234,16.09371152,15.49940186,10.78641524,14.74027026,14.58543234,15.4277855,0.490773682850621,0.0231290094199661,7.22313419559586
"GSM672581",16.27558253,16.13048996,15.6989948,15.90234647,16.12363346,15.74199963,13.92068736,15.72398736,13.74743383,14.52588253,15.94857249,15.24909405,10.63955428,15.41281338,15.22313234,14.97813903,0.00533940576093325,2.5530371181117,10.5913013994232
"GSM672582",15.84610186,16.23596914,14.86360112,16.26861673,16.15247212,15.47494981,14.32815855,16.12363346,14.00300297,14.53674944,15.57728606,14.85846468,10.58034275,15.21679294,14.9261052,15.72398736,0.00543905108691266,2.54659043331243,10.5827186717583
"GSM672583",16.11630929,16.32825874,16.07966952,16.21800242,16.05834275,15.43592342,14.16922491,15.82038253,13.71904721,14.46059071,16.24893309,15.52257435,10.44165911,15.21679294,15.05480706,15.27586766,0.016911590054502,2.1221733917483,10.0176753979609
"GSM672584",16.16694238,16.37624089,15.17796914,15.53897138,15.71599665,15.59743048,15.98922119,14.75589052,13.83360706,14.8357223,15.91765762,14.69077807,10.65969257,14.92148885,14.6741539,14.32645576,0.00213409544246381,2.85762901128888,10.9968166913133
"GSM672585",16.0140948,16.24241784,14.30661041,14.04813494,13.85627844,14.98879926,15.96520669,14.68655279,13.93621227,15.62225242,15.91765762,12.9397052,9.035304089,14.48155167,14.32645576,14.81200037,0.201578515864055,0.835996216172581,8.30533661134555
"GSM672586",15.98063123,16.22890372,14.74027026,15.50683643,15.93357807,15.190129,15.6989948,14.63629591,13.7522145,14.45389294,15.58944684,14.60915242,10.79346208,15.06617509,14.72779442,14.54790446,0.000528009492167315,3.2751606605418,11.5526931687008
"GSM672587",15.94142974,16.18018922,15.82913494,15.51421413,15.38340149,15.63036543,15.86955019,14.60551747,13.79859108,15.11127918,15.87744201,14.6281855,10.75600112,15.06041338,14.78475056,14.3002197,0.00115871253805872,3.04621441949367,11.2478879396537
"GSM672588",15.91765762,16.30918699,14.23481264,14.14860818,13.95716766,15.08894944,16.17336691,14.55602639,13.77175465,15.59743048,16.10096283,13.00986097,9.132736059,14.49293792,14.32986134,14.68241227,0.204318805568807,0.826293515307372,8.29241902009768
"GSM672589",16.10869665,16.4191316,15.39813309,15.55620743,15.88525911,15.60934758,16.16017398,14.61295725,13.61745502,14.56330743,15.71599665,14.66569628,11.03246989,14.88252156,14.68655279,14.13993457,0.00098702139754395,3.09411000211793,11.3116532321752
"GSM672590",16.07966952,15.96520669,15.30189331,15.4060026,15.30855836,15.71599665,16.19371115,14.55602639,13.52354052,14.5931777,15.81157807,14.78045019,10.56992156,14.9261052,14.42909851,14.29703011,0.00321581092035764,2.72492436698781,10.8201417246634
"GSM672591",16.11630929,16.39080818,15.68112788,15.52257435,15.58944684,15.82913494,16.13797361,14.52588253,13.53224944,14.64045799,15.92557398,14.70303309,10.78417695,14.63629591,14.58946431,14.19849442,0.00396433893871182,2.65509201124819,10.7271711343245
"GSM672592",16.18018922,16.22890372,15.73282862,15.61343941,15.64881152,16.05834275,16.02135874,14.48155167,13.6081974,14.58946431,15.92557398,14.76762156,10.62734349,14.8536461,14.66175056,14.39460335,0.0054860638518861,2.5435852564504,10.5787177603759
"GSM672593",15.85358848,15.89411301,15.00514164,15.38340149,15.41281338,15.62225242,15.99737658,14.8536461,13.31923978,14.33275836,16.17336691,14.58543234,10.12191822,14.40846283,14.15158996,14.2077948,0.0223260754665804,2.00791663710467,9.86556083993234
"GSM672594",16.11630929,16.17336691,15.27586766,15.30189331,15.42020595,15.53070669,16.20058401,15.0717881,13.49133829,14.41869665,15.75899182,14.51807323,9.827327509,14.58946431,14.26317249,14.36693011,0.0394370132637747,1.75725692384463,9.53184760243463
"GSM672595",16.18697584,15.91765762,15.12831859,15.64881152,15.68112788,15.75899182,16.15247212,15.15962193,13.53887881,14.38725613,15.65681413,14.7149948,10.36410967,14.5973803,14.42909851,14.21807175,0.00865785184557319,2.3799347536502,10.3608433425155
"GSM672596",15.93357807,15.96520669,15.15962193,15.32970632,15.28884089,15.58944684,16.18697584,14.84428699,13.51256134,14.60915242,15.75092528,14.58543234,10.45730818,14.6741539,14.24770112,14.20445688,0.00452839975632128,2.60990263800341,10.6670087258948
"GSM672597",15.90234647,16.05834275,14.36337323,14.40126208,14.25402268,14.85846468,16.26199628,14.2572026,13.44939033,15.26197249,15.96520669,13.28255242,8.459275093,14.37000297,14.05645093,14.11600446,0.330393598224911,0.438826583778577,7.7765688961903
"GSM672601",7.223523048,7.701094424,8.338381041,8.108623048,8.133879926,8.673456134,10.28526989,10.29473086,10.00255502,9.675759108,11.2202,10.53229405,8.683216729,7.456380669,8.483455019,7.465363941,0.449741563054118,0.126314313963786,7.3605088921263
"GSM672602",7.565476952,8.97785948,8.04244052,7.902054089,7.815808922,8.447001487,10.88115093,9.947730112,10.09603011,9.535849814,11.51967435,10.54287175,9.407636059,7.913758364,7.8573171,8.831322305,0.392519430657305,0.272758501530578,7.55547585873628
