"","cotF","cotJA","cotJB","cotJC","cwlJ","gerE","gerR","spoIVCA","spoVK","spoVM","yesJ","yesK","yheC","yheD","yknT","spoIIID"
"cotF",1,0.91514560802199,0.921129436001959,0.922987435213033,0.958926173241388,0.930572259829806,0.90899101573215,0.870785234514304,0.934301181187306,0.939985461029436,0.874806058916462,0.670447494837724,0.92276897596888,0.90754077785684,0.910962494103061,0.920418067288726
"cotJA",0.91514560802199,1,0.995485249163156,0.99319060257599,0.960842045887488,0.826533420329902,0.932830162997772,0.886149822129043,0.903649499838126,0.929444380767182,0.914309517288562,0.619511300933987,0.984046368726915,0.962775427659252,0.958692673097127,0.990412713671665
"cotJB",0.921129436001959,0.995485249163156,1,0.998773809201251,0.97250266885061,0.834358370054431,0.94899756873671,0.906474492629274,0.917286565630435,0.940272239799796,0.934180753522891,0.661326059320401,0.989511456829156,0.971875301478154,0.974167861976272,0.990529678579128
"cotJC",0.922987435213033,0.99319060257599,0.998773809201251,1,0.975599806602436,0.834939364516268,0.951799712921674,0.908777804619605,0.918117045242636,0.944268079156652,0.938421610884977,0.667803161420391,0.987133200346863,0.96842607075203,0.973665624613773,0.988355097014377
"cwlJ",0.958926173241388,0.960842045887488,0.97250266885061,0.975599806602436,1,0.907348811875602,0.963167695638646,0.940991048804553,0.965171524273334,0.972354444514337,0.952088401367597,0.74284639129058,0.974210937770688,0.96361419891757,0.975685330627734,0.963697547804311
"gerE",0.930572259829806,0.826533420329902,0.834358370054431,0.834939364516268,0.907348811875602,1,0.837098744475025,0.832765325966859,0.892507292949179,0.864003754109662,0.833412813167945,0.699894842857489,0.850274732312359,0.84748918211832,0.846623126639737,0.836192771718446
"gerR",0.90899101573215,0.932830162997772,0.94899756873671,0.951799712921674,0.963167695638646,0.837098744475025,1,0.944056143191776,0.949870560936923,0.966293916880083,0.929371284692245,0.759400508004719,0.939408415262044,0.937541940384239,0.966701589300463,0.93145109006343
"spoIVCA",0.870785234514304,0.886149822129043,0.906474492629274,0.908777804619605,0.940991048804553,0.832765325966859,0.944056143191776,1,0.953303999569526,0.94640448109488,0.879522618009742,0.773412783478496,0.915819729075111,0.928855363877546,0.944867475693577,0.889551633750312
"spoVK",0.934301181187306,0.903649499838126,0.917286565630435,0.918117045242636,0.965171524273334,0.892507292949179,0.949870560936923,0.953303999569526,1,0.9782551706732,0.899177433195491,0.769374635114364,0.934411920791558,0.941487326722697,0.936420779595719,0.902606317537003
"spoVM",0.939985461029436,0.929444380767182,0.940272239799796,0.944268079156652,0.972354444514337,0.864003754109662,0.966293916880083,0.94640448109488,0.9782551706732,1,0.904445276663276,0.74201696690416,0.940176070477356,0.930221075627179,0.946387217713362,0.929115270674713
"yesJ",0.874806058916462,0.914309517288562,0.934180753522891,0.938421610884977,0.952088401367597,0.833412813167945,0.929371284692245,0.879522618009742,0.899177433195491,0.904445276663276,1,0.792792063972881,0.935271222769468,0.931861075248821,0.945942335310953,0.911039517118474
"yesK",0.670447494837724,0.619511300933987,0.661326059320401,0.667803161420391,0.74284639129058,0.699894842857489,0.759400508004719,0.773412783478496,0.769374635114364,0.74201696690416,0.792792063972881,1,0.679116555851579,0.715373773221291,0.72484842038038,0.616943283743014
"yheC",0.92276897596888,0.984046368726915,0.989511456829156,0.987133200346863,0.974210937770688,0.850274732312359,0.939408415262044,0.915819729075111,0.934411920791558,0.940176070477356,0.935271222769468,0.679116555851579,1,0.98776662425753,0.979835035853962,0.985878314711706
"yheD",0.90754077785684,0.962775427659252,0.971875301478154,0.96842607075203,0.96361419891757,0.84748918211832,0.937541940384239,0.928855363877546,0.941487326722697,0.930221075627179,0.931861075248821,0.715373773221291,0.98776662425753,1,0.971193865133763,0.959151633370566
"yknT",0.910962494103061,0.958692673097127,0.974167861976272,0.973665624613773,0.975685330627734,0.846623126639737,0.966701589300463,0.944867475693577,0.936420779595719,0.946387217713362,0.945942335310953,0.72484842038038,0.979835035853962,0.971193865133763,1,0.971449846118424
"spoIIID",0.920418067288726,0.990412713671665,0.990529678579128,0.988355097014377,0.963697547804311,0.836192771718446,0.93145109006343,0.889551633750312,0.902606317537003,0.929115270674713,0.911039517118474,0.616943283743014,0.985878314711706,0.959151633370566,0.971449846118424,1
