"","acpA","comA","fapR","fabD","fabG","plsX","pval","z","inv_cof_var"
"GSM672550",15.66552974,12.38281004,14.39110335,14.3002197,14.23797286,14.37716803,0.232945592272986,0.729180619665054,24.244821928051
"GSM672551",15.72398736,12.30598216,14.19217844,14.47455279,14.41200297,14.56330743,0.229069908475143,0.741913382727871,24.326476972096
"GSM672555",14.96705799,13.1376223,13.6940316,13.4511197,13.76194498,13.87933941,0.261092742746119,0.639980179143803,23.6727806622502
"GSM672556",15.30189331,13.06578587,13.7522145,13.79092788,13.98711561,13.88486654,0.374088092129461,0.321045138657461,21.6274543925376
"GSM672557",15.190129,12.98548327,13.80343717,13.86400483,14.10461152,13.95989033,0.210504423349396,0.804672233423694,24.7289486659851
"GSM672558",15.75899182,12.20380818,14.42909851,14.40469851,14.16357621,14.46736729,0.291307192057225,0.549569935933076,23.0929809475245
"GSM672566",15.93357807,12.12371933,15.23706097,14.49293792,14.53674944,14.89277844,0.185622600508448,0.894143343892733,25.3027257346435
"GSM672567",15.77650855,12.09641227,14.88252156,14.31325613,14.47120892,14.38725613,0.227603243874545,0.746763241450941,24.3575790530576
"GSM672568",15.95731301,12.08006543,15.02706357,14.38917974,14.65334089,14.45737881,0.286540227137721,0.563520574159791,23.1824462091679
"GSM672569",14.69077807,12.96858699,13.46987881,13.06752156,13.22549963,13.24788216,0.439225922901934,0.15293206920601,20.5493474629675
"GSM672570",14.78045019,13.13379517,13.6246145,13.18357249,13.18522751,13.53453569,0.423560400518395,0.192793363639462,20.804977426126
"GSM672571",14.53484814,13.19966617,13.57313309,13.11539071,13.10047026,13.25773792,0.322786186874932,0.459921769632295,22.5180684221183
"GSM672572",15.72398736,13.79624275,14.72338401,14.34949888,14.3392342,14.6281855,0.160028282200777,0.99434165139026,25.9452961784333
"GSM672573",15.73282862,13.73361487,14.28199294,14.08764126,14.19545279,14.43247509,0.379258116781143,0.307429819766154,21.5401395294344
"GSM672574",15.59743048,13.6744539,14.04280037,13.96283048,14.18664647,14.3002197,0.38432534212425,0.294140317063733,21.4549141213161
"GSM672575",15.72398736,13.45520892,14.25402268,13.98436729,14.08764126,14.40846283,0.443429175924721,0.142280622447292,20.4810398733316
"GSM672576",15.08293978,13.28852007,14.11029777,13.62222788,13.58394275,13.94646394,0.289219343751471,0.555666754835374,23.1320797679098
"GSM672598",15.34516989,11.81292007,14.51143346,14.54790446,14.5076632,14.55602639,0.000622045873243026,3.22857375222331,40.2733976046689
"GSM672599",15.5469539,11.86661506,14.35301933,14.45026283,14.5706171,14.4894368,0.0523016224709152,1.62293526049378,29.9764588243198
"GSM672600",15.26197249,11.9097197,13.95989033,14.05925799,13.83859442,14.14860818,0.208483571298744,0.811694166293928,24.7739802302239
"GSM672601",15.36026208,11.89925465,14.57775836,14.41869665,14.23797286,14.49293792,0.013750925519734,2.20431994790614,33.7048712689349
"GSM672602",15.26837881,11.8281881,14.2410829,14.33589145,14.24770112,14.26634535,0.0228138066641764,1.9988220297329,32.3870157903709
"GSM672603",15.66552974,12.17460074,14.45389294,14.27576691,14.28826431,14.40846283,0.208990361928003,0.809929451386835,24.7626631364592
"GSM672604",15.50683643,12.1703171,14.48566134,14.37361413,14.36693011,14.37000297,0.0633606278979167,1.52715989670828,29.362252661074
"GSM672605",15.86194312,12.16733941,14.21655688,14.32280074,14.29121375,14.29703011,0.434481081721049,0.164976900747245,20.626590811105
"GSM672606",15.86194312,11.94606766,14.89745725,14.56695242,14.87297918,14.75366506,0.0566417840456675,1.58360529558378,29.7242362704899
"GSM672607",15.77650855,11.77082305,14.74947249,14.53116877,14.76273346,14.67824238,0.0540261298155829,1.60700961177845,29.8743278460804
"GSM672610",15.32970632,11.83742714,14.84428699,14.11600446,14.24770112,14.52209926,0.0537424229763982,1.60960165840407,29.8909506074039
"GSM672611",15.21679294,11.8387684,14.82635502,13.97082379,14.41536729,14.34949888,0.0450097285456421,1.69529508310873,30.4405014263506
"GSM672612",14.15158996,12.54327509,14.98879926,13.05512156,14.02274981,13.96540669,0.446652173019212,0.13412422233987,20.4287329854445
