"","comFA","comK","degU","scoC","comFB","comFC","csrA","flgK","flgL","flgM","fliW","yviE","yvyF","yvyG","pval","z","inv_cof_var"
"GSM672549",8.752569145,9.941332342,13.2291658,11.33044126,11.28929814,11.10436394,10.74038885,12.78510967,12.72266468,12.89724424,10.9565684,10.54287175,12.6418026,12.72872639,0.422574771113908,0.195310928357342,8.76117758659192
"GSM672558",8.91187026,10.40392714,13.54336506,11.41517398,11.41994833,11.39696357,10.64563569,12.53873903,12.55718141,12.68798067,10.91926171,10.51055874,12.41698625,12.23010929,0.215718236162158,0.786735919770503,9.79130415452076
"GSM672559",9.629740892,10.28526989,13.55136803,11.72986729,11.41145911,10.98396803,10.97474461,12.65748922,12.49265874,12.90368476,11.23868885,10.92375167,12.52395651,12.41256617,0.0416826041820787,1.7314855026998,11.4368410519213
"GSM672560",8.659134201,10.28280446,13.59271896,11.30014833,11.66775818,11.16042491,10.89328476,12.42003234,12.45247361,12.56771524,11.24592528,10.50016952,12.4688316,12.27727844,0.235343174560488,0.721362765576191,9.67743912693043
"GSM672566",12.70778104,11.6064513,13.07116617,13.19793569,13.14143123,12.96154498,11.20930781,14.08497249,14.15158996,14.45026283,11.72348773,11.7543855,14.26317249,13.98155204,0.0485218588307964,1.65935778451913,11.3112111244398
"GSM672567",12.73507807,11.9506539,13.15065688,11.9151855,13.28452677,13.0185829,11.33991747,14.01974312,14.19849442,14.2572026,11.52343123,11.92414164,14.05925799,13.91563829,0.0223788328813954,2.0069248467447,11.9165931595818
"GSM672568",12.88900186,12.01371413,12.96003271,12.06628662,13.23309777,13.17423792,11.68734461,14.14860818,14.53294684,14.51807323,11.56687732,12.22177807,14.27893866,14.01692193,0.0182858011334308,2.09051455547245,12.0621872433897
"GSM672569",12.67092974,12.6418026,13.58394275,14.51807323,13.7109197,13.27297993,10.29119926,13.93848699,14.07896877,14.37361413,10.82198364,11.01321561,14.27576691,13.83360706,0.472082920506146,0.0700349510459901,8.54297559238244
"GSM672574",14.26634535,13.50188959,14.05355316,13.66754238,14.47804424,14.31970743,11.30014833,14.47455279,14.73161599,15.17796914,10.96004981,11.90186766,14.68655279,14.52588253,0.374115263928192,0.320973427837845,8.98005281369029
"GSM672577",11.48741822,11.66706952,12.39750149,13.25970781,11.96693457,11.81923755,9.654058736,11.90698848,12.05212268,12.74146729,9.602318959,9.958141264,12.57097026,12.04223755,0.184361951267096,0.898866257996051,9.98660946314661
"GSM672580",13.20863941,12.54327509,12.14881636,13.69645948,13.64935428,13.2904829,10.52201952,13.33719963,13.57540669,14.11328476,10.59358662,10.85929926,13.80583271,13.38472454,0.31098332450069,0.493065015904932,9.27979685487696
"GSM672581",12.76007472,12.05679591,11.91889442,13.36243383,13.30210743,13.19436877,9.749528253,12.6482026,12.72569926,13.43859219,10.02264535,10.246271,13.34303457,12.70008885,0.485114294983097,0.0373215914880997,8.48599642968884
"GSM672584",12.61667063,11.94935167,11.14807026,12.99944721,13.01151115,12.86008625,9.696667472,12.26996654,12.44507026,13.12800297,9.987783271,10.00012416,13.22730074,12.44358959,0.425903781383935,0.186812605988684,8.74637545989473
"GSM672586",13.02507807,12.31945409,11.1695632,12.80614647,13.48706506,13.11699257,9.865482528,12.5494855,12.83418104,13.58394275,9.985307807,10.43819554,13.48236691,12.98724424,0.493984286949748,0.015079727921483,8.44725620918264
"GSM672589",12.75841524,12.09219442,11.06334126,12.75389331,12.85840781,12.89065985,9.75594052,12.48819219,12.61541041,13.25168253,10.17985465,10.16502825,13.32938104,12.6938881,0.376286003861807,0.315249785644105,8.97008354290415
"GSM672590",12.41567323,11.85551673,11.21785428,12.95655428,12.55874387,12.36989182,10.13176691,12.29166617,12.50329219,13.12063532,9.931396283,10.02264535,13.0917539,12.83584424,0.265374098994435,0.626864288411685,9.51284447271507
"GSM672591",12.31318253,12.01987993,11.00017212,12.80470855,12.5077974,12.39445725,10.03135093,12.24872342,12.41256617,12.98548327,9.645053532,10.08906357,12.95128178,12.40805911,0.268850397140689,0.616293551195757,9.49443267509606
"GSM672592",12.22177807,11.93482268,11.11013494,12.9836684,12.28742007,12.2190777,9.832570632,12.13786729,12.18706394,12.88193643,9.662597398,10.04785297,12.94628513,12.44963011,0.266856397798547,0.622348409982498,9.50497884915336
"GSM672593",11.68483494,11.89547138,11.2654855,12.89381004,12.08006543,11.80120297,9.767536431,11.83088699,11.99639963,12.77562007,9.856439033,9.466457621,12.96154498,12.43176617,0.30426193470072,0.512181671480952,9.31309368048413
"GSM672594",11.88390743,11.92279405,11.2654855,12.84293011,12.25553011,11.94133643,9.941332342,12.12529108,12.21330186,13.00295056,9.702426022,9.260887361,13.202279,12.47901264,0.463614952053352,0.0913306002479389,8.5800677246777
"GSM672598",8.688081413,8.540665428,13.37237472,10.72997732,11.65346208,11.49220149,10.47503271,11.40904461,11.50004219,11.69346877,10.52528401,9.75594052,11.78463792,11.35290967,0.0599598564971875,1.55511067505574,11.1296365906491
"GSM672599",8.861677881,8.326605204,13.47196803,10.8927461,11.44184461,11.43214164,10.76431338,11.31214572,11.43328625,11.42599665,10.76665242,9.624618587,11.63750186,11.27618439,0.0121938041451075,2.25096730427261,12.3416590983773
