"","comFA","comFB","comFC","csrA","flgK","flgL","flgM","fliW","yviE","yvyF","yvyG","comK","degU","scoC"
"comFA",1,0.940540313366867,0.945714282095099,0.13301291489785,0.674501233960462,0.668514069649849,0.757664842858058,0.17493258618752,0.52173925065718,0.773580612801409,0.72917767200447,0.841403657884683,-0.128151083977833,0.674135102511233
"comFB",0.940540313366867,1,0.985115520959195,0.263846643663843,0.711024514501709,0.686045044377775,0.758022191516105,0.313072952032592,0.557868076614471,0.781437226001493,0.744045651054146,0.749997853772022,0.0206739798381631,0.577047692663238
"comFC",0.945714282095099,0.985115520959195,1,0.223608974410726,0.687904561187023,0.662197776932826,0.738504430124663,0.262445435835415,0.535625188583538,0.755376778454331,0.725037633067286,0.766599370313374,0.00326175124711612,0.54528450764294
"csrA",0.13301291489785,0.263846643663843,0.223608974410726,1,0.666118531295556,0.66639360575893,0.595006231247587,0.958872782752602,0.80614935602947,0.564471635774314,0.642814536664594,0.0416101463438314,0.133373115643593,-0.0924420179166625
"flgK",0.674501233960462,0.711024514501709,0.687904561187023,0.666118531295556,1,0.984692891372412,0.965499479568336,0.7246679145037,0.911392031458613,0.935734922728216,0.98388404032884,0.57517834824148,0.151950664535872,0.446382026022046
"flgL",0.668514069649849,0.686045044377775,0.662197776932826,0.66639360575893,0.984692891372412,1,0.954943295462478,0.717888514640694,0.905534277671042,0.920737457816763,0.97402541147804,0.593873886837788,0.157183011164797,0.474921342515501
"flgM",0.757664842858058,0.758022191516105,0.738504430124663,0.595006231247587,0.965499479568336,0.954943295462478,1,0.645118998212745,0.886305277788973,0.968307078723352,0.987515169996903,0.664721988767731,0.0388262903088265,0.489185711726802
"fliW",0.17493258618752,0.313072952032592,0.262445435835415,0.958872782752602,0.7246679145037,0.717888514640694,0.645118998212745,1,0.847500753585121,0.621055235231544,0.692901525560025,0.0604269053590453,0.176489324367732,-0.0340754029120786
"yviE",0.52173925065718,0.557868076614471,0.535625188583538,0.80614935602947,0.911392031458613,0.905534277671042,0.886305277788973,0.847500753585121,1,0.839197869644353,0.899155610234131,0.411681056029141,0.115913567407609,0.267428578660609
"yvyF",0.773580612801409,0.781437226001493,0.755376778454331,0.564471635774314,0.935734922728216,0.920737457816763,0.968307078723352,0.621055235231544,0.839197869644353,1,0.954456502898346,0.679011022456846,-0.00554898029295381,0.480696582291572
"yvyG",0.72917767200447,0.744045651054146,0.725037633067286,0.642814536664594,0.98388404032884,0.97402541147804,0.987515169996903,0.692901525560025,0.899155610234131,0.954456502898346,1,0.620897315603111,0.0743193948581663,0.46626832732831
"comK",0.841403657884683,0.749997853772022,0.766599370313374,0.0416101463438314,0.57517834824148,0.593873886837788,0.664721988767731,0.0604269053590453,0.411681056029141,0.679011022456846,0.620897315603111,1,-0.0997408502173613,0.612766853450455
"degU",-0.128151083977833,0.0206739798381631,0.00326175124711612,0.133373115643593,0.151950664535872,0.157183011164797,0.0388262903088265,0.176489324367732,0.115913567407609,-0.00554898029295381,0.0743193948581663,-0.0997408502173613,1,0.00115463462574956
"scoC",0.674135102511233,0.577047692663238,0.54528450764294,-0.0924420179166625,0.446382026022046,0.474921342515501,0.489185711726802,-0.0340754029120786,0.267428578660609,0.480696582291572,0.46626832732831,0.612766853450455,0.00115463462574956,1
