"","comZ","spo0A","divIVA","dnaA","dnaG","dnaN","ftsE","ftsX","med","metS","parA","parB","pdeH","pdxS","pdxT","pit","sacT","sepF","tagV","tkt","tsaC","yabD","ykaA","ylmD","ylmE","ylmG","ylmH","yqxD","yqzC","yqzD","yrrL","yvyE","ywcI","yydA","pval","z","inv_cof_var"
"GSM672549",12.61245019,12.41567323,12.80000632,14.04813494,13.98436729,13.95989033,13.33142937,12.75695279,11.69219926,13.48706506,12.72717732,12.92673643,11.66844684,14.2410829,14.37000297,14.26634535,10.22478587,13.20315836,13.53453569,14.69077807,11.33772937,11.37209145,14.85846468,13.20690632,13.28852007,13.89762082,12.74293383,14.01692193,12.98202045,14.18951673,12.05132193,13.22169145,8.468954647,11.60768401,0.293298878813891,0.543772902952885,9.67970170508366
"GSM672550",12.71352639,12.83418104,13.05331524,13.39100595,13.76423197,13.19629331,12.75551227,12.23151078,11.90059108,13.54925019,13.30389257,13.3702461,12.05679591,14.48155167,14.60915242,13.93093309,9.759085316,13.22356468,12.91991375,14.76762156,11.3876119,11.36724349,14.32280074,13.22549963,13.34507323,13.95716766,12.70008885,13.86400483,12.80153755,14.07618625,11.94133643,13.08807955,8.245420446,11.8077974,0.290830141865894,0.550961183829937,9.68996521649414
"GSM672551",12.73028625,12.58602528,12.90368476,13.4511197,13.73361487,13.30389257,12.55796264,12.23151078,11.86062565,13.65857993,13.40092937,13.4367223,12.22743866,14.57775836,14.69494015,13.76919963,9.424471375,13.18883978,13.29444201,14.87743532,11.22259814,11.54474833,14.27893866,13.09762695,13.22823327,13.9254487,12.6931303,13.88738959,12.78829182,14.18664647,11.90698848,13.05163569,8.222956877,11.72986729,0.369896593938804,0.332127232143741,9.37751154383608
"GSM672555",12.08684164,13.31550074,13.79859108,12.86639294,14.88252156,12.79665613,12.00305651,12.03148699,11.61025167,12.85840781,12.62237993,12.79503234,11.51118996,13.38058216,13.60618996,12.07438996,9.306008922,14.00590855,12.72569926,14.21655688,10.24135167,11.09734126,12.45414126,13.88999294,13.97367398,14.50030743,12.79829665,14.77223197,13.00295056,13.97082379,11.59151078,12.11816134,8.93649368,11.7975223,0.470189580264153,0.0747933153140226,9.01008717118559
"GSM672556",11.83742714,13.20139963,13.57959368,12.75551227,14.64662918,12.95488401,11.62863903,11.8217948,11.61880967,12.86480892,12.52257955,12.99247212,11.57153606,13.33925093,13.7497,12.04802974,9.470373234,13.86138401,12.80153755,14.26946022,9.893404089,11.34454126,12.35485911,13.6940316,13.77175465,14.60551747,12.58011896,14.56695242,13.05860929,13.61981078,11.47064201,12.43023309,9.140726766,11.55308104,0.413138103427513,0.219479936968794,9.21667241982812
"GSM672557",12.21330186,13.24969777,13.52354052,12.72872639,14.71898885,12.89381004,11.75678996,12.12079071,11.9427,13.13379517,12.56328699,12.99596394,11.5304,13.23309777,13.89762082,12.24736022,9.48922119,13.89516245,12.81402342,14.77594758,10.09368364,11.48512491,12.5494855,13.55356059,13.93337732,14.6281855,12.3046145,14.5931777,13.18693197,13.66292007,11.53340799,12.20653755,9.1897829,11.41400037,0.398469337084884,0.257311035411366,9.27068810413117
"GSM672558",12.71191784,12.36528178,12.66205019,14.08764126,14.20152714,13.84114201,13.4367223,12.74445799,12.07855874,13.60618996,12.85502825,13.11192862,11.76959033,14.36337323,14.72338401,14.41200297,10.34576506,13.35442714,13.71644461,14.5076632,11.40649405,11.48984164,14.88252156,13.36438513,13.49977695,13.93093309,12.74756208,14.45026283,13.06405353,14.19217844,12.10715093,13.53887881,8.15352119,11.57041264,0.364411333658789,0.34669207141973,9.39830739150228
"GSM672559",12.7318948,12.91305019,12.97704498,13.71375353,13.90030558,13.11699257,13.18522751,12.40656468,11.74947844,13.6081974,13.23707546,13.10802045,11.91107807,14.51143346,14.55388234,14.26634535,11.14807026,13.30585762,12.87304684,14.48155167,11.58755948,11.34575651,14.86360112,13.4511197,13.38685874,13.90293309,12.44216766,14.29703011,13.31340074,14.51807323,12.08684164,12.70161301,8.249947584,11.88011524,0.218055153978843,0.778778324916874,10.0152451919211
"GSM672560",12.95128178,12.24317175,13.08133792,13.80104535,14.02572788,13.82289926,13.1136368,12.80310595,11.9588368,13.68413234,13.05163569,12.988971,11.7445632,14.19545279,14.34210483,14.31640743,10.03135093,13.33925093,13.30005502,14.51807323,11.4102803,11.41760669,14.89277844,13.4356552,13.41130855,13.90805539,12.70161301,14.25115204,13.17966803,14.46736729,12.14450074,12.91305019,8.251019703,11.65407881,0.328843851669806,0.443107883358582,9.5359710141279
"GSM672562",13.10414349,13.48916357,13.81582714,13.31340074,14.42909851,13.16865353,12.82172268,12.39445725,12.60364461,14.21381301,13.40705576,13.37430892,12.47901264,14.68655279,14.8030119,13.82848513,10.26853903,13.35817584,12.33317249,15.22980632,12.05551227,11.85813271,14.5706171,13.25672918,13.32318773,13.94646394,12.44805874,14.2410829,13.20139963,14.65334089,12.19107955,11.97753792,8.629306691,12.39153123,0.217735089502634,0.779865276398142,10.0167971539439
