"","copA","csoR","copZ","sprB","yosX","yotB","yotC","yotD","yotE","yotG","yotH","yotI","yotJ","yotK","yotM","pval","z","inv_cof_var"
"GSM672550",10.11153104,11.31557286,11.47432714,7.226811896,8.576081413,7.769860967,7.852455762,8.054964684,8.072568773,8.03609145,8.027893309,7.758813755,7.719550558,7.502960409,7.538505576,0.496226682426651,0.00945844554550502,7.19633258381498
"GSM672551",10.19194089,11.07978216,11.59011673,7.330971933,8.956904089,8.159125279,8.167665428,8.197505948,8.145573978,8.056952788,7.936460595,7.855413383,8.004321933,7.671643494,7.597465056,0.470393947036846,0.0742796187896884,7.35893883849566
"GSM672552",9.916043494,12.06771041,12.57725279,7.494581413,9.727094424,8.619519331,8.822447584,8.918543866,8.817110037,8.663332342,8.665937918,8.686794052,8.767733086,8.499108178,8.502789963,0.401078235880908,0.250557205116552,7.80113753164155
"GSM672553",10.25501375,11.69867212,12.13645688,7.486243494,9.775937732,8.445764684,8.723092565,8.845825279,8.791343494,8.505152788,8.685659851,8.587512268,8.743839777,8.330175836,8.449340892,0.359397185161382,0.360070556853226,8.07585573052923
"GSM672554",10.58764238,11.49827212,12.34349182,7.914788104,9.897079554,8.352986617,8.628068773,8.831965428,8.839163941,8.745098513,8.680669517,8.626248141,8.683216729,8.39470223,8.47305855,0.39054854436979,0.277889624566605,7.86970189318731
"GSM672555",9.482872862,10.25681506,11.1695632,7.336424164,9.215022305,7.759936803,7.969999071,9.108434572,9.060899257,8.796410037,9.031537918,8.827584758,8.799050186,7.865181413,7.59084052,0.252383076379265,0.667009363044061,8.84582281370493
"GSM672556",9.662597398,9.926298885,11.20329851,7.740816729,9.222212268,7.942710037,8.026884387,8.986883643,8.874475465,8.822447584,8.513688848,8.536673606,8.501655019,7.922566729,7.799766729,0.184011645234279,0.900182212610563,9.43074532996982
"GSM672557",10.08164275,10.04472379,11.12277175,7.630018959,9.471579554,8.061564684,8.243787175,8.405745725,8.926239777,8.853779182,8.810766914,8.809375836,8.724922677,7.995139033,7.668779182,0.209072488742302,0.8096437119725,9.20362623050982
"GSM672561",9.956937546,11.14584424,11.51852045,7.809776766,10.0693658,8.950156134,8.980534201,9.107860223,9.133810409,9.003201487,8.904501115,8.769665242,8.888371375,8.341351487,8.392362082,0.116538986533632,1.19246753514401,10.1639536200491
"GSM672562",10.09834833,11.65346208,11.63001524,7.47190948,8.880969888,8.231637918,8.30290316,8.590889591,8.602923048,8.424176208,8.098244981,7.910605948,7.88816171,7.852931413,7.883198141,0.387816476527731,0.285014604437589,7.88757516257618
