"","copA","copZ","sprB","yosX","yotB","yotC","yotD","yotE","yotG","yotH","yotI","yotJ","yotK","yotM","csoR"
"copA",1,0.708736485316957,-0.461250767179531,0.0653582669494212,-0.0599202099422683,-0.0752016328380141,-0.11258005763092,-0.103880955418641,-0.13909776760498,-0.156913846727489,-0.0755989930293366,-0.0872190938938816,0.00780911224147435,-0.0389195050517602,0.414330261957339
"copZ",0.708736485316957,1,-0.178743832795778,0.134381371163987,0.0425303820735558,0.046614179172438,0.00982205210642284,0.0181336273492288,0.0166300743688602,0.0179710389765588,0.0595177892957831,0.0602509202483227,0.108966974511414,0.0920484286777904,0.729653099053677
"sprB",-0.461250767179531,-0.178743832795778,1,0.497021512580832,0.637855786790015,0.636482538410171,0.646927678646383,0.639241454604415,0.665169521500685,0.661379129036463,0.637072419059835,0.61130535802414,0.57041646996206,0.586903561520401,-0.205233777666679
"yosX",0.0653582669494212,0.134381371163987,0.497021512580832,1,0.952435683220424,0.949344234572156,0.94254664775407,0.946526512194869,0.926807403874946,0.916546176642974,0.943642205077643,0.946921499082878,0.948111894070074,0.946730520455797,0.0410196206176429
"yotB",-0.0599202099422683,0.0425303820735558,0.637855786790015,0.952435683220424,1,0.985595186842546,0.974195387034597,0.972079230195017,0.963332873949844,0.949760550579837,0.953601110888057,0.942357189738419,0.945792624316897,0.949547798828735,0.00780469033020698
"yotC",-0.0752016328380141,0.046614179172438,0.636482538410171,0.949344234572156,0.985595186842546,1,0.984483225039435,0.97745416037809,0.968750601300032,0.961623019892579,0.962948986934668,0.954887157900374,0.955532895743956,0.95993590729561,0.0265707758111527
"yotD",-0.11258005763092,0.00982205210642284,0.646927678646383,0.94254664775407,0.974195387034597,0.984483225039435,1,0.992401010418139,0.982999544972518,0.974175634253452,0.975774222708783,0.963558783381756,0.953823560695216,0.955344257916051,-0.025452745954613
"yotE",-0.103880955418641,0.0181336273492288,0.639241454604415,0.946526512194869,0.972079230195017,0.97745416037809,0.992401010418139,1,0.985416191676899,0.974392822564299,0.975927246065886,0.964283852291443,0.9538324376253,0.95587435381322,-0.0330261113285732
"yotG",-0.13909776760498,0.0166300743688602,0.665169521500685,0.926807403874946,0.963332873949844,0.968750601300032,0.982999544972518,0.985416191676899,1,0.991757190956343,0.983757939667196,0.972466627974312,0.948595263913993,0.955853236433487,-0.0367287708221464
"yotH",-0.156913846727489,0.0179710389765588,0.661379129036463,0.916546176642974,0.949760550579837,0.961623019892579,0.974175634253452,0.974392822564299,0.991757190956343,1,0.981224638671195,0.972320916094763,0.93724857285103,0.947766910612298,-0.017060199007488
"yotI",-0.0755989930293366,0.0595177892957831,0.637072419059835,0.943642205077643,0.953601110888057,0.962948986934668,0.975774222708783,0.975927246065886,0.983757939667196,0.981224638671195,1,0.986565223930465,0.974893052762725,0.971517453916852,0.00162835496995531
"yotJ",-0.0872190938938816,0.0602509202483227,0.61130535802414,0.946921499082878,0.942357189738419,0.954887157900374,0.963558783381756,0.964283852291443,0.972466627974312,0.972320916094763,0.986565223930465,1,0.969233560316625,0.977033784969655,-0.00776134256062198
"yotK",0.00780911224147435,0.108966974511414,0.57041646996206,0.948111894070074,0.945792624316897,0.955532895743956,0.953823560695216,0.9538324376253,0.948595263913993,0.93724857285103,0.974893052762725,0.969233560316625,1,0.989907908517085,0.0762293460693909
"yotM",-0.0389195050517602,0.0920484286777904,0.586903561520401,0.946730520455797,0.949547798828735,0.95993590729561,0.955344257916051,0.95587435381322,0.955853236433487,0.947766910612298,0.971517453916852,0.977033784969655,0.989907908517085,1,0.0604321191231615
"csoR",0.414330261957339,0.729653099053677,-0.205233777666679,0.0410196206176429,0.00780469033020698,0.0265707758111527,-0.025452745954613,-0.0330261113285732,-0.0367287708221464,-0.017060199007488,0.00162835496995531,-0.00776134256062198,0.0762293460693909,0.0604321191231615,1
