"","cotA","gerE","cotE","cotM","cotP","gerPA","gerPB","gerPC","gerPD","gerPE","gerPF","gerT","oxdD","tgl","ydgA","ydgB","yhjQ","yhjR","yisY","ytcA","ytcB","ytcC","pval","z","inv_cof_var"
"GSM672549",7.324245353,10.6382342,8.770366914,7.751708178,7.271870446,7.752718959,8.016636059,8.087730855,7.546432714,7.537504833,7.902549071,7.122063197,7.418300743,8.772980297,7.209154275,7.224067844,7.59084052,7.256120446,8.814584758,7.083947212,7.105244981,7.136520074,0.419793802153475,0.202421010572665,13.630629039198
"GSM672550",7.368476952,10.96242974,8.573867658,8.037214126,7.273359108,8.00638513,7.964062082,7.858394796,7.429003346,7.412204089,7.718056506,7.105244981,7.32036171,8.636723792,7.108245353,7.046248699,7.600063197,7.169377323,8.717047212,7.079829368,7.145996283,7.137790335,0.370299078611052,0.331061334080797,14.1077761593731
"GSM672551",7.244748699,11.00960112,8.67227658,7.872061338,7.291884758,7.553907435,7.846815613,7.910605948,7.415719331,7.389852788,7.684879182,7.251327138,7.258240892,8.694099628,7.238387361,7.226811896,7.419142751,7.127238662,8.719429368,7.077814498,7.103652416,7.032744424,0.366188904009296,0.341964234661638,14.1482167263107
"GSM672552",7.305377323,11.50542677,8.140407807,8.038151301,7.286219145,8.025824907,7.570010595,7.506061338,7.090538104,7.576460967,7.66687881,7.461993309,7.170605948,8.412957249,7.419142751,7.34665948,7.205772862,7.106628996,8.747633457,7.342844981,7.169377323,7.155304089,0.166987944348482,0.966136487476235,16.463369431169
"GSM672553",7.414878439,11.1649145,8.227065428,7.855413383,7.277204089,7.776724164,7.499016357,7.425346468,7.304376952,7.464571004,7.704079926,7.337226766,7.269249814,8.474837918,7.19202974,7.133884387,7.381883829,7.013033457,8.604154275,7.131827323,7.232614498,7.10982342,0.139601810693017,1.08211007087163,16.8935336271569
"GSM672554",7.466668773,10.51776357,8.500448327,7.968440892,7.170605948,7.578592565,7.598663755,7.374932714,7.311718959,7.35522119,7.757776208,7.212406691,7.20119777,8.414241264,7.251828625,7.243707063,7.392457621,7.085886989,8.918543866,7.11902119,7.273359108,7.274901673,0.277733191719228,0.589588768445162,15.0666949293917
"GSM672555",7.505216357,9.857714498,8.760095167,8.393543866,7.240568401,8.133879926,8.166616729,8.265997026,7.981871747,7.954822677,8.064017472,7.387064312,7.328675093,8.190704833,7.197662082,7.209154275,7.105244981,7.113688662,8.790155019,7.175556134,7.137790335,7.095920446,0.44556336804297,0.136878623086274,13.3875220523242
"GSM672556",7.496847212,10.07193197,8.643419703,8.247687361,7.35901487,7.844722677,7.993102602,8.093958364,7.789927323,8.099323048,8.072042007,7.480480297,7.363712268,8.117831227,7.235277695,7.190369888,7.106628996,7.05796171,8.720079182,7.155304089,7.277204089,7.187841264,0.284975893623376,0.568122505188883,14.9870731948195
"GSM672557",7.526127138,10.43080074,8.521008922,8.076719703,7.43247658,7.781533457,7.858889033,8.028971747,7.999680483,8.037214126,8.101442751,7.335327509,7.343718587,8.249947584,7.2523671,7.150183271,7.236266543,6.948236803,8.57858513,7.124948327,7.206927881,7.183873606,0.235098870185159,0.72215735237128,15.5584125830872
"GSM672566",7.423486245,11.2363461,8.450677695,7.878071747,7.183873606,7.47143829,7.510571747,7.753662454,7.676433829,7.719550558,7.748886989,7.176684387,7.245240149,8.103662082,7.128825651,7.128825651,7.405287361,7.171866543,7.928262825,7.131196654,7.116044981,7.123569888,0.0326858266285902,1.84270801436484,19.7147105991346
