"","cotA","cotE","cotM","cotP","gerPA","gerPB","gerPC","gerPD","gerPE","gerPF","gerT","oxdD","tgl","ydgA","ydgB","yhjQ","yhjR","yisY","ytcA","ytcB","ytcC","gerE"
"cotA",1,0.973378626083276,0.982501945586491,0.976533422298623,0.975361207567028,0.972681139994147,0.974550094078366,0.976928565429244,0.97838140787628,0.97872895299728,0.981263263977692,0.982176548694356,0.960839330400099,0.977200999465966,0.975250325490629,0.94867273118702,0.979988310711381,0.940420576999376,0.98521913206627,0.984736755874343,0.98444085861937,0.915206341234159
"cotE",0.973378626083276,1,0.981460161411718,0.985351885976759,0.981228172869692,0.983505941873438,0.986890355427958,0.98734744696042,0.988497450139874,0.990896676875293,0.988116934034853,0.993061716423114,0.984791050103305,0.988374881456564,0.986877802321928,0.97389282287049,0.99133888234612,0.968558951630081,0.989713052320485,0.988772806418951,0.989967584810396,0.927863276634684
"cotM",0.982501945586491,0.981460161411718,1,0.98364553419031,0.974894647076159,0.971124024246815,0.974029402483584,0.978608224598986,0.979869072747742,0.981049484287956,0.981885910585659,0.984465049708623,0.974630477243608,0.982350121526912,0.981440006796869,0.963951516840558,0.985147549140984,0.954216922519678,0.983727928604672,0.982829718841785,0.984463063772353,0.908915365048825
"cotP",0.976533422298623,0.985351885976759,0.98364553419031,1,0.987532143670228,0.988754315669041,0.989486750388161,0.991100515711267,0.991219255188029,0.99351696817835,0.993118772472281,0.994248653478916,0.990596665196037,0.997933049962321,0.998272605045501,0.972682829982108,0.993196282197416,0.974433327024956,0.992536802114999,0.99174890211894,0.993316601036422,0.931347723901534
"gerPA",0.975361207567028,0.981228172869692,0.974894647076159,0.987532143670228,1,0.997043510556524,0.995114859461414,0.992964577130637,0.992970878414882,0.989066573047038,0.988381487232367,0.990954286289737,0.982302616559481,0.989873599538184,0.988471150445404,0.964966657915748,0.987684466152833,0.967392097820443,0.98813995925997,0.987106162604141,0.987610110013178,0.931013225481606
"gerPB",0.972681139994147,0.983505941873438,0.971124024246815,0.988754315669041,0.997043510556524,1,0.998471287055213,0.995454041458541,0.995232962702322,0.991022921964509,0.989468547070863,0.992110164924477,0.984713557445356,0.991430357347927,0.99048122334852,0.964885288280229,0.989044007975925,0.970344406804601,0.987599509516068,0.986877888228085,0.987411549552215,0.933491618692074
"gerPC",0.974550094078366,0.986890355427958,0.974029402483584,0.989486750388161,0.995114859461414,0.998471287055213,1,0.996945774969843,0.99668595870215,0.992998633993451,0.990899517706016,0.993665397372036,0.98617500760306,0.992049754807339,0.991295700534964,0.966140949108427,0.990729308819844,0.970195547217566,0.988885400427539,0.987962716127714,0.988821031508446,0.93112306728764
"gerPD",0.976928565429244,0.98734744696042,0.978608224598986,0.991100515711267,0.992964577130637,0.995454041458541,0.996945774969843,1,0.998639700555218,0.994328131844768,0.990861938225839,0.994424694690982,0.986689529592838,0.992256136868421,0.991596688984602,0.966904236070533,0.989803720533096,0.969768217389099,0.988717578972527,0.987774059798541,0.988795550745959,0.931045733439034
"gerPE",0.97838140787628,0.988497450139874,0.979869072747742,0.991219255188029,0.992970878414882,0.995232962702322,0.99668595870215,0.998639700555218,1,0.995415931795095,0.992073697264101,0.994849077019624,0.986846062067848,0.992841759983411,0.991942822568488,0.96723071588369,0.990646059626432,0.970955566472155,0.990238642676082,0.989283689384402,0.990323464898882,0.932715937422952
"gerPF",0.97872895299728,0.990896676875293,0.981049484287956,0.99351696817835,0.989066573047038,0.991022921964509,0.992998633993451,0.994328131844768,0.995415931795095,1,0.995929144884525,0.99570680458312,0.989315562186546,0.994549086931403,0.994368452329527,0.971232467499328,0.993311839287074,0.973839697931862,0.993768271483647,0.992932390137582,0.993352558854879,0.937364204063044
"gerT",0.981263263977692,0.988116934034853,0.981885910585659,0.993118772472281,0.988381487232367,0.989468547070863,0.990899517706016,0.990861938225839,0.992073697264101,0.995929144884525,1,0.993981507564744,0.985604304295582,0.994698297076002,0.994058825625935,0.970966006322191,0.993406352448011,0.96971901475614,0.995185401196295,0.993896855522632,0.994454561243825,0.940388528345512
"oxdD",0.982176548694356,0.993061716423114,0.984465049708623,0.994248653478916,0.990954286289737,0.992110164924477,0.993665397372036,0.994424694690982,0.994849077019624,0.99570680458312,0.993981507564744,1,0.990478311222454,0.995854531531744,0.994429957420508,0.975177754863306,0.996570709743552,0.976705445027857,0.996668016347659,0.996285360870497,0.996639769448803,0.933032151318161
"tgl",0.960839330400099,0.984791050103305,0.974630477243608,0.990596665196037,0.982302616559481,0.984713557445356,0.98617500760306,0.986689529592838,0.986846062067848,0.989315562186546,0.985604304295582,0.990478311222454,1,0.990652798175017,0.990945983622194,0.972410443860689,0.989145947945827,0.977751637051057,0.986257981199345,0.985249367095858,0.986584456603328,0.92614030693029
"ydgA",0.977200999465966,0.988374881456564,0.982350121526912,0.997933049962321,0.989873599538184,0.991430357347927,0.992049754807339,0.992256136868421,0.992841759983411,0.994549086931403,0.994698297076002,0.995854531531744,0.990652798175017,1,0.999076419928305,0.973224572031235,0.995194035068742,0.974326217613939,0.994352800081485,0.993225294510206,0.994628220091685,0.936906092142162
"ydgB",0.975250325490629,0.986877802321928,0.981440006796869,0.998272605045501,0.988471150445404,0.99048122334852,0.991295700534964,0.991596688984602,0.991942822568488,0.994368452329527,0.994058825625935,0.994429957420508,0.990945983622194,0.999076419928305,1,0.973270659859492,0.994546243164706,0.973352117946586,0.99291691115588,0.991684126692032,0.993142792628511,0.932972828070856
"yhjQ",0.94867273118702,0.97389282287049,0.963951516840558,0.972682829982108,0.964966657915748,0.964885288280229,0.966140949108427,0.966904236070533,0.96723071588369,0.971232467499328,0.970966006322191,0.975177754863306,0.972410443860689,0.973224572031235,0.973270659859492,1,0.977897617079669,0.962298099530956,0.973171106270051,0.973421970490875,0.973171313250184,0.909389925977393
"yhjR",0.979988310711381,0.99133888234612,0.985147549140984,0.993196282197416,0.987684466152833,0.989044007975925,0.990729308819844,0.989803720533096,0.990646059626432,0.993311839287074,0.993406352448011,0.996570709743552,0.989145947945827,0.995194035068742,0.994546243164706,0.977897617079669,1,0.974754585499923,0.994544814530007,0.993734967254279,0.994109274824314,0.926127649728584
"yisY",0.940420576999376,0.968558951630081,0.954216922519678,0.974433327024956,0.967392097820443,0.970344406804601,0.970195547217566,0.969768217389099,0.970955566472155,0.973839697931862,0.96971901475614,0.976705445027857,0.977751637051057,0.974326217613939,0.973352117946586,0.962298099530956,0.974754585499923,1,0.969467689983661,0.970248980053233,0.968942857441966,0.902558448234016
"ytcA",0.98521913206627,0.989713052320485,0.983727928604672,0.992536802114999,0.98813995925997,0.987599509516068,0.988885400427539,0.988717578972527,0.990238642676082,0.993768271483647,0.995185401196295,0.996668016347659,0.986257981199345,0.994352800081485,0.99291691115588,0.973171106270051,0.994544814530007,0.969467689983661,1,0.999140908503777,0.999214440037294,0.939413367621772
"ytcB",0.984736755874343,0.988772806418951,0.982829718841785,0.99174890211894,0.987106162604141,0.986877888228085,0.987962716127714,0.987774059798541,0.989283689384402,0.992932390137582,0.993896855522632,0.996285360870497,0.985249367095858,0.993225294510206,0.991684126692032,0.973421970490875,0.993734967254279,0.970248980053233,0.999140908503777,1,0.998838124190928,0.937540434272677
"ytcC",0.98444085861937,0.989967584810396,0.984463063772353,0.993316601036422,0.987610110013178,0.987411549552215,0.988821031508446,0.988795550745959,0.990323464898882,0.993352558854879,0.994454561243825,0.996639769448803,0.986584456603328,0.994628220091685,0.993142792628511,0.973171313250184,0.994109274824314,0.968942857441966,0.999214440037294,0.998838124190928,1,0.940118097968742
