"","cotB","gerR","spoIIID","gerE","cotH","ywrJ","pval","z","inv_cof_var"
"GSM672549",8.305863941,9.07303197,7.131196654,10.6382342,7.697311524,7.936460595,0.213650309732792,0.793819327144796,26.027790838306
"GSM672550",8.367407435,8.814584758,7.116789405,10.96242974,7.605464312,7.929290335,0.464483884526115,0.0891436232249381,20.8353527694535
"GSM672551",8.204912268,8.818431227,7.150183271,11.00960112,7.643193309,7.899507435,0.139705264905361,1.08164448484899,28.1486448676464
"GSM672553",7.967410409,8.191898141,7.137790335,11.1649145,7.359462268,7.682123792,0.247122366119569,0.683573168933119,25.215436523181
"GSM672554",8.052390335,8.381562454,7.122063197,10.51776357,7.423486245,7.657518959,0.289847542423953,0.553830160868676,24.2594186975432
"GSM672555",7.896279926,8.274050558,7.385176952,9.857714498,7.330971933,7.66315539,0.182355921658143,0.906423302864982,26.8575188493346
"GSM672556",8.018659851,8.203713569,7.578592565,10.07193197,7.451171004,7.525672491,0.262810677146141,0.634704199408467,24.8553430839807
"GSM672557",7.911683643,8.715765799,7.277204089,10.43080074,7.366461338,7.545562825,0.164342206972264,0.976767207785739,27.3758514210275
"GSM672558",8.437373606,9.446366171,7.12129461,9.64251487,7.715651301,8.148954275,0.386765487008706,0.287759326143831,22.2988624820364
"GSM672560",8.42662342,9.472736431,7.174947026,9.636028996,7.8041171,7.92102974,0.286469223112306,0.563729193574711,24.3323602137352
"GSM672562",8.550620446,9.576361338,7.077814498,10.495429,7.947747212,7.841605948,0.443996699878565,0.140843725025561,21.2163075480272
"GSM672566",7.772822305,8.737856134,7.103652416,11.2363461,7.274337546,7.534707435,0.087109886457326,1.35876908385711,30.1906512965624
"GSM672567",7.812289591,8.741252416,7.508754275,11.24703346,7.371171004,7.440665428,0.0574350826600695,1.57667569644917,31.7963070391738
"GSM672568",7.780598141,8.849630483,7.475530669,11.65592045,7.265292565,7.426362454,0.131822470189661,1.11781751269276,28.4151876273823
"GSM672572",7.878071747,10.62139108,8.629306691,9.69168829,7.446739777,7.867135316,0.0633189539039614,1.52749524865655,31.4339184568216
"GSM672573",7.904584015,11.56918327,9.160485874,9.772573978,7.421246097,7.757229182,0.0698760609927365,1.4767147300237,31.0597396726823
"GSM672574",7.973584015,11.75559182,9.565701487,9.694850186,7.300564684,7.740816729,0.379198442487614,0.307586643196322,22.4449610565919
"GSM672598",8.252212268,10.44395465,7.566876952,10.1033316,7.553907435,8.092948327,0.414584483952424,0.215767519141557,21.7683872616695
"GSM672599",7.89222119,10.57679554,7.435760037,10.56992156,7.509637546,8.076222862,0.174602115583577,0.936133938210277,27.0764431476445
"GSM672600",8.20314052,9.861586245,7.281887361,10.88695465,7.485827881,7.80720632,0.413018182253529,0.219787873195864,21.7980114410271
"GSM672601",8.351857993,10.29473086,7.223523048,10.28526989,7.660233829,8.125321561,0.360073389916457,0.358262632146757,22.8183696085532
"GSM672602",7.906473978,9.947730112,7.565476952,10.88115093,7.479533457,7.738784015,0.0167989669591365,2.12486434417031,35.8356624298966
"GSM672603",8.355411152,10.3697052,7.498145353,9.752057249,7.74390632,8.148954275,0.215430235017853,0.787720058581737,25.9828480737083
"GSM672604",8.430050186,10.43819554,7.139126022,9.704783271,7.738784015,8.212000372,0.351054989829874,0.38247377204842,22.9967706004086
"GSM672606",7.8193171,9.750860223,8.259020818,10.25749294,7.314648699,8.051954647,0.482355261132116,0.0442432311926533,20.5045019914318
"GSM672608",7.787331599,8.764030483,7.898386617,9.52794684,7.398698141,7.956737175,0.178597921073056,0.920721511660596,26.9628759139443
"GSM672609",7.769860967,8.924918587,7.182719331,9.788014126,7.27630855,7.746923792,0.167781480091999,0.962969239764475,27.2741804055123
"GSM672610",7.732870632,8.596839033,7.264803346,9.481560223,7.324245353,7.567879926,0.0125342574186998,2.24034529449262,36.6865895717653
"GSM672611",7.667759108,8.678208922,7.222985502,9.423149442,7.293344238,7.471027323,0.00368373603703416,2.67976109831706,39.924446837372
"GSM672613",7.917928996,11.05172937,11.6522461,9.166081041,7.326832714,7.787331599,0.268622190692726,0.616985361193246,24.7247809408945
"GSM672615",8.428883643,10.92904517,11.7111632,9.110960595,7.669763569,8.043572119,0.444810889326117,0.1387828093679,21.201121588219
"GSM672626",8.277677695,8.596839033,7.095104089,10.02264535,7.55573197,7.901092937,0.407092245851461,0.235031232970945,21.9103328977668
"GSM672627",8.209816357,8.395967286,7.233686803,10.42009851,7.449311524,7.88627026,0.479134099853285,0.0523269249327804,20.5640670919166
"GSM672628",8.169930112,8.368715242,7.164477323,10.08906357,7.490282156,7.847688476,0.348449416268354,0.389510111047552,23.0486182152493
"GSM672629",8.117831227,8.438575465,7.22019777,10.60271673,7.43247658,7.766921933,0.367161152247797,0.339381564852929,22.679243522537
"GSM672634",7.980865428,8.629306691,7.085886989,10.05336431,7.407572119,7.707991078,0.182702905787481,0.905112460395609,26.847859841223
"GSM672635",7.834514126,8.542533829,7.114518587,9.805604833,7.40222974,7.671643494,0.0223049738368107,2.00831388171528,34.9768545345379
"GSM672636",7.786871004,8.62690223,7.456380669,10.2952948,7.32036171,7.730020074,0.0933286266613335,1.32053261746861,29.9089039869991
"GSM672637",7.879058736,8.679409665,7.194324907,10.63703123,7.399576208,7.684879182,0.0583561170717267,1.56872412736697,31.7377155058205
"GSM672639",7.945713755,8.415459851,6.978382528,10.96685353,7.407572119,7.787331599,0.147610019981403,1.0467388508749,27.8914409628484
"GSM672640",7.806252045,8.465450186,7.728157621,10.84505911,7.349563197,7.671643494,0.0482578587269151,1.66198532242287,32.4249152728356
"GSM672641",7.998623234,8.506366543,7.237405204,10.66670855,7.458304089,7.783582528,0.130006074727745,1.12636241351082,28.4781511552228
"GSM672642",7.763843123,8.320828996,7.163301115,10.50502379,7.397816729,7.542924907,0.00229867419530017,2.83397113841294,41.0607512087857
"GSM672643",7.739261896,8.432450558,7.223523048,11.18467807,7.341880669,7.552445725,0.00794084368928196,2.41162315012371,37.9486589931788
"GSM672644",7.832513011,8.287225279,7.209154275,10.78417695,7.378700743,7.599091078,0.0352638933015886,1.80850598221356,33.5045600619755
"GSM672645",8.049933457,8.548211524,7.001856877,10.86401599,7.488408178,7.790382156,0.154633747368368,1.0167602527467,27.6705421674084
"GSM672656",7.881639591,8.541937546,7.578592565,10.12925874,7.282736059,7.293869517,0.410259166855159,0.226878354617604,21.8502580070091
"GSM672666",8.236467658,10.2203197,11.72854535,9.654058736,7.650818216,7.74493197,0.254369982804496,0.660800962305136,25.0476383829171
"GSM672667",8.091320074,9.545039405,10.90736766,9.843672491,7.472380669,7.829472119,0.252174677192522,0.667662027022431,25.0981944804705
"GSM672668",8.053842379,8.919800372,9.740756506,9.799172862,7.386197398,7.791298513,0.349735314479163,0.386035160527367,23.023012869034
"GSM672669",8.091864684,8.665937918,8.93649368,9.869347584,7.47327658,7.809278067,0.249508669305629,0.676036708991576,25.1599037422334
"GSM672670",8.057889591,8.458105948,8.004321933,9.733342007,7.407572119,7.669763569,0.322662246433497,0.460267128173511,23.5699948248295
"GSM672671",8.104676952,8.406797398,7.832513011,9.847455762,7.436599814,7.665011524,0.361984510740595,0.35315929578268,22.7807654200341
"GSM672672",8.087730855,8.30718513,7.688649814,9.691046468,7.410212639,7.657518959,0.375701611508396,0.316789643588771,22.5127738239679
"GSM672673",7.975606691,8.227065428,7.552445725,9.750860223,7.372210409,7.661118587,0.238691739677732,0.710517182836145,25.4139748334129
"GSM672674",7.761926022,8.368715242,7.889139777,9.557981784,7.379622677,7.312733086,0.0731315115061243,1.45285858077493,30.8839544471573
"GSM672675",7.838514126,8.470127138,8.028432528,10.59812825,7.409369888,7.542924907,0.0252224077434669,1.9561726816332,34.5926495012781
"GSM672677",7.971019703,9.768651673,8.30718513,10.18850149,7.280100743,7.597850743,0.401151772812085,0.250367002118559,22.0233352775768
"GSM672678",8.099323048,12.05292342,10.0087881,10.08286914,7.505216357,7.625234944,0.272043305980256,0.60664487595956,24.6485865597357
"GSM672679",8.241036059,13.23891599,12.29315279,9.951659108,7.609332714,7.71320855,0.341483494145588,0.408417771662276,23.1879402554767
"GSM672683",8.166616729,9.086720446,7.296956877,10.17617398,7.665922677,7.706968401,0.137376457286164,1.09218245060597,28.2262943938901
"GSM672684",8.119482528,9.383142193,7.260295911,10.16996877,7.600991078,7.756682156,0.105025726125235,1.25342397096577,29.4144105783117
"GSM672685",8.271161338,9.200495539,7.211249442,9.765004461,7.588424164,7.720615985,0.417844685446205,0.207410387551755,21.7068073207522
"GSM672686",8.079886245,9.115095539,7.226811896,10.11216691,7.489859665,7.691536431,0.220542087472566,0.770363708307646,25.8549569410948
"GSM672687",8.016636059,9.453789963,7.256120446,10.29977138,7.586930855,7.677404833,0.0280305721584279,1.91056003552651,34.2565504435868
"GSM672688",8.156835688,9.559210037,7.304376952,10.45131152,7.467951301,7.751708178,0.376028542397953,0.315928097261087,22.5064254768842
"GSM672704",8.067376208,8.690523792,7.661118587,10.04221636,7.520542007,7.866197398,0.13617076841027,1.09768620213861,28.2668490615487
"GSM672705",8.115733457,8.67227658,7.531243866,10.2401855,7.510104647,7.929290335,0.242937380119535,0.696885008807448,25.3135254792007
"GSM672706",8.067376208,8.84164461,7.439755019,9.83625948,7.441135316,7.885181041,0.292221096987542,0.546907629324162,24.2084096786078
"GSM672707",8.35060855,8.727996283,7.314204647,10.66789145,7.661662082,8.140407807,0.360938265664506,0.355951974651242,22.8013434135573
"GSM672708",8.42662342,8.619519331,7.37402119,10.69497435,7.687710037,8.169930112,0.424711966412367,0.189853498025292,21.577438504656
"GSM672709",8.445764684,8.456971375,7.312733086,10.46258141,7.722443123,8.260122677,0.419504874991787,0.203160289434166,21.6754902608062
"GSM672710",7.966381413,10.95179145,7.336424164,9.376255762,7.478656877,7.714724907,0.0597324048291229,1.55702390620069,31.6515018426279
"GSM672711",7.968440892,11.00480892,7.330529368,9.250950186,7.54200855,7.770922305,0.0140242890861838,2.19660626827144,36.3642963756439
"GSM672712",8.021720446,11.10075985,7.470616357,9.634723792,7.411239405,7.736879182,0.244215961845961,0.692805016409822,25.283461851736
"GSM672717",8.126315242,9.284888476,9.129148699,10.12423866,7.441605204,7.722443123,0.373500204167355,0.322597076150546,22.5555661804353
"GSM672718",8.159125279,9.423149442,9.533196654,9.921168401,7.408899257,7.74493197,0.472922243303857,0.0679260690074528,20.679010163012
"GSM672722",8.42054461,8.979176952,7.189788476,11.24473197,7.652643494,7.947747212,0.473380118293273,0.0667757404780989,20.6705339098727
"GSM672724",8.068419703,9.159348327,7.205772862,10.79582193,7.621069517,7.831028439,0.0219271452734385,2.0154808504451,35.0296647010641
"GSM672725",8.1188829,8.601725651,7.403995539,9.844852788,7.570474721,7.786410409,0.134434411666525,1.10567128440991,28.3256875385074
"GSM672726",8.055976952,8.9676171,7.255019703,10.69138996,7.497289219,7.701094424,0.162974613319552,0.982305782496442,27.4166626850105
"GSM672727",8.224694424,8.574934572,7.317484015,9.61657658,7.561339777,7.8041171,0.329555363268724,0.441141271537393,23.4290649963362
"GSM672728",8.019628996,8.956307807,7.27675632,11.60144089,7.54869461,7.626144981,0.0782963606682299,1.41662456907111,30.6169623248071
"GSM672729",8.047924535,8.691702974,7.292366914,10.78417695,7.415719331,7.623303717,0.307673987289331,0.502454323687263,23.8808532789882
"GSM672730",8.004321933,8.840472491,7.183873606,10.42480074,7.382328253,7.624310781,0.280434188535774,0.581552156608295,24.4636896057386
"GSM672731",8.063084015,8.316217472,7.280100743,9.916043494,7.561339777,7.716571004,0.0850318084652432,1.37199942462374,30.2881397223424
"GSM672732",8.139266914,7.969496654,7.16059777,11.15801487,7.419965056,7.730020074,0.427930135895925,0.181646350084928,21.5169637257397
"GSM672733",8.187467286,8.529390335,7.213489591,9.418096283,7.630925279,7.885181041,0.133467138719076,1.11015027151285,28.3586911783574
"GSM672734",8.024810037,8.756268401,7.148817472,11.17905353,7.45293829,7.600991078,0.217990128076722,0.778999080918041,25.9185871148492
"GSM672735",8.014537175,8.562611152,7.077814498,10.87084572,7.420795167,7.568715242,0.264843916482268,0.628482613325805,24.8094990166394
"GSM672736",8.090775465,8.775078996,6.842628253,10.94041004,7.47327658,7.571387732,0.338905563990197,0.415451888953354,23.2397714995509
"GSM672737",8.284689219,8.930201115,7.169377323,10.65467323,7.609332714,7.731408178,0.408583523264646,0.231190195541493,21.8820300219026
"GSM672738",8.401480855,8.903206691,7.169377323,10.9612197,7.677839591,7.853407063,0.448370610416971,0.129779072198831,21.1347771018425
"GSM672739",8.419263569,8.874475465,7.183873606,10.74269703,7.698738662,7.829994238,0.466321398737168,0.0845202572952205,20.8012852670177
"GSM672744",8.361323792,9.239005576,7.105244981,10.91329926,7.600063197,7.922072862,0.464582982604727,0.0888942350112599,20.8335151399632
"GSM672746",8.144518587,9.067066543,7.334923048,10.88912007,7.470616357,7.669763569,0.38056966417196,0.303984987740848,22.4184220787417
"GSM672747",8.219970632,8.93649368,7.408000372,10.55690632,7.724405948,7.742886245,0.141007404653486,1.07580425411824,28.1056108362351
"GSM672748",8.107589591,9.430920818,7.550943123,10.57109665,7.570474721,7.59643829,0.230355901952919,0.737675269196205,25.614090547221
"GSM672749",7.790382156,10.40512788,7.305377323,9.912310037,7.293869517,7.656668401,0.102799964626594,1.26575746069772,29.5052905125137
"GSM672751",7.953687361,10.01761338,7.45163513,9.494378067,7.339055019,8.033117472,0.484312861442627,0.0393319638166269,20.4683130728303
"GSM672755",7.867135316,10.3433171,7.593509294,10.22354126,7.343281784,7.582762825,0.116369495121649,1.19333298227896,28.9716271312357
"GSM672756",7.911144796,9.919852788,7.438365428,10.28045836,7.403995539,7.551989219,0.109723579669837,1.22799949023568,29.2270690240487
"GSM672757",8.069449814,9.832570632,7.285741264,10.02391561,7.354808364,7.796198141,0.430725077403168,0.174528474420219,21.4645153039122
"GSM672764",8.188528253,8.595686989,7.561815428,9.847455762,7.456380669,7.769860967,0.442316560165525,0.145098477521239,21.2476589039903
"GSM672765",8.190704833,8.529390335,7.370159108,9.909817472,7.456380669,7.748886989,0.450479837904443,0.12444912966831,21.0955031544844
"GSM672766",8.014537175,8.966280669,7.265292565,10.29002602,7.556651301,7.408428625,0.290614522749114,0.551590355745338,24.2429145817853
"GSM672767",8.088671747,8.491805204,7.417417844,10.19194089,7.475075093,7.727243123,0.248955499254151,0.677780307958213,25.1727515381782
"GSM672768",8.117831227,8.419263569,7.162046097,9.862908178,7.392457621,7.932447212,0.469879294982967,0.0755732864851942,20.7353590663889
"GSM672769",8.317332714,8.448307063,7.127989963,10.08164275,7.568715242,7.889139777,0.450250207797202,0.125029222568228,21.0997775979486
"GSM672770",8.117831227,8.346910409,6.988712639,9.858397584,7.424458364,7.820861152,0.382211244577018,0.299678382881025,22.3866886460474
"GSM672771",8.112798513,8.468365985,7.111310409,9.773924535,7.466259108,7.803133086,0.297155277316351,0.532599924182802,24.1029826397008
"GSM672773",8.289634201,8.57858513,7.208010781,9.296919703,7.519084944,7.926234201,0.481296864346678,0.0468989954955117,20.5240711231492
"GSM672774",8.044102602,8.620707063,7.179195167,9.469037546,7.415719331,7.830516357,0.288079057355327,0.559005282957555,24.2975518427556
"GSM672775",8.180901859,8.836514498,7.364559851,9.534535316,7.490282156,7.710728625,0.397417370548189,0.260037637923334,22.094593839811
"GSM672776",8.130766914,8.702976208,7.140640149,9.981542379,7.504303346,7.74390632,0.271830224339454,0.607287023286436,24.6533182543398
"GSM672777",8.061049071,8.739067286,7.536569888,9.632133457,7.345710781,7.533066543,0.476425792702023,0.0591262064734619,20.6141679370519
"GSM672778",8.12430632,8.296347212,7.280100743,9.552804833,7.535639777,7.861327881,0.192204232629852,0.869802280034028,26.5876750161926
"GSM672779",8.100355762,8.356741636,7.177962454,9.670372119,7.505216357,7.948243866,0.239584298253517,0.707640401909533,25.3927771296806
"GSM672780",8.047924535,8.320828996,7.122063197,9.790525651,7.413121933,7.779686989,0.287489398630632,0.560734129280076,24.3102909331064
"GSM672782",8.162204833,8.464214126,7.235277695,9.458850929,7.414878439,7.859383271,0.467317964091441,0.0820135628660563,20.7828145640992
