"","cotC","gerE","spoIIID","cotD","pval","z","inv_cof_var"
"GSM672566",12.44963011,11.2363461,7.103652416,12.46166171,1.22377180599876e-41,13.4669546486313,1464.05659879306
"GSM672567",12.14178848,11.24703346,7.508754275,12.79327175,0.482371359596304,0.0442028388492601,27.0640106812382
"GSM672569",12.77412974,10.69258996,7.294394796,13.21777212,0.429215654467227,0.178371399575022,41.4276247935133
"GSM672572",12.11744535,9.69168829,8.629306691,11.95485762,0.220852156600284,0.769318405967116,104.692332372585
"GSM672573",11.24112156,9.772573978,9.160485874,11.78084387,0.470847865272737,0.0731387193726751,30.1617842549352
"GSM672574",11.9506539,9.694850186,9.565701487,11.88872416,0.0097994045607245,2.33394104552515,272.195327890861
"GSM672575",10.98965576,9.748265056,15.07704164,11.14034721,0.223213175234986,0.76138632916471,103.843152134812
"GSM672578",11.03188587,9.453789963,15.87744201,10.81497212,0.323966766833227,0.456634838973928,71.2175296971654
"GSM672579",11.29765019,10.02884981,16.08663829,10.62500372,0.497339465647136,0.00666902006921926,23.0457720849509
"GSM672618",16.39080818,15.66117193,14.24448885,16.10869665,0.290370650665713,0.552302232460207,81.4593442901742
"GSM672619",16.40455576,15.13492268,14.50030743,16.37624089,5.10514177723289e-14,7.43815290997709,818.634293708927
"GSM672620",16.28248513,14.6242052,15.15962193,15.71146506,0.435859427896135,0.161475564122022,39.6188160887122
"GSM672621",16.35571933,15.0717881,15.57326431,15.56470372,0.476899227072352,0.0579374478395296,28.5343896019933
"GSM672634",12.11942565,10.05336431,7.085886989,12.80310595,0.487165665517717,0.0321764570156575,25.7765085504087
"GSM672635",12.73028625,9.805604833,7.114518587,12.95655428,0.294175931628688,0.541225935372064,80.2735548898377
"GSM672642",11.91307974,10.50502379,7.163301115,11.97097658,0.00593235473703019,2.51614281472348,291.70120832352
"GSM672643",13.66754238,11.18467807,7.223523048,12.94794461,0.485761675683561,0.0356977666583183,26.1534875729414
"GSM672644",12.75695279,10.78417695,7.209154275,12.8156342,0.00379517742462337,2.6697685478732,308.147838866037
"GSM672646",15.35256022,13.73114758,13.91831896,14.58543234,0.48039255337126,0.0491683839379623,27.5956044698681
"GSM672647",15.72398736,14.37361413,14.66569628,15.4060026,0.330687698457124,0.43801501787979,69.2241571545289
"GSM672649",16.13797361,14.57775836,14.36693011,15.84610186,0.303208871341675,0.515193597373921,77.4866243643631
"GSM672650",15.68968439,14.42564907,14.25402268,15.42020595,0.28981910256647,0.553913266882262,81.631815967852
"GSM672692",12.22466394,11.02488141,12.52685316,12.89065985,0.483854495141998,0.0404818330628675,26.6656528920798
"GSM672694",12.52544535,11.54879591,11.35451468,12.91305019,0.411033670336283,0.224886797040586,46.4073996070786
"GSM672700",10.91329926,9.053477323,14.71898885,11.32477955,0.441028469545249,0.148362188370543,38.2149442130311
"GSM672789",13.1136368,12.43696729,7.623303717,13.8485,0.48654277119135,0.0337386699130808,25.9437535674114
"GSM672790",13.6940316,12.13914164,7.422534201,13.30210743,0.402701799793164,0.246359958536559,48.706240735211
"GSM672791",13.01151115,11.45977212,7.380567286,13.13193197,0.110221865124699,1.2253490623007,153.513370144107
"GSM672792",13.26165428,11.31787472,7.429003346,13.15065688,0.0864275376467838,1.36308705728543,168.259115331035
"GSM672793",13.45520892,11.16154387,7.312226022,13.03131561,0.41913483013929,0.204107286647061,44.1828183257405
"GSM672796",12.11117286,10.58518067,7.180258364,12.57097026,0.441976283864141,0.145960503940133,37.9578283269303
