"","csgA","spoVT","gdh","gerAA","gerAB","gerAC","gerKA","gerKB","gerKC","glcU","gpr","spoIIP","tepA","ybxH","ykoS","ykoT","ylzJ","yqjB","yqjC","pval","z","inv_cof_var"
"GSM672550",7.551989219,11.80505465,7.438816357,7.315667658,7.634766543,7.74493197,8.03152342,8.589718216,8.195918216,7.19202974,7.760930855,7.704079926,8.70175539,7.305377323,7.661118587,7.847688476,8.355411152,7.934886989,7.971537918,0.478135777411252,0.0548329434163069,18.3635705072529
"GSM672551",7.696285502,11.96963309,7.436165428,7.349563197,7.703069517,7.736879182,7.837495167,8.415459851,8.26657342,7.140640149,7.854380669,7.778707063,8.715765799,7.362719331,7.541188476,7.790382156,8.461138848,7.931921004,8.000223048,0.452152574635745,0.120224703334534,18.7570001257811
"GSM672552",7.470616357,11.50648104,7.619773234,7.482289963,7.622386245,7.738784015,7.414878439,8.253332714,7.765909294,7.223523048,7.817295911,7.810275465,8.078779554,7.292366914,7.450703903,7.758813755,7.936460595,7.529364684,7.47143829,0.0417110721329799,1.73116609703796,28.4492313608571
"GSM672553",7.411239405,11.92156208,7.581318587,7.235277695,7.462750558,7.614147955,7.69967342,8.34510632,7.838514126,7.18144684,7.80720632,7.881148327,8.320828996,7.229985874,7.589801115,7.8573171,8.069449814,7.564976208,7.676433829,0.210899606481965,0.803303712011056,22.8667459736416
"GSM672554",7.485827881,12.16591599,7.523875465,7.249794424,7.502083271,7.72549145,7.573260223,8.41797881,7.919,7.268254275,7.906473978,8.03609145,8.481003346,7.233129368,7.682123792,7.890733643,8.264835316,7.763338662,7.787331599,0.322959889034834,0.459437842950719,20.797876472982
"GSM672555",7.275465799,10.72997732,7.464571004,7.281887361,7.752718959,7.557595911,7.301544238,8.3906171,7.615062082,7.005772862,7.83154052,8.024301487,8.496584015,7.185085502,7.546432714,7.806252045,8.139266914,7.568715242,7.833525279,0.448881714092075,0.128487198735112,18.8067114413598
"GSM672556",7.495428625,11.01321561,7.47327658,7.330054833,7.791298513,7.655596654,7.366461338,8.330175836,7.502083271,6.983714126,7.79415316,8.025824907,8.464214126,7.260295911,7.539566543,7.82857658,8.01508197,7.702029368,7.713698885,0.32563023424285,0.452011818340432,20.7531977851281
"GSM672557",7.414423978,10.9612197,7.347610037,7.279125651,7.333413755,7.502960409,7.318883457,8.436023792,7.406658364,7.283749814,7.866197398,8.069449814,8.416739033,7.275465799,7.484089591,7.726288476,8.199758736,7.748886989,7.582311152,0.406560305089207,0.236402172982273,19.4559820406621
"GSM672566",7.517730112,12.00980706,7.331414498,7.195415613,7.395085502,7.55006171,7.683043494,8.191301487,7.796198141,7.133884387,7.987515799,8.008369145,8.344507435,7.270249071,7.399576208,7.651796654,8.047924535,7.687710037,7.701094424,0.258589047841485,0.647701404472356,21.9305644643259
"GSM672567",7.643193309,11.88133755,7.297434572,7.203504833,7.416600743,7.54869461,7.711727881,8.1188829,7.980317472,7.105936989,8.038151301,7.960021933,8.683216729,7.448477695,7.352536803,7.669763569,8.279827881,7.766921933,7.780598141,0.432927669907964,0.16892537479615,19.0500077863666
"GSM672568",7.589801115,12.14450074,7.456380669,7.209154275,7.248830483,7.629038662,7.697311524,8.013526394,8.036652788,7.219695725,8.073602602,8.045720074,8.442299257,7.478656877,7.272425279,7.586030483,8.316217472,7.722443123,7.803133086,0.340707765408724,0.410532277630318,20.5036360681975
"GSM672569",7.687710037,11.3149829,7.287647584,7.247768401,7.690520446,7.557595911,7.40575539,7.885181041,7.578184944,6.983714126,7.676433829,7.731850929,8.142416357,7.339055019,7.342844981,7.486659108,7.751708178,7.71755316,7.78791487,0.0523026431035726,1.62292571267334,27.7980029311104
"GSM672570",7.622386245,11.67439108,7.269249814,7.344720818,7.771423234,7.568715242,7.361776952,7.89425539,7.580478067,7.009724907,7.682583643,7.737766543,8.098244981,7.338213011,7.414878439,7.451171004,7.696285502,7.784062454,7.719550558,0.0315119748455018,1.85902249658989,29.2184795744701
"GSM672571",7.757776208,11.49708959,7.326832714,7.243707063,7.417417844,7.504303346,7.457263941,7.922072862,7.72549145,7.013033457,7.810275465,7.812289591,8.151339033,7.325943494,7.366461338,7.531243866,7.8193171,7.853407063,7.824440149,0.0901754212777129,1.33967557238304,26.0938280506388
"GSM672608",8.146702602,11.37447026,7.577777323,7.741947584,8.367407435,7.816307063,7.359909665,8.012508922,7.429891078,7.360777323,7.574069517,7.525212082,8.155705948,7.757229182,7.505216357,7.465363941,7.818343866,7.789927323,7.985909665,0.089893809136044,1.34140924293612,26.1042586820395
"GSM672609",7.650009665,11.38451078,7.703069517,7.469724535,7.727243123,7.578592565,7.586930855,8.264835316,7.841605948,7.165705948,8.144518587,8.184210409,8.60996171,7.401328996,7.508754275,7.79415316,8.218820074,7.941649071,8.098244981,0.294253762614163,0.541000083398159,21.2885958111015
"GSM672610",8.320828996,11.14034721,9.06446803,7.729094424,7.79415316,7.762834201,8.133879926,8.549405204,8.349314126,8.874475465,8.375895167,8.379198513,9.148971747,7.966381413,7.915737175,8.186486989,8.659134201,7.983840149,8.1188829,0.417247507970005,0.208940079173492,19.2907563133734
"GSM672613",8.570050929,11.13711487,9.150171375,7.919985874,8.093958364,7.964062082,7.643193309,8.113799628,7.822368401,8.355411152,8.156835688,8.419263569,8.731679926,7.914788104,7.874073978,8.056952788,8.456971375,7.879058736,7.714211896,0.315156159561857,0.481287304018656,20.9293337872331
"GSM672615",8.813281784,11.19995948,8.723092565,7.602832714,7.728157621,7.739739777,7.947747212,8.503986617,8.137154275,8.554138662,8.399660595,8.702976208,9.106116729,8.150184387,8.047924535,8.272876208,8.671066914,7.902549071,7.795259851,0.445262585290283,0.13763970945758,18.8617775354153
"GSM672624",7.547315613,11.12871487,7.465363941,7.305377323,7.367472119,7.513250186,7.556651301,7.960496097,7.817295911,7.301544238,7.731850929,7.800219703,8.317332714,7.154222305,7.66687881,7.638374721,8.051954647,7.735995539,7.789472491,0.0816574942516058,1.39400866347584,26.4207231721163
"GSM672625",7.561339777,11.06334126,7.435354647,7.283749814,7.362719331,7.470616357,7.535639777,7.950685502,7.835530855,7.243707063,7.748886989,7.849694796,8.349314126,7.319405948,7.59084052,7.702029368,8.063084015,7.6393,7.76787026,0.0861644381769732,1.3647587859089,26.24474124125
"GSM672626",7.566876952,11.13976989,7.383236059,7.459166171,7.46360223,7.640334201,7.760930855,8.180901859,8.075726022,7.05993829,7.978735688,8.002232714,8.571306691,7.481363197,7.720615985,7.845779182,8.276495167,7.935463197,7.977637546,0.301259354920407,0.520781905011934,21.1669531114743
"GSM672627",7.485827881,10.88912007,7.410212639,7.340946468,7.45293829,7.614147955,7.551989219,7.909552788,7.867135316,7.091472119,7.967410409,8.029918216,8.287225279,7.389437732,7.535639777,7.772822305,8.109748699,7.849694796,7.619773234,0.131730701394125,1.1182472650221,24.7616043177816
"GSM672628",7.565977695,10.74155985,7.366461338,7.445860967,7.309210409,7.600991078,7.576928996,8.053842379,7.810275465,7.170605948,8.00989777,8.089684015,8.366150929,7.303552045,7.58419145,7.712718216,8.14140223,7.736879182,7.691969517,0.188604532249146,0.883050356760006,23.3465417776041
"GSM672629",7.514108178,10.89585316,7.260815056,7.297434572,7.369321561,7.575073978,7.536569888,7.919,7.765909294,7.066749814,7.811251301,7.900626766,8.183118216,7.354808364,7.515012639,7.649154647,7.962027881,7.706968401,7.755745725,0.0762719921203135,1.43060314977837,26.6408939521082
