"","csgA","gdh","gerAA","gerAB","gerAC","gerKA","gerKB","gerKC","glcU","gpr","spoIIP","tepA","ybxH","ykoS","ykoT","ylzJ","yqjB","yqjC","spoVT"
"csgA",1,0.614983005248141,0.373805395671818,0.316628547801946,0.108212351405613,-0.100906106563989,-0.252409138536374,-0.156852382323467,0.661625933365328,0.336003037239345,0.374775344057285,0.0563321452967548,0.843654478858444,0.218405325740033,-0.00386948589298707,-0.0142847046525396,-0.0587880365216526,-0.185375656237636,-0.0355183005989622
"gdh",0.614983005248141,1,0.500079704952633,0.23279874127249,0.291861549296543,0.296824643299363,0.0815268667956076,0.209644238250157,0.897835819912304,0.556056774751148,0.537135393167364,0.435272858132889,0.584695675708731,0.394256684183652,0.338733424980202,0.395591681940049,0.0967906347284367,0.0707143123048426,0.0628708254748056
"gerAA",0.373805395671818,0.500079704952633,1,0.462488892776403,0.626003939595607,-0.0206563038236721,-0.0814498523606918,0.0124502470361766,0.453345779120491,0.279762370769279,0.248753295017772,0.0692884650622353,0.271560836508036,0.066409310298277,-0.0290565088004614,-0.0661074409818149,0.0600592792151206,-0.0821146470228999,-0.272759108078594
"gerAB",0.316628547801946,0.23279874127249,0.462488892776403,1,0.419113224164066,-0.17100295137906,-0.0332195507096171,-0.304410689367876,0.261845665013618,-0.122372030596755,0.0265095447864891,0.0111308915643261,0.352387041278111,0.0582858273950197,-0.136230971778691,-0.180611749702492,-0.207527064025332,-0.191231073680187,-0.0466894970235851
"gerAC",0.108212351405613,0.291861549296543,0.626003939595607,0.419113224164066,1,0.0239883971009656,0.143269664296912,0.114404705720077,0.16071012496343,0.190678068079888,0.0841270396760134,0.104563235864986,0.178204358130019,-0.070208078756687,0.0061739543793751,0.112399732820942,0.0549782230756943,-0.0943722045081979,-0.0251992973475322
"gerKA",-0.100906106563989,0.296824643299363,-0.0206563038236721,-0.17100295137906,0.0239883971009656,1,0.519556118689391,0.845207091750046,0.220463617588701,0.241390789626824,0.138957304244567,0.690886229721792,-0.0972177677727573,0.553993466628377,0.566091561694741,0.677386702718134,0.546756045205178,0.612686070999186,0.358261229183047
"gerKB",-0.252409138536374,0.0815268667956076,-0.0814498523606918,-0.0332195507096171,0.143269664296912,0.519556118689391,1,0.607838678526623,0.0575669895831354,0.164688555778609,0.211170358213877,0.396045674556884,-0.199386213424693,0.399887770213404,0.591230405338587,0.455907684367207,0.12575855103548,0.349881081136468,0.200190185069512
"gerKC",-0.156852382323467,0.209644238250157,0.0124502470361766,-0.304410689367876,0.114404705720077,0.845207091750046,0.607838678526623,1,0.127759626853976,0.295045478896453,0.148962641928392,0.592608868552838,-0.192999114716028,0.501933293352468,0.622187877347019,0.672235279939514,0.539448706691353,0.579310329470028,0.268353180309846
"glcU",0.661625933365328,0.897835819912304,0.453345779120491,0.261845665013618,0.16071012496343,0.220463617588701,0.0575669895831354,0.127759626853976,1,0.551114375430074,0.594319261607364,0.360066675068356,0.626056708640565,0.349596276123344,0.204624596892311,0.294285191985209,-0.0198509893255692,-0.0011480980828564,0.0304522145445169
"gpr",0.336003037239345,0.556056774751148,0.279762370769279,-0.122372030596755,0.190678068079888,0.241390789626824,0.164688555778609,0.295045478896453,0.551114375430074,1,0.779356146507047,0.390561256412968,0.321507424725435,0.341700046763504,0.419478732147695,0.41752161171014,0.145106271829258,0.182729653048056,-0.08910555529639
