"","acpK","codY","abrB","pksC","pksD","pksE","pksF","pksG","pksH","pksI","pksJ","pksL","pksM","pksN","pksR","pval","z","inv_cof_var"
"GSM672554",9.59425316,13.46569219,13.44091413,11.30132639,10.1897539,9.796913383,9.344704833,9.29868197,9.278698513,9.160485874,9.078164312,9.307943123,9.202943866,9.630962082,9.947730112,0.175698581169404,0.931882674465796,15.9649676586799
"GSM672555",12.91488662,14.43607286,11.8281881,14.09313569,13.58822193,13.21581859,12.23579331,11.79984164,11.74397416,11.53991375,11.81292007,11.92156208,11.24473197,11.56918327,11.77446952,0.357723184670167,0.364551305454023,13.7696284677584
"GSM672556",13.15597175,14.69906245,12.22879703,13.9789632,13.70641859,13.33142937,12.59205613,12.15447286,11.94543792,11.69607844,12.24615948,12.37832454,11.61025167,11.83606431,12.17742788,0.166354335862957,0.968672391471574,16.1073287407162
"GSM672557",13.02354647,14.69906245,12.30054126,13.88738959,13.45520892,13.17780409,12.61945911,12.08684164,12.02449777,11.64738439,12.30746208,12.43780892,11.59011673,12.01371413,12.2163461,0.078561982638504,1.41481083896117,17.8337011428924
"GSM672566",10.7252513,13.9254487,15.32970632,11.94006097,11.68608067,11.21956524,10.39436654,9.657711524,9.582884758,9.263217472,9.793090335,10.25613717,10.1039619,9.90340855,10.19320037,0.470769090448984,0.0733367088464453,12.6427476855189
"GSM672571",12.38563941,12.88900186,14.8030119,13.20505651,12.4547881,12.34786914,12.05292342,11.61993123,11.58061766,11.7060368,11.77697584,11.65105948,10.46318996,10.26495056,9.978907063,0.483731321767761,0.0407908379530461,12.5168085434626
"GSM672572",13.35250967,13.30973011,13.15065688,14.18664647,13.50622305,13.31550074,12.9331223,12.22305651,12.16173569,12.12529108,12.12665576,12.43925799,11.99392119,12.30338885,12.63305613,0.053968691610288,1.60753351613114,18.5794586829832
"GSM672573",13.57855,12.98202045,13.03748513,14.31970743,13.55136803,13.4450803,13.30585762,12.78510967,12.52980595,12.59205613,12.80470855,13.00807138,12.40656468,12.58745911,12.76305799,0.00191891603420108,2.89119230008903,23.546690516298
"GSM672574",13.13574721,13.4450803,12.95488401,14.13440409,13.04265836,13.02854461,12.62237993,11.99907435,12.18154349,11.98715093,12.32742639,12.6482026,11.90309033,12.29465353,12.57565725,0.0190295634162847,2.07421737986249,20.385333400619
"GSM672575",12.2758855,14.39777584,13.12605204,13.38472454,12.74603086,12.22177807,12.07722007,11.11701859,11.05797546,11.15429703,11.12277175,11.36968216,10.76314907,11.03072193,11.37927323,0.274687214728646,0.598697792617155,14.6756791248571
"GSM672576",12.17600892,13.95159331,12.11264312,13.21968216,12.42567472,12.11473941,11.92414164,11.40708606,11.30426059,11.18252342,11.19573941,11.51009108,10.85317881,10.93698327,11.03815706,0.126631288247951,1.14246069099119,16.7798180224628
"GSM672577",12.22466394,14.44658587,11.07273717,12.26155651,10.78529777,11.26785613,11.63930279,10.93189145,10.68896989,10.28401264,11.37209145,11.83674572,10.91210632,11.19509517,11.62372862,0.0435108863872802,1.71132153661715,18.9810756591747
"GSM672578",11.51739071,14.07618625,11.74086617,12.55413048,11.43817398,11.09734126,11.01436617,10.3503487,10.21518253,10.16996877,10.15945743,10.51542156,9.765004461,9.995141264,10.53229405,0.357526493270577,0.365078262720793,13.7716675757698
"GSM672579",11.81669368,14.1456342,11.76055242,12.24392268,11.34699628,11.24960967,11.08095762,10.56992156,10.54389442,10.3433171,10.60219554,11.21415576,10.44625204,10.72404349,11.2284513,0.0331338310331751,1.83660883530017,19.4658860044983
"GSM672580",11.545929,14.35301933,11.98993309,11.99250855,10.87084572,10.94499814,11.05639108,10.3261487,10.12073346,10.02264535,10.31343922,10.79582193,10.06692714,10.48577063,10.94614238,0.0670304205912137,1.4982787559161,18.1566876711976
"GSM672581",10.97474461,13.82289926,11.61880967,12.04866431,11.35503383,11.04339219,10.82892454,10.00255502,9.900917844,9.907265799,9.873116357,10.20170595,9.41617658,9.853855762,10.40149368,0.343736424296214,0.402286962320754,13.9156499482187
"GSM672582",11.16042491,13.7935658,11.37801599,12.06073494,11.01917918,10.72635353,10.75493755,9.853855762,9.778504089,9.752057249,9.800424907,10.2324013,9.283654275,9.938197955,10.40642565,0.366220458277305,0.341880378512313,13.6819012996021
"GSM672583",11.15552937,13.78374796,11.55308104,12.01236766,10.96685353,10.74380595,10.73234387,9.826052045,9.865482528,9.801787361,9.814483271,10.15317714,9.412865428,9.84866803,10.35757398,0.313952275946565,0.484678313891452,14.2344706110198
"GSM672586",10.67147621,13.4450803,11.70220223,10.55939517,10.28659294,9.876147212,10.10699257,8.976527138,9.237713383,8.900716729,9.338898513,9.855135316,8.950156134,9.757262825,10.49909703,0.223550463520044,0.760257087716477,15.30084718635
"GSM672589",10.66912045,13.45520892,11.68483494,10.20362026,10.09135651,9.582884758,10.09429981,8.987587732,8.985678439,8.837883643,9.218575465,9.679448327,8.731679926,9.434879926,10.36110929,0.237138170194111,0.715538531663217,15.1278047564273
"GSM672590",10.64806134,13.59499257,11.00480892,10.36235093,10.20527881,9.887065428,10.02011078,9.018973606,8.91457658,8.624420074,9.093634944,9.487980669,8.719429368,9.283654275,9.927572862,0.299653117501143,0.525398443968895,14.3920407760084
"GSM672591",10.77255948,13.41992007,10.92505576,10.19443086,10.1452829,10.05959888,10.12073346,9.157790706,9.202943866,8.828901487,9.292084387,9.720425279,8.849630483,9.461452788,10.00255502,0.154368463961175,1.01787591704525,16.297726159092
"GSM672592",10.77651115,13.57750632,11.0609684,10.26853903,10.0742026,9.982824907,10.04345948,9.010486245,9.175440149,8.753835688,9.15257658,9.524164684,8.764030483,9.298148699,9.914948327,0.225875124073623,0.752500302276342,15.2708316151998
"GSM672610",12.76305799,13.43859219,13.92820372,13.19966617,13.09848885,12.63150967,12.2903119,11.67184201,11.74761914,11.48741822,12.05292342,12.10151896,11.46879238,11.52813271,11.77196952,0.0255507561144209,1.95062633406626,19.9070868567058
"GSM672611",12.85840781,13.45520892,14.04813494,12.53577732,12.75389331,12.42890074,12.25424572,11.55933717,11.51419572,11.2363461,12.00844572,12.14881636,11.52100074,11.59898848,11.81669368,0.00314600499156772,2.73216249607842,22.9313105455462
"GSM672616",11.05971004,12.54327509,15.15316729,11.00480892,10.70532379,10.47872528,10.96242974,9.613957249,9.887065428,9.074196283,10.73825836,10.40272268,9.575063197,10.76665242,11.47787249,0.258853483090469,0.646884085927752,14.862140272518
