"","acpK","pksC","pksD","pksE","pksF","pksG","pksH","pksI","pksJ","pksL","pksM","pksN","pksR","abrB","codY"
"acpK",1,0.685600567048085,0.899342620044263,0.935193009939492,0.98886299185539,0.949422983319862,0.941514491964542,0.895106314197444,0.933764070368468,0.915567104420717,0.829482872586411,0.833565782358095,0.833911478408844,-0.371145297578894,0.355305404461872
"pksC",0.685600567048085,1,0.854154239222236,0.840222336659831,0.707723917792863,0.818865139240036,0.819751847730011,0.872762144799664,0.765045921319695,0.774294185966599,0.780164047265254,0.717202075199043,0.630922696082165,-0.212014240063386,0.152258011813737
"pksD",0.899342620044263,0.854154239222236,1,0.977537936103146,0.905918911811447,0.927697805784489,0.924946690245758,0.924251217575544,0.878836868295532,0.862572036371305,0.837552081442317,0.79370017843393,0.739363114573791,-0.315117520114562,0.292515114452207
"pksE",0.935193009939492,0.840222336659831,0.977537936103146,1,0.945354260208532,0.968316245141299,0.962491594788334,0.955138591849376,0.922962730233203,0.912430823401051,0.877468315521944,0.8376078040873,0.789733131883951,-0.331079833299764,0.308711986653572
"pksF",0.98886299185539,0.707723917792863,0.905918911811447,0.945354260208532,1,0.965142768592646,0.958825532878475,0.917480581522933,0.949768785235437,0.928205657212996,0.852996371508746,0.856476301703129,0.849136456883106,-0.340811286470045,0.329779766535168
"pksG",0.949422983319862,0.818865139240036,0.927697805784489,0.968316245141299,0.965142768592646,1,0.991946386712124,0.975204546269858,0.969170449590111,0.960136619530071,0.919025183907552,0.892661386178345,0.852193234317586,-0.310535672606094,0.297795370665239
"pksH",0.941514491964542,0.819751847730011,0.924946690245758,0.962491594788334,0.958825532878475,0.991946386712124,1,0.979928151314761,0.969269587707683,0.959761145648867,0.924515318743524,0.897658402547153,0.854365453203942,-0.291119045757598,0.25686540687861
"pksI",0.895106314197444,0.872762144799664,0.924251217575544,0.955138591849376,0.917480581522933,0.975204546269858,0.979928151314761,1,0.926445714089758,0.924453431545916,0.904635588664941,0.851078602229843,0.790509199816516,-0.313931628679918,0.205757017039846
"pksJ",0.933764070368468,0.765045921319695,0.878836868295532,0.922962730233203,0.949768785235437,0.969170449590111,0.969269587707683,0.926445714089758,1,0.98558631850901,0.938074921842093,0.944080346783262,0.913667775929052,-0.228544342995951,0.25280749585861
"pksL",0.915567104420717,0.774294185966599,0.862572036371305,0.912430823401051,0.928205657212996,0.960136619530071,0.959761145648867,0.924453431545916,0.98558631850901,1,0.96492453959098,0.961374878335576,0.929220145172359,-0.24834868575675,0.263424465335227
"pksM",0.829482872586411,0.780164047265254,0.837552081442317,0.877468315521944,0.852996371508746,0.919025183907552,0.924515318743524,0.904635588664941,0.938074921842093,0.96492453959098,1,0.966621359757103,0.90718744748338,-0.171839296108799,0.204917593381691
"pksN",0.833565782358095,0.717202075199043,0.79370017843393,0.8376078040873,0.856476301703129,0.892661386178345,0.897658402547153,0.851078602229843,0.944080346783262,0.961374878335576,0.966621359757103,1,0.976538872715999,-0.131210994084632,0.213628595766495
"pksR",0.833911478408844,0.630922696082165,0.739363114573791,0.789733131883951,0.849136456883106,0.852193234317586,0.854365453203942,0.790509199816516,0.913667775929052,0.929220145172359,0.90718744748338,0.976538872715999,1,-0.142582187221215,0.259075505318849
"abrB",-0.371145297578894,-0.212014240063386,-0.315117520114562,-0.331079833299764,-0.340811286470045,-0.310535672606094,-0.291119045757598,-0.313931628679918,-0.228544342995951,-0.24834868575675,-0.171839296108799,-0.131210994084632,-0.142582187221215,1,-0.294189582795434
"codY",0.355305404461872,0.152258011813737,0.292515114452207,0.308711986653572,0.329779766535168,0.297795370665239,0.25686540687861,0.205757017039846,0.25280749585861,0.263424465335227,0.204917593381691,0.213628595766495,0.259075505318849,-0.294189582795434,1
