"","cssR","cssS","htrA","htrB","pval","z","inv_cof_var"
"GSM672549",10.82642677,10.64203271,10.78186134,11.34829926,0.273685964562824,0.60170288521578,35.2465575429209
"GSM672550",11.01321561,10.73825836,10.63088401,11.15677881,0.140954795008425,1.07603950251092,44.886716459511
"GSM672551",11.02948476,10.89382342,10.62261115,11.15429703,0.11019503257628,1.22549156795113,47.9240987924877
"GSM672552",11.42134944,11.34883606,11.28802677,11.49708959,2.05789856119819e-07,5.06352253168469,125.926148535494
"GSM672553",10.99196914,10.86286431,10.91080595,11.18467807,0.00367790278225033,2.68029157933483,77.490661419614
"GSM672554",10.99780372,10.96463569,11.11582156,11.21893048,0.000188243030654125,3.55604050278371,95.2889052938094
"GSM672555",11.73722937,11.5304,11.9588368,11.89151413,0.027778824149884,1.91448943101052,61.9269158867259
"GSM672556",11.64984052,11.69090818,12.25278848,12.06628662,0.192572746578804,0.868454641296719,40.667874865129
"GSM672557",11.8064539,11.93357212,12.49129033,12.24872342,0.213641270653385,0.793850376646281,39.15165844653
"GSM672558",10.69023643,10.74634201,10.67743309,11.23868885,0.197038892087534,0.852245614722374,40.3384514422632
"GSM672559",10.76552491,10.53918104,10.36471933,11.12754535,0.320608938816642,0.465996679082499,32.4885385635884
"GSM672560",10.88115093,10.68212305,10.57917807,11.17905353,0.188001927216295,0.88528330047946,41.0098913634543
"GSM672561",11.81046245,11.77446952,11.42471599,11.66571561,0.0151058823918369,2.16730290977486,67.0649592565207
"GSM672562",11.36244796,11.26915056,11.29289665,11.6620948,0.0250113578768729,1.95976968732232,62.8471671401898
"GSM672565",12.64979145,12.73666097,11.7543855,12.0542368,0.441612893132053,0.146881206244814,26.0030095980185
"GSM672566",10.19937509,10.63955428,9.831281413,10.77930967,0.480740120656424,0.048296126808376,23.9994201682348
"GSM672567",10.70654424,10.86693086,10.42954089,10.90279405,0.0940870277592897,1.31599996171666,49.7635420641468
"GSM672568",10.89382342,11.14807026,10.56871487,11.24473197,0.256908690035185,0.652905225328152,36.2871660002634
"GSM672598",10.98844647,11.12637026,11.51967435,11.8646974,0.390318240867226,0.278489685559305,28.6777486105731
"GSM672599",10.73115465,10.94154387,11.10549071,11.79090335,0.475088920193813,0.0624834509849591,24.2877556133104
"GSM672600",10.77706283,10.93322082,11.04339219,11.51118996,0.2776574082013,0.589814804260221,35.0049506640795
"GSM672601",10.66789145,10.7016487,10.74750632,11.33715651,0.290671973608021,0.551422694053136,34.2246903383006
"GSM672602",10.8462368,10.94389777,10.96242974,11.34454126,0.0903549430715139,1.33857249221942,50.2222938730141
"GSM672603",10.91444461,11.03757584,11.10790929,11.88511933,0.45056316742504,0.124238632518968,25.5428342688557
"GSM672604",11.05850781,11.06789331,11.17657509,11.94402528,0.429628968874159,0.177318859540735,26.6216078763762
"GSM672605",10.63032751,10.88007955,11.04397063,11.5350052,0.386636256844907,0.2880969677096,28.8730017774348
"GSM672608",10.70406654,10.69497435,11.0330539,11.42728327,0.334941150357194,0.42630954897109,31.681958959005
"GSM672609",10.87889517,10.76665242,11.15301375,11.50890743,0.302912299523034,0.516042682118928,33.5056462563541
"GSM672631",11.42599665,11.47898253,12.39912119,12.22038662,0.486098179197764,0.0348537524365578,23.7262246770252
"GSM672639",10.59934572,10.22478587,10.87889517,11.30483197,0.488683275304282,0.0283706275232941,23.5944651793159
"GSM672645",10.33356431,10.3521723,10.7701803,11.29404387,0.487517673142299,0.0312936602958332,23.6538713044562
"GSM672653",10.93087398,11.04454907,11.30249071,11.81292007,0.389195213593989,0.281417200116096,28.7372458210542
"GSM672661",10.34392937,10.54986357,10.97028662,11.38389442,0.492302207405799,0.0192967020640312,23.4100516631859
"GSM672687",10.01761338,10.10642509,10.35867472,10.95179145,0.468888385413295,0.0780644686426148,24.6044157251915
"GSM672689",12.28581264,12.19250186,12.08414498,12.70008885,0.131725007066549,1.11827393830535,45.7450661166226
"GSM672690",12.30886543,12.32584796,12.08006543,12.55092639,0.0217990437955596,2.01793445971931,64.0292762770549
"GSM672691",12.68798067,12.37358587,12.29682528,12.51953383,0.00766367566945145,2.42455050170171,72.2931191258269
"GSM672704",10.05462639,9.917216729,10.14157732,10.7016487,0.372715686729702,0.324669298093451,29.616277889789
"GSM672705",10.07056989,9.889610409,10.02391561,10.5722368,0.295584962111654,0.537141430904918,33.9344457287583
"GSM672706",9.82232974,9.691046468,10.01376952,10.49072788,0.392411113272612,0.273040313829941,28.5669985492217
"GSM672722",10.80762305,10.73234387,11.15124052,11.73466357,0.474548744151885,0.0638401751987719,24.3153289368748
"GSM672723",11.35625651,11.38266952,11.2520632,11.64738439,0.0137617791106606,2.20401117458634,67.8109980261036
"GSM672724",10.67985911,10.82198364,10.91574907,11.40649405,0.282432244101865,0.575631199198191,34.7166908042613
"GSM672725",11.21893048,11.10315688,11.13242119,11.77082305,0.260515103066175,0.641758181154663,36.0606195491472
"GSM672726",10.91080595,10.99196914,10.86810019,11.32028439,0.0649210399071557,1.51472492409475,53.8023199028522
"GSM672727",11.19638364,11.12404238,11.07978216,11.35883048,0.000388598180703393,3.3607909126017,91.3207590256868
"GSM672728",11.34395781,11.40904461,12.05551227,12.12529108,0.396688462872394,0.26192803422844,28.3411586343213
"GSM672729",11.4682684,11.49352602,11.77196952,11.69090818,0.00339792548266144,2.70668595924607,78.0270864131135
"GSM672730",11.53926022,11.51967435,11.92684275,11.86000874,0.0564829081336311,1.5850022798916,55.2305985838925
"GSM672731",11.14367621,11.04701784,10.95881636,11.43945204,0.0677538819761604,1.49273043227364,53.3553158371442
"GSM672732",11.34575651,11.38266952,11.08095762,11.47189517,0.0146151665961749,2.18036612327157,67.3304488887313
"GSM672733",11.05172937,11.03072193,10.93874126,11.25578067,0.00163322897828447,2.94148202883883,82.7989537776281
"GSM672734",11.48984164,11.4235684,11.89151413,11.87881301,0.120074746404552,1.17461321767107,46.8900749279365
"GSM672735",11.66081524,11.49352602,11.90566059,11.87109368,0.0312489846807424,1.86274629353623,60.8753165585114
"GSM672736",11.67702007,11.50648104,11.8281881,11.7111632,0.000712314856630417,3.18961393192793,87.8418513546595
"GSM672737",10.8927461,10.82410781,10.96359368,11.4235684,0.192509289931353,0.868686586916115,40.6725888014971
"GSM672738",10.67379851,10.58518067,10.72760855,11.14367621,0.156614695938916,1.00846893903189,43.5134491504512
"GSM672739",10.51542156,10.54747175,10.73466766,11.29171004,0.366257152433622,0.341782866021906,29.964084718199
"GSM672740",11.45513903,11.09271227,11.00363941,11.1661171,0.0463172176119851,1.68166182174203,57.1950544371144
"GSM672741",11.28217807,10.94725613,11.10018662,10.97578959,0.00728900615684629,2.4426959744448,72.6618978253455
"GSM672742",11.15429703,10.89029628,10.92844275,10.85317881,0.00218509708896408,2.85012578935632,80.9422793516573
"GSM672743",11.5304,11.17657509,11.05279405,10.72760855,0.302521592908911,0.517161842978694,33.5283914717728
"GSM672744",11.05744312,10.85811264,10.75005539,10.67743309,0.0182540552603354,2.09122264245827,65.5187453640937
"GSM672745",10.59128327,10.45312286,10.49909703,10.62021264,1.7783204699795e-08,5.51156150775332,135.031848522894
"GSM672746",11.4645171,11.24703346,10.99543978,11.45388848,0.0828362876864764,1.38624345871554,51.1911326174286
"GSM672747",11.36127584,11.20329851,10.88695465,11.23992454,0.0563534194396301,1.58614315677991,55.253785144041
"GSM672748",11.29526506,11.22137844,10.91444461,11.35625651,0.0468853420233968,1.67583414450321,57.0766159007493
"GSM672749",10.61667584,10.76773309,10.72067398,11.64111115,0.49885277310112,0.00287567534554984,23.0763196649218
"GSM672750",10.81962416,10.55114572,10.61782416,11.29289665,0.324039244434707,0.456433210299288,32.2941758357229
"GSM672751",10.83070799,10.76665242,10.79582193,11.47787249,0.326485879400544,0.449637618053674,32.1560659222322
"GSM672752",10.81124015,10.72067398,10.61326914,10.93087398,0.00258644677548308,2.79606537464274,79.8435849436492
"GSM672753",10.82410781,10.69023643,10.43317955,10.88695465,0.0684655545095597,1.487316991054,53.245296007892
"GSM672754",10.90512491,10.81364758,10.57109665,11.04578699,0.061904337718318,1.53898206234306,54.2953087615005
"GSM672757",10.70775019,10.48335762,10.72635353,11.30014833,0.347134077223663,0.393069494335627,31.0064062030122
"GSM672774",10.45730818,10.33973569,10.98036283,11.31439294,0.487966219170887,0.0301687910363763,23.631010074633
