"","ctaA","resD","yclJ","yclK","pval","z","inv_cof_var"
"GSM672552",12.24615948,13.2291658,11.00960112,10.95418476,0.353862498855781,0.374913232320455,15.6113488318375
"GSM672555",15.19678141,14.9356,13.14322714,13.79092788,0.443762173972197,0.141437478934654,13.3768969898298
"GSM672556",14.87297918,15.06617509,13.02507807,13.7871961,0.379379063451202,0.307111996345494,14.9624651922404
"GSM672557",14.75366506,15.01592007,13.12422305,13.87665688,0.299101260159811,0.52698713802468,17.066754002586
"GSM672559",12.30265483,11.76571784,10.79346208,10.85192937,0.449590872285805,0.126695074286531,13.2358065650473
"GSM672569",11.33772937,11.87367249,9.711259851,10.27181115,0.474466607029598,0.0640464837734495,12.6362357040859
"GSM672570",11.16154387,12.11816134,9.702426022,10.44045019,0.405878156380609,0.238160886032016,14.302576817477
"GSM672571",11.01195019,12.17600892,10.04345948,10.36235093,0.168334373213493,0.960768169591541,21.2182036111924
"GSM672600",12.85165985,13.40495093,11.03410706,11.34454126,0.49767814915859,0.0058200498254581,12.0789865649274
"GSM672602",12.55796264,13.36020558,11.16042491,11.44888067,0.343186035137328,0.403783310484997,15.8876464704495
"GSM672608",11.50890743,11.6522461,10.8927461,11.31152045,0.00664972525216902,2.47564832848095,35.7161834329255
"GSM672609",11.48629777,11.752071,11.10549071,11.45388848,6.49577019842399e-06,4.36024752102953,53.7525151554658
"GSM672625",11.93545558,11.66081524,10.26231375,10.541771,0.49362825904664,0.0159722651290822,12.1761471302395
"GSM672626",12.04739517,11.8387684,10.45131152,10.588729,0.481414058503591,0.0466049120869781,12.4693132231979
"GSM672638",11.73973234,11.91645465,10.1452829,10.49909703,0.463838559423787,0.0907677715998406,12.8919686011368
"GSM672640",11.46694833,12.06073494,9.899647212,10.30341896,0.460490289354439,0.0991986097065467,12.9726549313617
"GSM672666",10.91444461,11.65165279,10.1897539,10.51776357,0.0376400570826132,1.77875392435803,29.0466386840789
"GSM672667",11.10315688,11.63750186,9.964272119,10.39560743,0.257998771376629,0.649527398784704,18.2395109480273
"GSM672668",11.09734126,11.51009108,10.09135651,10.30341896,0.208370624255327,0.812087807987926,19.7952759493782
