"","cwlO","walR","ftsA","ftsZ","mreBH","ykpC","ykvT","ykzS","pval","z","inv_cof_var"
"GSM672549",15.21679294,12.62237993,13.55765056,13.80343717,10.33233123,10.13964257,9.025208922,10.77135019,0.159999902303383,0.994458284738409,5.09012929869395
"GSM672550",14.71080558,12.5312223,13.70143383,13.83099145,10.0326223,10.03135093,8.415459851,10.48577063,0.262369138569474,0.636058524753547,4.77812611895463
"GSM672551",14.3837368,12.49420967,13.54124015,13.9054052,9.981542379,10.02391561,8.114809665,10.5828145,0.269281795523612,0.614986567937329,4.75978202874021
"GSM672555",14.35627175,11.84500446,14.37716803,15.17796914,11.08210335,11.26426877,7.692402602,9.899647212,0.445957562258228,0.135881292755022,4.34269924583579
"GSM672556",14.05925799,11.75807658,14.2410829,15.13492268,11.18912454,11.55567323,7.560428996,10.04106729,0.39962207206792,0.254325444369625,4.44581022985778
"GSM672557",14.09313569,11.61378959,14.28826431,14.87297918,11.62372862,12.36989182,7.580478067,9.947013011,0.338185577984499,0.417420099211704,4.58779149377203
"GSM672558",15.13492268,12.48666022,13.79624275,13.76680818,9.52794684,9.500806691,9.180263569,10.17751747,0.346774450072118,0.394043531769168,4.56744113590971
"GSM672559",15.06617509,11.75320818,13.53887881,13.52997026,9.586639777,9.580311896,8.501655019,10.80762305,0.33831624014252,0.417062790983024,4.58748044081959
"GSM672560",14.98879926,12.58091004,13.57750632,13.7405171,9.592969888,9.601017844,8.61233197,10.83640539,0.322433631318412,0.460904305514561,4.62564645951058
"GSM672563",13.6106,13.33519294,11.93222788,13.03570706,11.67967361,11.68608067,8.70822974,11.40904461,7.12721670721538e-05,3.80371123463456,7.53571088361656
"GSM672564",13.73822305,13.06752156,11.99907435,13.14508736,11.46931636,11.48022454,8.41797881,10.55341784,0.00316640858862118,2.73003203296906,6.60102464121015
"GSM672565",15.12831859,12.99944721,12.72266468,13.83360706,9.831281413,9.920510595,8.458105948,10.98274721,0.257335973084902,0.651580320952752,4.79163854365498
"GSM672584",9.298148699,9.36808829,11.56554647,12.18289145,7.86312974,11.8141171,7.399576208,7.722443123,0.340822832014701,0.410218509692358,4.58152218480456
"GSM672585",8.252212268,8.584775836,10.31645688,11.13356654,9.235304461,10.97260186,8.410509294,8.757617844,1.19071855707115e-05,4.22575241714408,7.9031167963032
"GSM672587",9.447581784,9.228067658,11.5727223,12.19107955,7.600063197,11.32364052,8.078274164,7.706968401,0.215245647550703,0.788351220257887,4.91070378934825
"GSM672588",8.741252416,8.380965242,9.805604833,11.15801487,9.136124535,11.03410706,8.228271004,9.90340855,8.76065521383195e-08,5.22387920382494,8.77203124881447
"GSM672589",11.81549405,9.166081041,11.87752714,12.55413048,7.992124907,12.16032193,7.587933086,7.610263941,0.44368859231922,0.141623777338224,4.34769833804958
"GSM672590",12.66205019,9.328658364,11.41935669,12.6418026,8.223567658,11.77446952,7.799313755,8.037214126,0.322973206217492,0.459400746299274,4.62433754329893
"GSM672591",12.36678959,9.368698513,11.47189517,12.48208364,8.188528253,12.13914164,7.55290223,7.810275465,0.395477267787398,0.26507130058248,4.45516498307406
"GSM672592",12.36067658,9.447581784,11.39223755,12.35069814,8.135997026,12.16032193,7.554816729,7.80720632,0.38776714737377,0.28514338228601,4.47263863683921
"GSM672593",13.1136368,9.079373606,11.73118327,12.60212045,8.04244052,12.55092639,8.287796468,8.572614126,0.299647229561565,0.52541538724163,4.68180627007552
"GSM672594",12.3683684,8.853779182,11.57506468,12.68944535,7.8041171,12.06361859,8.262543494,8.696739033,0.215532644564092,0.78737002396155,4.90984961365232
"GSM672595",12.69237249,9.113410037,11.69607844,12.55092639,7.714724907,12.09093494,8.207724907,8.972713011,0.231515937830421,0.733863596679424,4.86326985185444
"GSM672596",13.08807955,9.207777695,11.85813271,12.71352639,8.154679926,12.17169294,8.363724164,8.894226394,0.206583166136353,0.818334288396206,4.93680540447738
"GSM672597",9.38253829,8.510088476,9.000723048,10.72635353,7.652643494,10.76898067,10.0169277,9.868152788,4.72688562635741e-08,5.3369219452771,8.87044006131204
"GSM672598",14.67824238,13.10225725,13.77660149,13.84591078,10.93026078,11.13814721,10.42894238,10.38428922,0.00337159151110871,2.70926808001296,6.58294868226828
"GSM672599",14.78045019,13.04265836,13.55989331,13.9054052,10.9565684,11.30724907,10.44810948,10.42954089,0.00233308226607587,2.82921976268499,6.68737204016991
"GSM672600",14.5706171,13.07797286,13.55356059,13.60618996,10.35275874,10.10699257,9.343478439,10.15378364,0.0811313725079256,1.39750173589666,5.44099682812476
"GSM672601",14.68655279,13.15227509,13.49777063,13.48916357,10.47617472,10.36110929,9.793090335,10.6237948,0.0199354723016568,2.05508345575944,6.01345141778269
"GSM672602",14.87743532,13.15779442,13.50188959,13.70401115,10.09491599,9.937569888,9.400000372,10.31645688,0.129544716148387,1.12854592689445,5.20685864783804
"GSM672603",14.99403494,13.02854461,13.56203011,13.66527955,10.7088684,10.2065,10.04106729,11.15065874,0.0168216067432108,2.12432216557683,6.07372684214399
"GSM672604",14.98346506,13.21968216,13.61280632,13.78374796,10.7748487,10.59240297,10.0742026,11.30132639,0.00792902407918935,2.41216626265353,6.32430813037062
"GSM672605",15.04395688,13.11192862,13.4450803,13.66987732,10.67258401,10.42599777,10.23546394,11.44360725,0.00657055155876967,2.47992225690764,6.38329278386084
"GSM672606",15.81157807,12.21777212,12.95655428,14.18951673,11.39101301,11.55567323,8.217745725,10.54625725,0.232575250173159,0.73039217453128,4.86024782207271
"GSM672607",15.63961115,12.22811784,13.04444907,14.04023532,11.41994833,11.76691301,8.436023792,10.86401599,0.127236026524479,1.13955425397556,5.21644189380077
"GSM672616",10.66670855,12.00707993,11.82700706,14.36693011,9.047397026,9.803089219,7.489437175,8.474837918,0.405801643424836,0.238358197280271,4.43191002003684
"GSM672617",10.88470892,11.96150149,12.13114796,14.49293792,9.146624535,9.725816729,7.451171004,8.377036059,0.471540474222472,0.0713980664357592,4.28656368466156
"GSM672622",11.47432714,12.42567472,12.89381004,13.80104535,8.692872119,9.885106877,7.272425279,8.573867658,0.474658988411445,0.0635632725664051,4.279743142706
"GSM672645",15.79347546,11.89925465,13.51044907,13.9054052,10.04221636,10.01882751,8.305863941,9.888286245,0.493837588571514,0.0154474890638655,4.23785617980994
"GSM672674",11.98782881,12.24736022,13.32734535,13.10414349,9.032881413,8.715765799,7.441605204,8.517363569,0.490285805455437,0.0243522814501424,4.24560820380559
"GSM672689",13.96823197,12.41932305,12.78208439,13.24606989,9.595648699,9.719139405,8.5885829,11.90309033,0.0777958234547102,1.42005507802886,5.46063053116991
"GSM672690",13.58394275,12.40504387,12.73666097,13.41130855,9.619292193,9.763730112,8.452079554,11.72602565,0.0674047591111833,1.49540215596722,5.52622356589132
"GSM672691",13.51480558,12.46461859,13.00544758,13.44308773,9.667186989,9.894642379,8.419263569,11.41876506,0.0689933442872845,1.48333025190109,5.51571442812209
"GSM672695",15.1469052,11.30964275,13.64935428,14.53674944,12.40504387,12.97873309,7.600063197,10.90681394,0.228538523856371,0.743668505119183,4.87180546753227
"GSM672696",15.22980632,11.61993123,13.64276654,14.09866691,11.83088699,12.06917695,8.410509294,11.05971004,0.0769072766453662,1.42618636868124,5.46596809662902
"GSM672697",15.48368625,11.39465613,13.97367398,14.29703011,11.98045539,12.28581264,8.659134201,10.97694387,0.0797567943172267,1.40670936158352,5.44901248218733
"GSM672707",14.38725613,12.2758855,13.1468632,13.16149219,8.579858364,8.506366543,9.309149814,11.27676561,0.331949735624743,0.434535706994943,4.60269140344766
"GSM672708",13.89249665,12.31318253,12.92503755,13.32734535,8.61233197,8.412957249,9.119518959,11.31970967,0.294651382765559,0.539846689089541,4.69436937018618
"GSM672709",14.31970743,12.28023792,12.8679223,13.01941877,8.47370632,8.5885829,8.928771375,11.2202,0.344520233006251,0.400157566975735,4.57276367972382
"GSM672719",14.86360112,12.22038662,13.59271896,13.65388439,8.958167286,8.791343494,9.060899257,9.902143123,0.490845287265043,0.0229494761275326,4.2443869984085
"GSM672720",14.41869665,12.28434275,13.40705576,13.52354052,8.811955762,8.711276952,8.9676171,9.786729368,0.453393979667548,0.117090977664861,4.3263414278041
"GSM672721",14.8536461,12.25859294,13.5084171,13.64935428,9.136124535,9.06446803,9.07303197,9.750860223,0.433836521068896,0.166614934237961,4.3694542689643
